MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
59362.233530,r,19.942,0.195,positive,,
59362.183125,g,21.027,0.329,positive,,
59359.255058,g,19.115,,limit,,
59359.191655,r,19.872,0.301,positive,,
59357.205567,g,18.814,,limit,,
59353.234155,g,19.796,,limit,,
59353.192280,r,19.562,0.125,positive,,
59350.207720,g,20.390,0.255,positive,,
59348.193426,r,19.428,0.131,positive,,
59346.312755,r,19.358,0.106,positive,,
59344.255868,g,20.308,0.238,positive,,
59344.226019,r,19.233,0.077,positive,,
59342.276481,r,19.185,0.092,positive,,
59342.234583,g,20.166,0.201,positive,,
59340.232049,r,19.092,0.109,positive,,
59340.212604,g,20.754,,limit,,
59338.310741,g,20.070,0.213,positive,,
59338.233889,r,18.937,0.085,positive,,
59335.254375,g,19.980,0.229,positive,,
59335.207222,r,18.781,0.112,positive,,
59325.323762,g,19.995,,limit,,
59325.255463,r,18.385,0.079,positive,,
59323.317454,r,18.244,0.061,positive,,
59323.280266,g,19.484,0.134,positive,,
59321.290833,r,18.135,0.054,positive,,
59321.253276,g,19.476,0.111,positive,,
59317.207813,r,17.836,0.053,positive,,
59317.207813,r,17.836,0.053,positive,,
59315.275393,g,19.156,,limit,,
59315.253009,r,17.480,0.267,positive,,
59313.295579,r,17.454,0.053,positive,,
59313.255174,g,18.520,0.075,positive,,
59311.308947,r,17.300,0.039,positive,,
59311.233981,g,18.137,0.077,positive,,
59309.311042,g,17.840,0.048,positive,,
59309.270197,r,17.139,0.034,positive,,
59307.311632,g,17.615,0.041,positive,,
59307.253495,r,17.100,0.037,positive,,
59304.302338,r,17.157,0.042,positive,,
59304.257928,g,17.579,0.069,positive,,
59302.354259,g,17.703,0.071,positive,,
59302.255567,r,17.351,0.057,positive,,
59298.394757,g,18.320,0.100,positive,,
59298.304861,r,18.854,,limit,,
59296.359178,r,17.923,0.054,positive,,
59296.354294,g,18.133,0.075,positive,,
59293.294363,g,17.765,0.054,positive,,
59293.235347,r,18.202,0.060,positive,,
59291.354224,r,20.548,,limit,,
59291.293553,g,20.661,,limit,,
59281.287361,r,20.363,,limit,,
59278.401782,r,20.019,,limit,,
59278.316204,g,20.460,,limit,,
59275.380926,r,19.612,,limit,,
59275.225775,g,19.007,,limit,,
59270.339664,r,19.476,,limit,,
59268.434630,g,20.101,,limit,,
59268.415012,r,20.065,,limit,,
59266.359711,r,19.694,,limit,,
59264.372928,r,20.785,,limit,,
