MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
60434.355544,r,19.828,0.135,negative,,
60434.331528,g,20.649,,limit,-9.0,3.0
60431.328993,g,20.710,,limit,-8.9,2.8
60431.253924,r,19.789,0.146,negative,-46.0,3.4
60429.357326,r,20.216,,limit,-37.5,4.4
60429.295891,g,20.546,,limit,-5.6,3.0
60423.399630,r,19.130,,limit,-38.1,9.8
60423.288831,g,18.979,,limit,-0.3,10.4
60421.383391,r,19.456,,limit,-36.9,8.2
60421.349213,g,19.203,,limit,7.8,9.3
60419.319039,g,19.833,,limit,1.2,5.7
60419.268704,r,19.858,,limit,-39.1,5.6
60417.401794,g,20.103,,limit,-11.9,4.4
60417.359815,r,19.964,,limit,-45.1,4.8
60413.399514,r,20.468,,limit,-43.7,4.1
60413.337801,g,20.541,,limit,-3.6,3.4
60408.320856,g,20.338,,limit,-14.4,3.6
60404.397813,g,20.451,,limit,-12.7,3.9
60404.357593,r,19.723,0.129,negative,-44.6,4.0
60140.186539,r,19.798,0.152,negative,,
60138.212361,g,20.052,,limit,,
60138.194803,r,20.164,,limit,,
60136.275637,r,19.831,0.157,negative,,
60136.196262,g,20.487,,limit,,
60134.234780,g,20.496,,limit,,
60134.198160,r,19.867,0.158,negative,,
60128.294444,r,19.144,,limit,,
60128.280544,g,18.919,,limit,,
60126.194282,g,19.201,,limit,,
60124.254074,g,19.409,,limit,,
60124.233299,r,19.606,0.224,negative,,
60122.309699,g,19.307,,limit,,
60122.266296,r,19.600,,limit,,
60120.274583,g,20.190,,limit,,
60120.191273,r,19.858,0.141,negative,,
60118.248461,g,20.230,,limit,,
60118.213287,r,20.127,,limit,,
60116.206053,g,20.423,,limit,,
60114.269780,g,20.444,,limit,,
60114.245544,r,19.847,0.146,negative,,
60112.254132,r,20.427,,limit,,
60112.229340,g,20.303,,limit,,
60109.333773,r,20.277,,limit,,
60104.252627,g,20.524,,limit,,
60102.205370,r,19.379,,limit,,
60100.233160,r,19.722,,limit,,
60100.197002,g,19.565,,limit,,
60098.350544,r,18.991,,limit,,
60094.380868,g,19.687,,limit,,
60094.235266,r,19.855,0.166,negative,,
60092.430822,r,20.056,,limit,,
60092.333692,g,20.103,,limit,,
60090.306863,r,19.556,0.153,negative,,
60090.291991,g,20.231,,limit,,
60088.372130,r,20.467,,limit,,
60088.311597,g,20.789,,limit,,
60086.332199,r,19.862,0.196,negative,,
60086.277211,g,20.583,,limit,,
60084.337998,g,20.297,,limit,,
60084.279306,r,20.601,,limit,,
60082.353785,r,20.263,,limit,,
60082.252616,g,20.112,,limit,,
60080.272963,g,20.386,,limit,,
60078.329641,g,20.597,,limit,,
60078.309711,r,19.647,0.170,negative,,
60076.413495,g,20.153,,limit,,
60076.335579,r,20.461,,limit,,
60067.364792,r,19.010,,limit,,
60064.334502,r,20.058,,limit,,
60064.263009,g,19.650,,limit,,
60062.419780,g,20.571,,limit,,
60062.376713,r,20.426,,limit,,
60060.408484,g,20.325,,limit,,
60060.333704,r,20.467,,limit,,
60058.383264,r,20.564,,limit,,
60058.332407,g,20.566,,limit,,
60056.436898,g,20.306,,limit,,
60056.352280,r,19.998,0.176,negative,,
59750.207268,r,19.942,0.180,negative,,
59748.319699,r,19.794,,limit,,
59748.252049,g,20.508,,limit,,
59744.243137,g,18.881,,limit,,
59742.340393,g,18.829,,limit,,
59739.251528,r,19.920,,limit,,
59739.190127,g,19.801,,limit,,
59737.228623,r,19.895,0.150,negative,,
59737.191204,g,20.277,,limit,,
59735.273889,g,20.562,,limit,,
59735.269537,r,20.467,,limit,,
59733.232014,r,20.519,,limit,,
59731.318183,g,20.250,,limit,,
59729.375208,g,20.031,,limit,,
59726.356250,r,19.749,0.156,negative,,
59726.316273,g,20.612,,limit,,
59724.316956,g,20.509,,limit,,
59724.296192,r,19.815,0.143,negative,,
59722.400289,g,20.035,,limit,,
59722.315139,g,20.521,,limit,,
59707.340151,r,19.996,0.211,negative,,
59707.297604,r,20.206,,limit,,
59701.380035,g,20.196,,limit,,
59701.316435,g,20.519,,limit,,
59699.441944,g,20.321,,limit,,
59699.335857,r,20.432,,limit,,
59697.357708,r,20.332,,limit,,
59697.285602,g,20.656,,limit,,
59695.370301,g,20.536,,limit,,
59693.419826,g,20.123,,limit,,
59687.388565,r,19.442,0.264,negative,,
59684.378808,r,19.371,,limit,,
59684.299664,g,19.005,,limit,,
59682.394907,g,19.449,,limit,,
59682.337593,r,19.569,,limit,,
59679.359132,r,20.262,,limit,,
59679.314780,g,20.178,,limit,,
59677.397708,r,20.096,,limit,,
59393.212384,r,19.957,0.192,negative,,
59391.213403,g,19.770,,limit,,
59387.294005,g,18.801,,limit,,
59387.235255,r,19.283,,limit,,
59383.256748,g,19.511,,limit,,
59383.228854,r,19.537,,limit,,
59381.297917,g,19.444,,limit,,
59379.232766,r,20.145,0.228,negative,,
59376.273252,r,19.777,0.163,negative,,
59376.250231,g,20.539,,limit,,
59374.232407,g,20.278,,limit,,
59372.310880,r,20.025,,limit,,
59370.256644,r,20.048,0.152,negative,,
59370.246088,g,20.584,,limit,,
59368.296597,r,20.072,0.200,negative,,
59366.275185,g,20.455,,limit,,
59366.229271,r,19.766,0.167,negative,,
59364.298090,r,19.832,0.187,negative,,
59362.273727,r,19.766,0.184,negative,,
59362.208194,g,20.031,,limit,,
59359.291319,g,18.847,,limit,,
59359.234965,r,19.112,,limit,,
59354.348333,g,19.986,,limit,,
59354.274167,r,19.874,,limit,,
59350.274190,r,20.323,,limit,,
59345.362049,g,20.561,,limit,,
59345.316863,r,19.948,0.117,negative,,
59343.315683,r,19.820,0.177,negative,,
59343.274583,g,20.654,,limit,,
59341.276481,r,19.755,0.125,negative,,
59338.397998,g,20.289,,limit,,
59338.395382,r,19.664,0.168,negative,,
59335.317350,r,19.330,,limit,,
59329.336331,g,19.176,,limit,,
59329.291493,r,19.397,,limit,,
59325.359606,g,20.194,,limit,,
59325.301042,r,19.888,0.225,negative,,
59323.293125,g,20.158,,limit,,
59321.400822,r,19.840,0.144,negative,,
59321.379803,g,20.721,,limit,,
59317.402338,r,19.843,0.137,negative,,
59317.291331,g,20.808,,limit,,
59315.352384,r,18.691,,limit,,
