MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
60598.367558,r,19.097,0.117,negative,,
60598.253368,g,19.505,0.252,negative,-54.7,10.5
60596.352419,r,20.218,,limit,-92.4,4.1
60596.324815,g,19.704,0.167,negative,-47.2,5.1
60593.404259,r,19.022,0.122,negative,-86.0,4.6
60593.314016,g,19.734,0.147,negative,-46.5,3.9
60583.458634,g,19.794,0.138,negative,-43.2,3.4
60583.418449,r,20.509,,limit,-89.5,3.2
60580.497998,g,19.898,0.215,negative,-37.6,4.3
60580.440255,r,20.244,,limit,-88.3,4.2
60577.431366,g,19.824,0.163,negative,-41.4,5.0
60577.428437,r,20.247,,limit,-87.6,4.1
60577.325069,r,19.532,,limit,-12.6,7.3
60576.443692,r,19.626,,limit,-9.0,6.4
60576.428900,r,20.123,,limit,-93.5,4.4
60576.358692,g,19.610,,limit,-49.1,6.7
60575.450787,r,19.639,,limit,-87.3,6.4
60575.413669,g,19.528,,limit,-48.6,7.3
60575.391296,r,19.496,,limit,-11.2,7.7
60574.453472,r,18.989,0.134,negative,-88.1,8.7
60571.359132,g,18.858,,limit,,
60568.376991,r,19.015,0.124,negative,-88.7,6.1
60565.442685,r,20.608,,limit,-90.0,3.0
60562.442546,g,19.790,0.158,negative,-46.4,3.8
60562.418171,r,20.278,,limit,-93.1,3.6
60559.398518,r,20.287,,limit,-94.7,3.8
60557.436875,r,20.501,,limit,-89.0,3.5
60555.464491,g,19.796,0.146,negative,-43.0,3.9
60555.437894,r,20.522,,limit,-91.3,3.1
60552.472604,g,19.715,0.144,negative,-48.2,3.3
60552.381088,r,20.511,,limit,-93.0,3.0
60550.464352,g,19.701,0.157,negative,-45.8,3.7
60548.494884,g,19.929,0.224,negative,-38.2,5.3
60548.402651,r,19.947,,limit,-89.6,4.8
60545.458299,g,19.649,0.265,negative,-46.0,8.7
60545.399769,r,19.029,0.168,negative,-85.4,9.9
60543.441088,r,19.508,,limit,-89.0,8.0
60543.378276,g,18.862,,limit,-39.1,12.6
60538.444259,g,19.788,0.156,negative,-43.8,3.6
60538.398681,r,20.197,,limit,-80.1,4.1
60534.482338,r,20.544,,limit,-81.4,3.0
60534.439618,g,19.742,0.114,negative,-46.7,3.3
60533.399444,r,20.382,,limit,-84.7,3.3
60532.439201,g,20.639,,limit,-42.8,3.0
60532.398333,r,20.282,,limit,-85.8,3.7
60530.444560,r,19.307,,limit,,
60527.480683,g,19.848,0.195,negative,-42.8,3.7
60527.480683,g,19.848,0.195,negative,-42.8,3.7
60358.124572,r,18.996,0.122,negative,,
60355.153194,g,19.804,0.239,negative,-43.5,6.7
60353.152002,g,19.759,0.208,negative,-44.6,6.0
60353.127685,r,18.986,0.125,negative,-86.1,6.8
60341.130220,g,19.937,0.248,negative,-33.5,5.6
60334.169954,r,19.131,0.183,negative,-75.5,9.3
60326.257222,g,19.405,,limit,-53.4,8.1
60326.116574,r,18.999,0.105,negative,-89.0,5.5
60324.157211,g,19.825,,limit,-49.1,5.8
60324.129792,r,19.295,,limit,-82.5,9.2
60322.236655,r,19.109,0.148,negative,,
60314.140324,r,19.049,0.114,negative,-81.7,5.3
60314.116574,g,19.820,0.186,negative,-41.2,3.9
60307.170521,r,20.017,,limit,-85.0,4.5
60307.156088,g,19.856,0.212,negative,-39.3,5.6
60305.170382,g,19.020,,limit,-36.9,11.6
