MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
60569.177176,r,17.243,0.062,negative,,
60569.163669,g,19.026,,limit,-29.2,11.0
60567.151863,r,17.208,0.047,negative,-508.6,7.0
60565.176331,r,17.268,0.055,negative,-441.6,11.5
60558.174340,r,19.527,,limit,,
60558.164109,g,19.908,,limit,,
60556.205613,g,19.693,,limit,,
60556.151238,r,17.176,0.045,negative,,
60554.223738,g,19.606,,limit,,
60554.176238,r,17.198,0.044,negative,-500.3,6.4
60548.205428,r,17.218,0.048,negative,-494.9,6.3
60546.242778,r,17.270,0.052,negative,-439.6,12.7
60546.159213,g,20.183,0.205,negative,-30.8,4.6
60534.225440,g,18.206,,limit,,
60534.183924,r,17.178,0.107,negative,,
60533.224687,g,20.278,0.219,negative,,
60533.180139,r,17.196,0.072,negative,,
60532.213796,g,20.347,,limit,-20.1,4.0
60532.180208,r,17.208,0.042,negative,,
60530.220139,r,17.213,0.053,negative,-498.7,5.6
60528.205093,g,20.243,0.220,negative,,
60526.246053,r,17.196,0.058,negative,-515.3,5.2
60526.198299,g,20.271,0.236,negative,-27.0,3.8
60524.226088,r,17.195,0.061,negative,,
60524.204595,g,20.429,,limit,-32.7,4.8
60521.287697,r,17.211,0.053,negative,-500.1,6.2
60521.182315,g,20.208,0.199,negative,,
60519.248599,g,20.212,0.207,negative,,
60517.212940,g,20.163,0.203,negative,-31.7,4.9
60515.268044,r,17.182,0.054,negative,-534.0,7.4
60515.191991,g,20.144,0.182,negative,-35.1,4.1
60513.255914,r,17.204,0.064,negative,-528.0,8.0
60513.235868,g,19.526,,limit,-24.2,8.5
60511.276227,r,17.180,0.049,negative,-537.8,9.9
60511.191875,g,19.587,,limit,-28.1,7.5
60509.267558,r,17.224,0.050,negative,-482.2,10.3
60509.226794,g,17.844,,limit,,
60504.277639,r,17.199,0.056,negative,,
60502.330868,r,17.228,0.044,negative,,
60502.195127,g,20.039,0.237,negative,,
60500.262130,r,17.203,0.053,negative,,
60500.226609,g,20.267,0.210,negative,,
60494.276204,g,20.178,0.191,negative,-29.6,4.0
60494.238576,r,17.215,0.050,negative,-491.6,5.7
60490.268067,r,17.215,0.043,negative,-466.9,4.7
60490.189757,g,20.136,0.205,negative,-32.2,3.4
60488.298113,r,17.205,0.055,negative,-507.9,4.5
60488.254641,g,20.103,0.150,negative,-34.0,3.4
60486.247303,g,17.232,,limit,,
60484.347766,g,19.810,0.262,negative,-38.5,8.1
60484.291863,r,17.224,0.057,negative,-499.6,6.5
60482.330312,r,17.253,0.063,negative,-502.3,7.6
60482.233912,g,19.505,,limit,-29.7,7.6
60480.318542,r,17.195,0.045,negative,-514.4,8.5
60480.247118,g,19.668,,limit,-31.4,6.7
60477.298981,r,17.191,0.048,negative,-484.7,6.9
60477.278125,g,20.160,0.231,negative,-31.8,5.1
60475.351412,g,20.255,0.229,negative,-28.2,4.5
60475.254051,r,17.215,0.055,negative,-509.3,5.7
60472.354479,r,17.232,0.049,negative,-496.8,4.7
60472.308565,g,20.262,0.246,negative,-25.6,4.1
60470.282141,r,17.201,0.049,negative,-499.7,4.6
60470.248032,g,20.743,,limit,-30.9,3.5
60468.353414,g,20.081,0.148,negative,-34.6,4.0
60468.310417,r,17.192,0.049,negative,-511.6,4.5
60463.392859,r,17.187,0.056,negative,-490.9,5.7
60463.296076,g,20.654,,limit,-25.2,4.0
60461.295474,r,17.198,0.040,negative,-522.4,4.4
60459.353438,r,17.199,0.047,negative,-522.8,4.1
60459.332130,g,20.612,,limit,-33.5,3.8
60457.331655,r,17.198,0.050,negative,-531.6,5.5
60457.270035,g,20.052,0.187,negative,-35.9,3.9
60455.296574,r,17.247,0.046,negative,-454.5,10.1
60451.401308,g,19.412,,limit,-19.2,8.6
60451.315162,r,17.214,0.054,negative,-490.1,9.4
60449.404132,g,19.835,0.209,negative,-38.9,6.2
60449.295313,r,17.200,0.053,negative,-501.1,6.8
60447.413310,g,20.236,0.162,negative,-29.7,3.7
60447.362060,r,17.183,0.062,negative,-511.5,4.9
60445.406377,g,20.264,0.181,negative,-27.1,3.7
60445.321030,r,17.194,0.052,negative,-520.2,5.3
60443.417025,g,20.034,0.188,negative,-33.9,4.2
60443.340648,r,17.214,0.043,negative,-495.4,5.0
60441.381030,r,17.204,0.053,negative,-513.1,5.7
60441.352859,g,20.204,0.191,negative,-29.8,4.1
60439.385278,r,17.202,0.055,negative,-496.4,5.4
60439.336655,g,20.354,0.271,negative,-25.3,4.3
60438.387442,r,17.220,0.049,negative,-500.6,4.8
60438.337859,r,16.895,0.026,negative,-635.5,9.9
60438.331551,g,20.425,0.201,negative,-25.7,3.9
60437.384248,r,17.205,0.049,negative,-504.0,4.7
60437.339051,r,16.885,0.025,negative,,
60437.300556,g,20.211,0.262,negative,-28.2,4.3
60433.458495,r,17.199,0.049,negative,-489.2,4.4
60433.359375,g,20.316,0.201,negative,-24.7,3.3
60430.388102,r,17.212,0.046,negative,-526.6,4.5
60430.338542,g,20.235,0.183,negative,-30.8,3.7
60424.421146,g,19.009,,limit,-37.7,12.2
60424.270451,r,17.183,0.059,negative,-470.8,11.4
60422.324664,g,19.442,,limit,-20.4,8.6
60422.300683,r,17.226,0.056,negative,-463.7,8.7
60420.382674,r,17.215,0.051,negative,-512.6,6.1
60420.296516,g,19.935,0.239,negative,-37.4,7.1
60418.380648,g,19.902,0.194,negative,-41.7,6.4
60416.452963,r,17.205,0.056,negative,-497.0,5.4
60416.338137,g,18.815,,limit,,
60408.466412,g,20.575,,limit,-31.7,3.4
60408.407697,r,17.209,0.049,negative,-513.4,3.7
60404.468044,r,17.207,0.045,negative,-505.7,4.4
60404.381273,g,20.184,0.195,negative,,
60398.401250,r,17.234,0.052,negative,,
60398.346956,g,19.528,,limit,,
60396.383009,g,19.312,,limit,,
60396.375174,r,17.201,0.047,negative,,
60391.415336,g,19.748,,limit,-24.2,6.6
60389.426748,g,19.866,0.209,negative,,
60383.432419,r,17.256,0.078,negative,,
60368.518912,r,17.197,0.070,negative,-506.0,7.7
60368.464444,g,19.629,,limit,,
60363.537951,g,17.750,,limit,,
60363.449294,r,17.240,0.058,negative,-467.8,17.5
60355.517060,g,20.215,0.180,negative,,
60355.463866,r,17.213,0.045,negative,,
60353.504190,g,20.007,0.164,negative,-33.7,4.1
60353.475081,r,17.219,0.043,negative,,
60351.503599,r,17.198,0.044,negative,-491.7,5.9
60351.429387,g,19.941,0.212,negative,,
60327.528194,r,17.217,0.046,negative,,
60327.519850,g,20.215,0.232,negative,-29.2,4.1
60315.547303,g,20.059,0.255,negative,,
60315.477639,r,17.223,0.055,negative,-437.3,10.0
60311.546424,r,20.070,,limit,,
60292.560521,r,17.200,0.055,negative,-493.6,6.9
60292.558021,r,17.221,0.037,negative,,
60292.555532,r,17.198,0.058,negative,-497.5,6.5
60292.553044,r,17.214,0.045,negative,-486.6,7.0
60292.550556,r,17.238,0.050,negative,-474.9,7.5
60291.558704,r,17.228,0.047,negative,-443.6,8.6
60291.556192,r,17.205,0.043,negative,-471.0,8.3
60291.553681,r,17.233,0.047,negative,-462.3,8.1
60291.551181,r,17.229,0.050,negative,-473.8,7.4
60291.548681,r,17.224,0.048,negative,-467.9,7.8
60289.558901,r,17.258,0.157,negative,,
60289.556319,r,17.039,,limit,,
60289.553727,r,16.629,0.237,negative,,
60289.551146,r,16.529,,limit,,
60289.548553,r,16.996,,limit,,
60288.557535,r,17.219,0.055,negative,-449.1,10.4
60288.555035,r,17.247,0.064,negative,,
60288.552546,r,17.344,0.065,negative,,
60288.550058,r,17.308,0.065,negative,,
60288.547558,r,17.205,0.052,negative,-453.2,11.1
60287.554826,r,18.783,,limit,,
60287.552361,r,18.799,,limit,,
60287.549884,r,19.009,,limit,,
60287.547407,r,17.236,0.071,negative,,
60287.544942,r,17.271,0.078,negative,,
60194.174294,r,17.214,0.041,negative,,
60188.225394,r,17.180,0.050,negative,,
60185.198044,r,17.216,0.064,negative,,
60185.159421,g,19.610,,limit,,
60183.228831,g,19.306,,limit,,
60183.176042,r,17.242,0.050,negative,,
60181.247002,r,17.255,0.057,negative,,
60181.193681,g,19.441,,limit,,
60179.208634,g,20.214,0.256,negative,,
