MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
60622.489144,g,16.518,0.037,negative,,
60619.511898,g,16.504,0.035,negative,-872.2,5.1
60615.527604,g,20.187,,limit,-921.0,4.2
60615.486609,r,19.978,,limit,-0.4,5.3
60484.225359,g,16.515,0.047,negative,,
60482.302627,r,19.432,,limit,-11.3,7.6
60482.217118,g,16.499,0.050,negative,-973.4,6.7
60480.305255,r,19.375,,limit,0.6,7.7
60480.222951,g,16.480,0.062,negative,-961.4,6.3
60477.221042,g,16.495,0.047,negative,-918.8,5.6
60475.243484,r,20.229,,limit,-0.4,4.3
60475.206412,g,16.481,0.041,negative,-929.4,5.4
60463.259734,r,20.450,,limit,0.2,3.6
60463.218993,g,20.678,,limit,-914.1,2.7
60461.284086,r,20.329,,limit,0.1,3.7
60461.216968,g,20.525,,limit,-939.1,3.1
60459.343727,r,20.186,,limit,-3.1,4.4
60459.224201,g,20.755,,limit,-975.3,2.7
60457.321157,r,19.968,,limit,-8.1,5.4
60457.222789,g,20.705,,limit,-988.0,2.7
60455.283565,r,19.669,,limit,1.3,6.4
60451.305208,r,19.625,,limit,-6.4,6.0
60449.349259,r,19.597,,limit,-0.5,6.8
60449.264526,g,16.514,0.045,negative,-906.1,6.7
60447.298380,r,20.002,,limit,-8.2,4.7
60447.208681,g,16.483,0.042,negative,-939.2,5.4
60445.223472,r,20.198,,limit,-2.3,4.4
60443.286007,g,16.519,0.031,negative,-932.7,3.9
60443.241759,r,20.399,,limit,-2.2,3.6
60441.322569,g,16.536,0.024,negative,-894.1,4.1
60441.285081,r,19.915,,limit,-6.7,4.9
60439.276088,r,20.489,,limit,3.3,3.3
60439.243264,g,16.491,0.057,negative,-924.6,3.4
60438.228634,r,20.545,,limit,-0.7,3.2
60438.203657,g,20.590,,limit,-918.2,3.0
60438.184653,r,20.026,,limit,-1333.4,5.1
60437.288137,g,16.527,0.049,negative,-940.5,3.0
60437.221979,r,20.745,,limit,-0.9,2.7
60437.200833,r,20.098,,limit,-1311.8,4.8
60434.285359,g,20.851,,limit,-937.5,2.4
60434.262095,r,20.863,,limit,-1.0,2.5
60431.345405,r,20.765,,limit,-1.7,2.8
60431.302870,g,20.852,,limit,-950.4,2.5
60429.265799,g,20.635,,limit,-967.2,3.0
60429.222951,r,20.660,,limit,-4.2,2.9
60423.305185,g,16.473,0.066,negative,-1006.2,8.0
60421.296308,g,16.501,0.057,negative,-956.5,7.2
60421.243067,r,19.814,,limit,12.6,5.9
60419.308368,g,16.456,0.059,negative,-993.7,5.5
60419.246597,r,20.181,,limit,-2.3,4.6
60417.324039,g,16.533,0.048,negative,-928.5,4.8
60417.261296,r,20.360,,limit,-3.4,3.5
60413.369965,r,20.544,,limit,0.7,3.4
60408.330162,g,20.698,,limit,-966.6,2.9
60408.261169,r,20.645,,limit,-2.7,3.2
60404.302998,g,20.834,,limit,-953.5,2.5
60404.287477,r,20.783,,limit,0.3,2.7
60398.384375,r,20.037,,limit,3.4,4.7
60398.318854,g,16.483,0.046,negative,-921.8,5.2
60395.287396,g,16.503,0.036,negative,-894.8,9.6
60391.303646,g,16.507,0.046,negative,-970.1,6.4
60391.254491,r,17.599,,limit,,
60389.224838,g,16.423,0.056,negative,-1026.5,6.1
60380.310046,g,16.534,0.055,negative,-916.3,4.6
60374.450370,r,20.805,,limit,0.0,2.5
60374.426111,g,16.490,0.056,negative,-938.0,2.9
