MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
60609.161748,r,16.217,0.039,negative,,
60609.114421,g,18.774,0.106,negative,-112.3,4.7
60607.159306,r,16.221,0.062,negative,-1290.4,4.3
60607.135613,g,18.733,0.078,negative,-121.9,4.4
60603.181944,r,16.241,0.042,negative,-1162.8,7.6
60603.138206,g,18.826,0.101,negative,-109.8,6.6
60599.158600,r,16.251,0.065,negative,-1307.3,6.9
60597.178322,g,18.868,0.111,negative,-108.6,5.9
60597.140231,r,16.240,0.056,negative,-1338.6,4.5
60595.179271,r,16.249,0.028,negative,-1082.6,7.7
60595.132569,g,18.648,0.155,negative,,
60576.235405,g,18.764,0.097,negative,-117.0,5.1
60576.181655,r,16.207,0.042,negative,-1277.6,4.0
60576.158322,r,17.460,0.052,negative,-389.5,5.2
60575.237604,r,17.506,0.045,negative,-389.5,6.1
60575.200556,r,16.216,0.045,negative,-1269.9,4.9
60571.266956,g,18.727,0.132,negative,-119.0,11.8
60571.187940,r,16.225,0.039,negative,-1163.8,9.5
60568.262407,g,18.727,0.122,negative,-120.9,8.1
60568.262407,g,18.720,0.119,negative,-120.9,8.1
60568.177164,r,16.222,0.044,negative,-1280.6,5.1
60568.177164,r,16.223,0.044,negative,-1280.6,5.1
60566.280417,g,18.619,0.167,negative,,
60566.177222,r,16.233,0.047,negative,-1250.8,5.0
60566.177222,r,16.233,0.047,negative,-1250.8,5.0
60563.287604,g,17.013,,limit,,
60561.290845,r,16.215,0.045,negative,-1271.3,5.2
60561.264826,g,18.743,0.106,negative,-118.7,5.5
60558.262488,g,18.703,0.092,negative,-121.7,4.8
60558.197349,r,16.223,0.046,negative,-1195.9,4.1
60556.218935,g,18.732,0.079,negative,-115.4,4.4
60556.158414,r,16.220,0.039,negative,-1257.9,3.9
60554.256250,g,18.751,0.104,negative,-119.3,4.0
60554.256250,g,18.751,0.104,negative,-119.3,4.0
60554.202303,r,16.215,0.043,negative,-1231.5,3.5
60552.304502,g,18.740,0.077,negative,-118.7,3.9
60552.237072,r,16.220,0.047,negative,-1206.1,3.9
60550.283738,g,18.704,0.076,negative,-123.2,3.3
60550.248032,r,16.231,0.044,negative,-1203.8,3.9
60548.301412,g,18.765,0.091,negative,-117.7,4.8
60548.244398,r,16.227,0.044,negative,-1318.3,3.3
60546.326169,g,18.902,0.160,negative,-93.5,12.2
60546.239849,r,16.236,0.034,negative,-1137.5,6.3
60544.244433,r,16.238,0.047,negative,-1221.0,5.2
60544.244433,r,16.238,0.047,negative,-1221.0,5.2
60544.244433,r,16.238,0.047,negative,-1221.0,5.2
60544.204606,g,18.739,0.111,negative,-120.2,6.6
60540.339780,g,18.838,0.136,negative,-102.8,10.1
60540.265463,r,16.222,0.043,negative,-1222.8,5.8
60540.265463,r,16.222,0.043,negative,-1222.8,5.8
60538.345833,g,18.714,0.103,negative,-117.6,6.6
60538.254664,r,16.232,0.033,negative,-1136.4,6.3
60530.350498,r,16.230,0.041,negative,-1189.3,4.3
60530.350498,r,16.230,0.041,negative,-1189.3,4.3
60530.279537,g,18.749,0.075,negative,-116.4,3.6
60528.321794,g,18.725,0.101,negative,-120.8,4.0
60528.286250,r,16.225,0.049,negative,-1278.8,4.1
60526.386354,r,16.224,0.045,negative,-1233.4,3.9
60526.386354,r,16.224,0.045,negative,-1233.4,3.9
60526.309526,g,18.770,0.072,negative,-118.6,3.7
60524.382349,r,16.229,0.047,negative,-1272.7,4.0
60524.344352,g,18.736,0.104,negative,-120.2,3.7
60521.359306,g,18.832,0.106,negative,-103.2,4.8
60521.359306,g,18.832,0.106,negative,-103.2,4.8
60521.284745,r,16.227,0.055,negative,-1278.3,3.6
60519.405613,g,18.723,0.091,negative,-114.5,5.7
60519.326100,r,16.228,0.037,negative,-1212.1,3.6
60516.366088,r,16.233,0.048,negative,-1235.3,5.4
60516.283507,g,18.780,0.136,negative,-118.8,7.4
60514.407257,g,18.719,0.187,negative,-118.6,9.7
