MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
60086.227187,g,17.775,0.054,negative,,
60086.226146,g,18.184,0.053,negative,,
60086.225139,g,20.058,,limit,,
60086.222651,g,18.265,0.045,negative,,
60086.181296,r,16.849,0.046,negative,,
60086.180255,r,16.890,0.041,negative,,
60086.179248,r,19.128,,limit,,
60086.176759,r,19.225,,limit,,
60085.332488,g,20.371,,limit,,
60085.332014,g,20.502,,limit,,
60085.284306,r,20.423,,limit,,
60085.261771,r,20.576,,limit,,
60084.325775,g,19.856,,limit,,
60084.215671,r,20.496,,limit,,
60084.215197,r,20.338,,limit,,
60084.181759,g,20.609,,limit,,
60083.322049,g,20.544,,limit,,
60083.215393,r,20.537,,limit,,
60083.203495,g,20.773,,limit,,
60082.245637,g,17.097,,limit,,
60082.199907,r,20.281,,limit,,
60082.199433,r,20.229,,limit,,
60081.315880,g,20.571,,limit,,
60081.308599,g,20.382,,limit,,
60081.277847,r,20.336,,limit,,
60081.270243,r,20.063,,limit,,
60080.263056,g,20.462,,limit,,
60080.240810,g,20.432,,limit,,
60079.351099,g,20.376,,limit,,
60079.329167,r,20.290,,limit,,
60079.328692,r,20.163,,limit,,
60079.271157,g,20.645,,limit,,
60078.324398,g,20.422,,limit,,
60078.323935,g,20.452,,limit,,
60078.281215,r,20.226,,limit,,
60078.280741,r,20.277,,limit,,
60077.384873,g,19.934,,limit,,
60077.384410,g,20.017,,limit,,
60077.326019,r,20.229,,limit,,
60077.304653,r,20.234,,limit,,
60076.351319,r,20.268,,limit,,
60076.290891,g,20.340,,limit,,
60076.290428,g,20.527,,limit,,
60073.327616,r,19.989,,limit,,
60073.327153,r,19.794,,limit,,
60073.261829,g,20.270,,limit,,
60067.285393,g,19.112,,limit,,
60067.284931,g,18.896,,limit,,
60067.280579,g,19.098,,limit,,
60067.280104,g,19.067,,limit,,
60064.286331,r,19.924,,limit,,
60064.284861,r,20.103,,limit,,
60064.284387,r,20.017,,limit,,
60064.283403,r,19.927,,limit,,
60064.255174,g,19.566,,limit,,
60064.239201,g,19.544,,limit,,
60064.214861,g,19.852,,limit,,
60064.214375,g,19.929,,limit,,
60062.434514,g,20.281,,limit,,
60062.432546,g,20.244,,limit,,
60062.432072,g,20.142,,limit,,
60062.431134,g,20.400,,limit,,
60062.356643,r,20.110,,limit,,
60062.197593,r,20.289,,limit,,
60062.178461,r,20.000,,limit,,
60062.177477,r,20.011,,limit,,
60060.390116,g,20.228,,limit,,
60060.389144,g,20.122,,limit,,
60060.325984,r,20.217,,limit,,
60060.325509,r,20.269,,limit,,
60060.324560,r,20.136,,limit,,
60060.194815,g,20.184,,limit,,
60060.176516,r,19.811,,limit,,
60058.363368,r,20.236,,limit,,
60058.324028,g,20.521,,limit,,
60058.307037,g,20.588,,limit,,
60058.305613,g,20.285,,limit,,
60058.305139,g,20.583,,limit,,
60058.260243,r,20.247,,limit,,
60058.258241,r,20.031,,limit,,
60058.218646,r,20.286,,limit,,
60056.343727,r,20.308,,limit,,
60056.325775,r,20.548,,limit,,
60056.325289,r,20.242,,limit,,
60056.303738,r,20.242,,limit,,
60056.220220,g,20.538,,limit,,
60056.219745,g,20.314,,limit,,
60056.217859,g,20.691,,limit,,
60056.217384,g,20.411,,limit,,
58962.289803,r,20.230,0.206,positive,,
58962.285694,r,20.442,0.227,positive,,
58962.284271,r,20.348,0.208,positive,,
58962.258720,r,20.270,,limit,,
58962.240310,g,20.633,,limit,,
58962.238935,g,20.767,0.267,positive,,
58962.238480,g,20.516,,limit,,
58956.291410,r,20.238,,limit,,
58956.289606,r,20.333,0.236,positive,,
58954.452330,r,19.748,,limit,,
58954.309201,g,20.510,0.245,positive,,
58954.291200,g,20.489,,limit,,
58954.289850,g,20.664,,limit,,
58954.289398,g,20.930,0.273,positive,,
58954.269387,r,20.308,0.260,positive,,
58954.242627,r,20.630,0.358,positive,,
58954.242188,r,20.284,0.229,positive,,
58944.426560,g,19.264,,limit,,
58944.426110,g,19.173,,limit,,
58944.425170,g,19.213,,limit,,
58944.388030,r,19.239,,limit,,
58944.387560,r,19.229,,limit,,
58944.350780,r,19.343,,limit,,
58939.395670,r,19.040,,limit,,
58939.395190,r,19.141,,limit,,
58939.394240,r,19.437,,limit,,
58939.366420,r,18.332,,limit,,
58939.345160,g,19.843,,limit,,
58939.343290,g,19.849,,limit,,
58939.329630,g,19.412,,limit,,
58939.328240,g,19.430,,limit,,
58936.426667,r,19.917,0.186,positive,,
58936.423449,r,20.020,0.155,positive,,
58936.407847,r,19.972,0.178,positive,,
58936.405232,r,20.128,0.186,positive,,
58936.301481,g,20.688,0.238,positive,,
58936.277269,g,20.566,0.349,positive,,
58936.276817,g,20.519,0.205,positive,,
58936.274086,g,20.656,0.223,positive,,
58915.390868,r,19.735,0.221,positive,,
58915.389514,r,19.817,0.239,positive,,
58914.451204,g,20.312,0.291,positive,,
58914.386007,r,19.803,0.239,positive,,
58914.385556,r,19.555,0.207,positive,,
58914.364132,r,19.641,0.203,positive,,
58914.363681,r,19.567,0.198,positive,,
58913.469016,r,19.684,0.171,positive,,
58913.454224,r,19.591,0.158,positive,,
58913.453727,r,19.510,0.170,positive,,
58913.433912,r,19.663,0.253,positive,,
58913.324884,g,20.217,0.295,positive,,
58913.322072,g,20.045,0.211,positive,,
58913.305255,g,19.898,0.187,positive,,
58913.300625,g,20.148,0.254,positive,,
58912.511655,g,20.033,0.171,positive,,
58912.511204,g,20.083,0.218,positive,,
58912.478472,r,19.615,0.137,positive,,
58912.456528,r,19.653,0.146,positive,,
58912.431435,r,19.554,0.123,positive,,
58912.284549,g,20.147,0.227,positive,,
58912.259016,g,20.110,0.266,positive,,
58911.469259,r,19.546,0.190,positive,,
58911.468808,r,19.552,0.143,positive,,
58911.408333,g,19.997,0.183,positive,,
58911.407882,g,19.871,0.252,positive,,
58911.407396,g,19.960,0.151,positive,,
58911.406940,g,20.287,,limit,,
58911.239690,r,19.378,,limit,,
58911.225050,r,19.282,,limit,,
58909.289950,g,19.744,,limit,,
58909.269340,g,19.608,,limit,,
58909.243800,g,19.743,,limit,,
58908.467708,r,19.702,0.141,positive,,
58908.466759,r,19.621,0.142,positive,,
58908.466759,r,19.621,0.142,positive,,
58908.444549,r,19.563,0.122,positive,,
58908.324688,g,19.944,0.187,positive,,
58908.322870,g,20.439,,limit,,
58908.322407,g,20.104,0.257,positive,,
58906.466840,r,19.569,0.131,positive,,
58906.466370,r,20.192,,limit,,
58906.464525,r,19.493,0.140,positive,,
58906.455104,r,19.374,0.192,positive,,
58906.325540,g,20.365,,limit,,
58906.324618,g,20.102,0.277,positive,,
58906.299907,g,19.993,0.160,positive,,
58906.296088,g,20.145,0.301,positive,,
58905.303750,g,19.905,0.242,positive,,
58905.302373,g,20.230,0.347,positive,,
58905.284468,g,20.166,0.263,positive,,
58905.283067,g,20.029,0.207,positive,,
58905.220440,r,19.466,0.187,positive,,
58904.515961,r,19.514,0.137,positive,,
58904.485776,r,19.372,0.119,positive,,
58904.433796,g,20.078,0.255,positive,,
58904.432894,g,19.902,0.266,positive,,
58904.306470,g,20.440,,limit,,
58904.305023,g,19.985,0.144,positive,,
58904.239630,r,20.124,,limit,,
58904.222740,r,20.148,,limit,,
58903.405984,r,19.403,0.101,positive,,
58903.405544,r,19.540,0.123,positive,,
58903.386331,r,19.405,0.110,positive,,
58903.384977,r,19.435,0.114,positive,,
58903.363727,g,20.187,0.221,positive,,
58903.363241,g,20.059,0.167,positive,,
58903.347847,g,20.143,0.196,positive,,
58903.345570,g,20.668,,limit,,
58901.407975,r,19.426,0.128,positive,,
58901.394757,r,19.395,0.122,positive,,
58901.392014,r,19.507,0.139,positive,,
58901.391528,r,19.441,0.115,positive,,
58900.426250,r,19.169,0.268,positive,,
58900.424896,r,19.503,0.160,positive,,
58900.407384,r,19.367,0.125,positive,,
58900.387893,g,19.952,0.152,positive,,
58900.347836,g,19.920,0.165,positive,,
58900.344144,g,19.944,0.163,positive,,
58900.323947,g,20.031,0.157,positive,,
58900.264282,r,19.386,0.120,positive,,
58899.474236,r,19.443,0.136,positive,,
58899.412569,g,19.932,0.177,positive,,
58899.389711,g,20.154,0.148,positive,,
58899.386528,g,19.750,0.150,positive,,
58899.386076,g,19.916,0.150,positive,,
58899.348356,r,19.409,0.108,positive,,
58899.346516,r,19.419,0.109,positive,,
58899.345162,r,19.475,0.125,positive,,
58898.468056,r,19.391,0.126,positive,,
58898.428692,g,19.926,0.131,positive,,
58898.389502,g,19.963,0.121,positive,,
58898.387593,g,20.063,0.172,positive,,
58898.386204,g,20.026,0.135,positive,,
58898.368819,r,19.383,0.077,positive,,
58898.365069,r,19.482,0.127,positive,,
58898.364583,r,19.455,0.092,positive,,
58895.453102,r,19.414,0.132,positive,,
58895.452616,r,19.459,0.130,positive,,
58895.452164,r,19.228,0.102,positive,,
58895.390567,g,19.958,0.162,positive,,
58895.390081,g,19.969,0.199,positive,,
58895.241157,g,19.992,0.171,positive,,
58894.507014,r,19.286,0.102,positive,,
