MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
58692.166678,r,19.353,0.197,positive,,
58683.177940,g,19.926,0.315,positive,,
58680.174757,g,19.277,0.283,positive,,
58677.193530,r,19.314,0.182,positive,,
58677.172859,g,19.867,0.325,positive,,
58674.221160,r,19.381,,limit,,
58674.202512,g,19.904,0.320,positive,,
58670.207604,g,20.167,0.350,positive,,
58666.204676,g,19.859,0.193,positive,,
58666.176111,r,19.098,0.154,positive,,
58661.228970,g,19.665,0.235,positive,,
58661.195046,r,19.003,0.109,positive,,
58658.206655,g,19.860,0.153,positive,,
58658.176343,r,18.953,0.115,positive,,
58653.185694,r,19.011,0.122,positive,,
58650.187882,g,19.710,0.339,positive,,
58647.233970,r,18.687,0.120,positive,,
58642.224676,r,18.777,0.079,positive,,
58642.196053,g,19.508,0.136,positive,,
58642.166701,g,19.639,0.227,positive,,
58639.174375,r,18.639,0.092,positive,,
58636.253576,g,19.503,0.151,positive,,
58633.205301,r,18.542,0.073,positive,,
58628.301400,r,18.396,0.082,positive,,
58628.189479,g,19.493,0.144,positive,,
58616.167974,r,18.265,0.082,positive,,
58612.253229,g,19.269,0.109,positive,,
58612.249734,r,18.209,0.088,positive,,
58609.210301,g,19.263,0.107,positive,,
58606.210382,r,18.105,0.081,positive,,
58606.207530,r,20.584,,limit,,
58602.255359,r,18.048,0.072,positive,,
58600.275683,r,17.990,0.058,positive,,
58600.231343,g,19.129,0.120,positive,,
58597.248750,r,17.995,0.057,positive,,
58596.255995,r,17.951,0.071,positive,,
58596.231551,g,19.161,0.188,positive,,
58593.321354,r,17.915,0.066,positive,,
58592.272245,r,17.778,0.095,positive,,
58592.203090,g,18.841,,limit,,
58589.256150,r,18.948,,limit,,
58586.331088,r,17.783,0.056,positive,,
58583.298715,r,17.759,0.061,positive,,
58582.250093,r,17.750,0.059,positive,,
58580.346597,r,17.725,0.056,positive,,
58580.315104,r,17.734,0.061,positive,,
58580.297083,g,18.948,0.089,positive,,
58575.373611,r,17.695,0.110,positive,,
58575.313819,g,18.839,0.127,positive,,
58572.333692,g,18.902,0.161,positive,,
58572.297905,r,17.602,0.071,positive,,
58568.354700,r,16.845,,limit,,
58567.359514,r,17.549,0.060,positive,,
58567.293241,g,18.774,0.148,positive,,
58560.357940,r,17.471,0.056,positive,,
58560.273206,g,18.777,0.157,positive,,
58558.241551,r,17.447,0.061,positive,,
58557.395544,r,17.421,0.045,positive,,
58541.418530,g,18.593,0.129,positive,,
58540.305706,r,17.237,0.043,positive,,
58538.399491,g,18.760,0.237,positive,,
58538.337639,r,17.147,0.074,positive,,
58526.481759,r,17.079,0.054,positive,,
58526.456331,g,18.444,0.077,positive,,
58524.453970,r,17.046,0.037,positive,,
58522.524201,r,17.013,0.055,positive,,
58522.460278,g,18.385,0.077,positive,,
58511.541192,r,16.973,0.066,positive,,
58511.461956,g,18.241,0.069,positive,,
58507.488380,g,18.104,0.088,positive,,
58506.519988,g,18.164,0.132,positive,,
58505.544201,r,16.914,0.046,positive,,
58503.541389,g,18.204,0.096,positive,,
58502.542326,r,16.894,0.044,positive,,
58502.499514,g,18.204,0.093,positive,,
58494.548507,r,16.857,0.054,positive,,
58494.505590,g,18.049,0.058,positive,,
58493.477824,r,16.831,0.042,positive,,
58491.547512,r,16.818,0.035,positive,,
58491.497431,g,18.042,0.066,positive,,
58486.503357,r,16.782,0.036,positive,,
58476.486944,r,16.705,0.035,positive,,
58474.483044,r,16.712,0.055,positive,,
58471.504549,g,17.882,0.058,positive,,
58468.526377,r,16.678,0.031,positive,,
58465.548634,g,17.844,0.070,positive,,
58465.519062,r,16.706,0.036,positive,,
58462.504170,g,16.834,,limit,,
58448.559873,r,16.474,0.040,positive,,
58448.513438,r,16.462,0.039,positive,,
