MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
58514.113669,r,17.409,0.054,positive,,
58507.241771,r,17.187,0.050,positive,,
58503.167257,g,17.976,0.082,positive,,
58503.128380,r,17.020,0.050,positive,,
58494.167480,g,20.276,,limit,,
58491.219664,r,16.589,0.031,positive,,
58491.163403,g,17.782,0.069,positive,,
58487.235232,r,16.380,0.033,positive,,
58487.172280,g,17.528,0.065,positive,,
58481.311724,r,16.109,0.027,positive,,
58481.268067,g,17.213,0.049,positive,,
58474.308646,r,15.927,0.031,positive,,
58474.121771,g,17.077,0.046,positive,,
58469.212639,r,15.646,0.046,positive,,
58469.169213,g,16.865,0.039,positive,,
58466.276979,g,16.589,0.095,positive,,
58466.233796,r,15.403,0.033,positive,,
58462.273148,r,15.183,0.025,positive,,
58462.260151,g,16.252,0.043,positive,,
58456.254525,r,15.121,0.032,positive,,
58456.220035,r,15.087,0.026,positive,,
58450.314294,r,15.093,0.066,positive,,
58447.353785,r,14.587,0.018,positive,,
58437.312040,r,20.156,,limit,,
58437.247510,g,19.818,,limit,,
58434.306660,r,19.651,,limit,,
58434.283990,g,20.091,,limit,,
58431.287530,r,19.635,,limit,,
58431.237940,g,19.777,,limit,,
58428.310930,g,20.630,,limit,,
58428.265080,r,20.206,,limit,,
58425.345570,g,20.418,,limit,,
58425.295350,r,19.920,,limit,,
