MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
60619.490752,g,19.047,0.143,negative,,
60619.452083,r,14.776,0.033,negative,-4314.7,6.4
60616.366123,g,17.144,,limit,,
60613.472998,r,14.774,0.033,negative,-4315.0,5.9
60610.411794,g,19.071,0.145,negative,,
60610.385312,r,14.783,0.039,negative,-4457.9,5.2
60608.403322,r,14.783,0.041,negative,,
60608.365347,g,19.215,0.117,negative,-75.2,3.8
60606.412222,g,19.112,0.120,negative,,
60606.345266,r,14.797,0.045,negative,-4395.9,5.0
60604.437303,r,14.798,0.049,negative,-4500.7,4.8
60604.338785,g,19.277,0.144,negative,-70.8,5.8
60602.513449,r,14.782,0.021,negative,-4188.6,12.4
60602.430799,g,18.954,0.314,negative,,
60599.463843,g,19.342,,limit,-78.9,9.3
60599.401725,r,14.792,0.048,negative,-4453.1,7.3
60597.468194,g,19.181,0.096,negative,-79.2,2.8
60597.386412,r,14.797,0.043,negative,,
60595.436169,g,19.100,0.104,negative,-84.8,3.0
60595.388044,r,14.789,0.050,negative,-4391.3,3.8
60595.388044,r,14.789,0.050,negative,-4391.3,3.8
60592.467407,g,19.141,0.110,negative,-74.6,3.9
60592.445822,r,14.771,0.024,negative,-4279.6,6.5
60577.508322,r,19.493,,limit,-7.0,7.2
60577.495764,g,19.061,0.108,negative,,
60577.468507,r,14.796,0.039,negative,-4366.4,4.7
60576.508032,r,14.783,0.040,negative,,
60576.487836,g,19.112,0.113,negative,-84.6,5.1
60576.471192,r,19.701,,limit,2.8,6.2
60575.507188,r,14.775,0.036,negative,-4451.9,5.8
60575.406343,g,19.071,0.152,negative,-82.3,7.0
60575.388970,r,19.447,,limit,1.0,8.2
60574.463877,r,14.767,0.030,negative,-4371.9,9.2
60571.469757,g,19.185,0.245,negative,-77.3,11.2
60571.445069,r,14.773,0.032,negative,,
60568.410498,r,14.798,0.044,negative,-4382.9,4.4
60568.410498,r,14.797,0.044,negative,-4382.9,4.4
60565.453206,r,14.778,0.037,negative,-4399.8,4.0
60565.423218,g,19.137,0.093,negative,-81.9,2.9
60560.414931,g,18.359,,limit,,
60352.281377,g,19.137,0.099,negative,,
60341.248866,g,19.213,0.098,negative,-74.6,3.9
60341.215474,r,14.768,0.028,negative,-4350.0,6.5
60339.362535,g,19.076,0.116,negative,-86.1,5.9
60339.246736,r,14.795,0.045,negative,,
60334.237986,r,14.777,0.034,negative,-4319.8,12.0
60326.296759,g,19.129,0.130,negative,-82.0,3.1
60326.215498,r,14.786,0.037,negative,-4413.0,4.6
60324.360081,g,19.136,0.107,negative,-80.6,3.4
60324.280810,r,14.784,0.041,negative,-4374.7,4.7
60322.281991,g,19.187,0.147,negative,,
60322.268773,r,14.764,0.018,negative,,
60321.499375,g,19.102,0.129,negative,-82.2,5.2
60314.259919,g,19.207,0.104,negative,-71.9,4.3
60314.182569,r,14.781,0.029,negative,-4287.5,6.3
60308.386424,r,14.788,0.034,negative,,
60308.143090,g,17.642,,limit,,
60306.381169,r,14.765,0.051,negative,,
60296.389213,r,14.797,0.045,negative,,
60296.351250,g,19.194,0.121,negative,-72.0,4.0
