MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
58679.202894,r,19.035,0.184,positive,,
58667.228599,r,18.542,0.122,positive,,
58661.228067,g,19.996,0.169,positive,,
58661.197998,r,18.249,0.075,positive,,
58658.205752,g,19.855,0.131,positive,,
58658.179063,r,18.180,0.066,positive,,
58655.236750,g,20.145,,limit,,
58652.275637,r,17.888,0.080,positive,,
58649.217558,r,17.743,0.052,positive,,
58649.174803,g,19.650,0.264,positive,,
58646.226007,r,17.561,0.058,positive,,
58646.189942,g,19.384,0.190,positive,,
58642.223773,r,17.476,0.044,positive,,
58642.198333,g,19.441,0.120,positive,,
58639.175324,r,17.397,0.047,positive,,
58636.249653,g,19.304,0.121,positive,,
58636.206470,r,17.180,0.045,positive,,
58633.228681,g,19.049,0.110,positive,,
58633.201655,r,17.070,0.042,positive,,
58628.301852,r,16.778,0.042,positive,,
58628.192651,g,18.821,0.085,positive,,
58619.251655,g,17.692,0.078,positive,,
58619.194410,r,16.059,0.039,positive,,
58616.168430,r,19.798,,limit,,
58612.254595,g,17.279,0.044,positive,,
58612.211157,r,16.069,0.036,positive,,
58609.211667,g,17.478,0.045,positive,,
58606.209920,r,20.609,,limit,,
58606.206620,r,15.820,0.031,positive,,
58600.213120,g,20.481,,limit,,
58597.247360,r,20.671,,limit,,
58596.254160,r,20.269,,limit,,
58596.227820,g,20.511,,limit,,
58593.279310,r,19.418,,limit,,
58592.257490,r,19.093,,limit,,
58592.202640,g,18.983,,limit,,
58589.273370,r,18.479,,limit,,
58586.250290,r,20.232,,limit,,
58583.275840,r,20.061,,limit,,
58582.264430,r,20.514,,limit,,
58580.347500,r,20.408,,limit,,
58580.279220,r,20.629,,limit,,
58580.255390,g,20.676,,limit,,
