MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
58706.391088,r,19.173,0.120,positive,,
58697.395243,r,19.023,0.092,positive,,
58688.394086,r,18.937,0.077,positive,,
58684.443773,r,18.744,0.118,positive,,
58680.444430,g,19.047,,limit,,
58680.293993,r,18.705,0.103,positive,,
58677.330720,g,20.009,,limit,,
58671.399460,r,14.873,,limit,,
58665.460310,g,20.569,,limit,,
58665.420470,r,20.681,,limit,,
58661.458550,g,20.461,,limit,,
58661.336157,r,17.935,0.058,positive,,
58650.460200,g,17.016,,limit,,
58640.461460,r,20.456,,limit,,
58637.459931,g,17.578,0.065,positive,,
58637.421817,r,17.520,0.062,positive,,
58634.448345,g,18.016,0.053,positive,,
58634.421875,r,18.002,0.051,positive,,
58617.461900,g,20.638,,limit,,
58607.484440,r,20.630,,limit,,
58607.468760,g,20.491,,limit,,
