MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
58509.151400,g,17.388,0.086,positive,,
58503.152349,g,16.964,0.041,positive,,
58503.151887,g,17.022,0.049,positive,,
58494.151640,g,20.216,,limit,,
58491.131340,g,20.350,,limit,,
58491.116610,r,20.022,,limit,,
58487.144700,g,20.486,,limit,,
58487.127010,g,20.325,,limit,,
58487.098300,r,20.189,,limit,,
58487.097850,r,20.384,,limit,,
58482.185860,r,19.409,,limit,,
58482.153290,g,19.919,,limit,,
58482.127880,g,20.244,,limit,,
58475.165160,r,19.503,,limit,,
58475.093750,g,18.980,,limit,,
58474.161450,r,19.689,,limit,,
58474.100940,g,19.554,,limit,,
