MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
60437.193692,r,18.576,0.119,negative,,
60434.274873,g,20.646,,limit,4.1,4.4
60434.254919,r,20.407,,limit,-10.0,6.2
60432.317454,r,20.169,,limit,3.9,8.5
60432.275625,g,20.355,,limit,-2.7,5.3
60430.221482,g,20.392,,limit,-2.0,5.3
60424.336123,g,18.700,,limit,,
60424.262257,r,18.922,,limit,-18.0,14.5
60419.277720,g,19.678,,limit,-7.0,8.9
60419.251898,r,19.746,,limit,0.0,9.8
60417.327812,g,19.865,,limit,7.0,7.1
60417.299005,r,20.038,,limit,0.2,7.8
60413.361782,r,20.372,,limit,-0.2,6.4
60413.297917,g,20.435,,limit,4.2,6.0
60407.358252,r,20.243,,limit,6.3,7.3
60407.315440,g,20.337,,limit,-0.5,5.1
59223.482095,r,18.724,0.113,positive,,
59221.525509,r,18.999,0.169,positive,,
59221.501134,g,19.793,0.228,positive,,
59218.478901,g,19.391,0.191,positive,,
59216.514618,r,18.809,0.112,positive,,
59215.542220,r,19.295,,limit,,
59204.468300,g,20.274,,limit,,
59201.514420,r,19.956,,limit,,
59199.542940,g,19.574,0.179,positive,,
59199.519380,r,19.778,,limit,,
59196.511260,r,19.728,,limit,,
59194.514699,r,18.483,0.087,positive,,
59189.509330,g,18.839,,limit,,
59187.528820,g,19.173,,limit,,
59185.511458,g,19.314,0.236,positive,,
59184.526713,g,19.472,0.306,positive,,
59184.505289,r,18.402,0.093,positive,,
59180.560880,r,19.069,,limit,,
59180.503970,g,19.043,,limit,,
59033.172292,r,17.598,0.070,positive,,
59026.216310,g,19.417,,limit,,
59023.213472,g,18.898,0.102,positive,,
59020.235440,r,20.297,,limit,,
59020.196863,g,18.804,0.079,positive,,
59017.234317,r,17.728,0.054,positive,,
59017.216921,g,18.781,0.089,positive,,
59014.198461,g,18.619,0.087,positive,,
59009.231018,g,18.792,0.143,positive,,
59009.170440,r,17.413,0.056,positive,,
59005.254140,r,19.428,,limit,,
58998.230833,r,17.659,0.066,positive,,
58998.191782,g,19.031,0.102,positive,,
58995.247310,r,20.332,,limit,,
58995.199607,g,18.908,0.105,positive,,
58992.232400,r,20.432,,limit,,
58992.190868,g,18.873,0.091,positive,,
58986.189155,g,18.800,0.094,positive,,
58980.189074,g,18.618,0.074,positive,,
58976.253391,r,17.348,0.051,positive,,
58972.251956,g,18.787,0.127,positive,,
58972.192002,r,17.587,0.059,positive,,
58969.294800,r,17.043,,limit,,
58969.232180,g,20.069,,limit,,
58966.252569,g,18.655,0.135,positive,,
58966.208320,r,17.826,,limit,,
58963.270486,g,18.584,0.075,positive,,
58963.223600,g,18.668,0.085,positive,,
58955.294190,g,18.566,0.078,positive,,
58955.269120,r,17.327,0.051,positive,,
58914.404456,r,16.728,0.036,positive,,
58911.449086,r,16.736,0.042,positive,,
58901.397199,r,16.629,0.050,positive,,
58898.460220,r,16.475,0.040,positive,,
58898.417662,g,18.034,0.058,positive,,
58894.493148,r,16.440,0.037,positive,,
58894.334259,g,17.954,0.050,positive,,
58887.481366,r,16.243,0.036,positive,,
58887.439213,g,17.750,0.063,positive,,
58884.518982,r,16.165,0.039,positive,,
58884.459468,g,17.752,0.059,positive,,
58881.479919,g,17.699,0.048,positive,,
58875.501643,r,15.860,0.033,positive,,
58872.544572,r,15.735,0.032,positive,,
58872.438484,g,17.279,0.049,positive,,
58856.542732,g,16.079,0.026,positive,,
58853.503785,g,16.067,0.030,positive,,
58850.542974,g,16.167,0.035,positive,,
58850.521099,r,15.274,0.022,positive,,
58835.546110,g,19.360,,limit,,
58835.481770,r,18.872,,limit,,
58830.564930,g,19.575,,limit,,
