MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
58720.145289,r,19.574,0.153,positive,,
58714.220240,g,19.635,,limit,,
58708.249210,r,19.333,,limit,,
58708.150280,g,19.500,,limit,,
58705.247360,g,19.173,,limit,,
58701.156080,r,18.477,,limit,,
58698.192150,g,16.426,,limit,,
58698.174815,r,19.394,0.172,positive,,
58692.190313,g,20.404,0.246,positive,,
58692.174340,r,19.187,0.128,positive,,
58684.189444,g,20.090,0.193,positive,,
58684.165718,r,19.101,0.151,positive,,
58680.168140,g,19.051,,limit,,
58677.324680,g,18.929,,limit,,
58674.225197,r,19.077,0.113,positive,,
58674.205394,g,20.074,0.314,positive,,
58671.208287,r,18.968,0.139,positive,,
58668.175336,r,18.891,0.098,positive,,
58665.189722,g,19.868,0.195,positive,,
58660.230058,r,18.909,0.092,positive,,
58657.252060,r,18.803,0.104,positive,,
58657.210532,g,19.684,0.160,positive,,
58653.228599,r,18.661,0.092,positive,,
58650.252280,r,18.577,0.154,positive,,
58650.209700,g,19.120,,limit,,
58645.230660,g,19.419,0.176,positive,,
58642.296146,g,19.376,0.127,positive,,
58642.251782,r,18.577,0.074,positive,,
58639.293819,r,18.524,0.079,positive,,
58639.251887,g,19.309,0.134,positive,,
58636.272639,g,19.328,0.130,positive,,
58636.210891,r,18.560,0.094,positive,,
58633.316227,r,18.457,0.089,positive,,
58628.333762,r,18.386,0.095,positive,,
58617.378889,g,18.928,0.132,positive,,
58617.309294,r,18.295,0.080,positive,,
58606.377431,g,18.898,0.098,positive,,
58606.356505,r,18.082,0.075,positive,,
58597.379236,r,17.953,0.071,positive,,
58591.376516,r,17.848,0.065,positive,,
58591.251736,g,18.340,0.182,positive,,
58587.377512,r,17.785,0.085,positive,,
58587.356643,g,18.533,0.110,positive,,
58584.446215,g,18.571,0.089,positive,,
58584.417014,r,17.707,0.071,positive,,
58581.400185,r,17.640,0.072,positive,,
58581.299294,g,18.502,0.088,positive,,
58577.437882,r,17.603,0.242,positive,,
58574.423808,r,17.601,0.069,positive,,
58574.398160,g,18.426,0.087,positive,,
58568.397824,g,18.322,0.085,positive,,
58568.337700,r,16.302,,limit,,
58560.481146,g,18.342,0.067,positive,,
58560.418241,r,17.353,0.045,positive,,
58557.459540,g,20.033,,limit,,
58541.542894,r,16.839,0.036,positive,,
58541.459259,g,17.934,0.053,positive,,
58526.543819,g,17.007,0.052,positive,,
58526.506296,r,16.004,0.033,positive,,
58509.494410,r,15.984,0.029,positive,,
58506.523877,g,16.690,0.046,positive,,
58503.516065,r,16.692,0.053,positive,,
58493.548210,g,20.439,,limit,,
58493.508210,r,20.047,,limit,,
58481.552290,r,19.447,,limit,,
