MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
59025.183287,r,18.915,0.110,positive,,
59023.329375,g,19.441,0.136,positive,,
59023.304607,r,18.190,0.056,positive,,
59022.349143,g,18.994,0.097,positive,,
59022.262546,r,17.868,0.046,positive,,
59020.369537,g,18.359,0.084,positive,,
59020.263704,r,17.338,0.040,positive,,
59019.364641,r,17.266,0.037,positive,,
59019.289711,g,18.267,0.071,positive,,
59018.344768,g,18.219,0.066,positive,,
59017.309155,g,18.120,0.049,positive,,
59017.286782,r,17.145,0.034,positive,,
59016.344421,g,18.037,0.085,positive,,
59015.323854,r,17.112,0.044,positive,,
59014.356192,g,18.089,0.062,positive,,
59014.250162,r,17.111,0.044,positive,,
59013.324074,r,17.113,0.033,positive,,
59013.245058,g,18.091,0.061,positive,,
59012.306632,g,18.070,0.054,positive,,
59012.282535,r,17.109,0.041,positive,,
59011.327211,r,17.130,0.037,positive,,
59011.310035,g,18.044,0.068,positive,,
59009.367465,r,17.134,0.046,positive,,
59009.290428,g,18.108,0.078,positive,,
59008.345081,r,17.133,0.045,positive,,
59005.354220,r,18.475,,limit,,
59005.304896,r,17.142,0.038,positive,,
59005.204653,g,18.043,0.068,positive,,
59004.300220,r,17.142,0.037,positive,,
59004.204155,g,18.024,0.087,positive,,
59002.410220,g,18.107,0.092,positive,,
59001.383264,g,18.063,0.072,positive,,
59000.406829,g,18.070,0.152,positive,,
59000.372141,r,17.121,0.049,positive,,
59000.307130,g,18.023,0.061,positive,,
58999.326759,r,17.099,0.035,positive,,
58999.262651,g,18.100,0.075,positive,,
58998.373611,g,18.075,0.049,positive,,
58998.323160,r,17.111,0.033,positive,,
58997.391100,g,18.082,0.054,positive,,
58997.280625,r,17.134,0.042,positive,,
58996.269780,r,17.140,0.047,positive,,
58996.195984,g,18.054,0.059,positive,,
58995.332407,g,18.094,0.061,positive,,
58995.261690,r,17.121,0.051,positive,,
58994.401690,g,18.043,0.050,positive,,
58993.264317,g,18.079,0.067,positive,,
58992.349456,g,18.135,0.063,positive,,
58992.301586,r,17.107,0.040,positive,,
58991.415405,g,18.072,0.059,positive,,
58991.277315,r,17.134,0.044,positive,,
58987.431991,g,18.087,0.056,positive,,
58987.350857,r,17.151,0.037,positive,,
58986.471817,r,17.173,0.046,positive,,
58986.399734,g,18.089,0.049,positive,,
58985.446771,g,18.105,0.075,positive,,
58985.392708,r,17.160,0.040,positive,,
58981.408831,r,17.202,0.039,positive,,
58981.325162,g,18.177,0.096,positive,,
58980.465069,r,17.207,0.039,positive,,
58980.414711,g,18.079,0.095,positive,,
58979.343102,r,17.192,0.050,positive,,
58979.257141,g,18.129,0.072,positive,,
58978.431181,g,18.117,0.096,positive,,
58978.301007,r,17.194,0.039,positive,,
58977.442685,r,17.240,0.049,positive,,
58977.387280,g,18.060,0.081,positive,,
58976.465428,g,18.168,0.086,positive,,
58976.349896,r,17.258,0.043,positive,,
58975.446551,r,17.275,0.041,positive,,
58975.244641,g,18.167,0.079,positive,,
