MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
59223.117975,r,19.402,0.172,positive,,
59219.141701,r,19.666,0.151,positive,,
59219.117520,g,20.235,,limit,,
59217.115870,r,15.914,,limit,,
59215.163100,g,18.611,,limit,,
59210.137040,g,18.575,,limit,,
59210.114201,r,19.417,0.269,positive,,
59206.175420,g,17.156,,limit,,
59204.164514,r,19.073,0.176,positive,,
59204.117180,g,19.767,,limit,,
59202.163340,g,19.589,,limit,,
59199.196770,g,19.677,,limit,,
59199.099100,r,20.035,,limit,,
59197.197880,r,18.253,,limit,,
59197.135050,g,17.231,,limit,,
59194.197220,g,19.675,,limit,,
59194.150718,r,19.340,0.172,positive,,
59192.203080,g,19.286,,limit,,
59192.148560,r,16.155,,limit,,
59185.135671,r,19.143,0.121,positive,,
59185.135671,r,19.143,0.121,positive,,
59181.073634,r,18.958,0.172,positive,,
59179.124294,r,19.061,0.094,positive,,
59175.149745,r,18.903,0.271,positive,,
59173.094444,r,18.961,0.118,positive,,
59171.180683,g,20.618,0.276,positive,,
59171.096970,r,20.276,,limit,,
59169.236830,g,19.965,,limit,,
59169.180250,r,20.052,,limit,,
59167.217222,r,18.922,0.115,positive,,
59164.289051,r,18.823,0.170,positive,,
59164.241700,g,19.913,,limit,,
59155.142860,g,19.649,,limit,,
59155.122384,r,18.818,0.095,positive,,
59153.143390,g,19.454,,limit,,
59153.093079,r,18.794,0.107,positive,,
59151.156260,g,19.644,,limit,,
59151.095972,r,18.769,0.078,positive,,
59149.243540,g,19.135,,limit,,
59149.111933,r,18.848,0.172,positive,,
59146.114595,r,18.770,0.095,positive,,
59144.176505,g,20.070,0.297,positive,,
59142.139630,r,18.710,0.098,positive,,
59142.139630,r,18.710,0.098,positive,,
59142.122490,g,20.403,,limit,,
59140.162000,g,20.482,,limit,,
59140.144803,r,18.628,0.075,positive,,
59138.217010,g,20.244,,limit,,
59136.179387,r,18.568,0.075,positive,,
59136.141991,g,20.281,0.196,positive,,
59134.177107,r,18.529,0.072,positive,,
59129.321370,g,19.927,,limit,,
59129.213760,r,19.975,,limit,,
59127.278220,r,18.601,,limit,,
59127.180430,g,20.550,,limit,,
59126.372130,r,18.456,0.099,positive,,
59126.260430,g,18.902,,limit,,
59125.289433,r,18.408,0.076,positive,,
59125.179460,g,19.613,,limit,,
59124.266551,r,18.505,0.085,positive,,
59123.307315,r,18.603,0.162,positive,,
59123.178170,g,19.357,,limit,,
59122.273461,g,19.942,0.311,positive,,
59122.206956,r,18.477,0.109,positive,,
59121.322072,g,20.260,0.362,positive,,
59120.243750,g,20.061,0.308,positive,,
59119.249329,g,20.090,0.258,positive,,
59117.258183,g,19.960,0.166,positive,,
59116.324086,r,18.364,0.063,positive,,
59116.284363,g,20.104,0.260,positive,,
59116.261090,g,20.318,,limit,,
59113.266331,r,18.413,0.091,positive,,
59113.204884,g,20.018,0.187,positive,,
59110.302361,g,19.716,0.323,positive,,
59110.263912,r,18.301,0.097,positive,,
59107.328264,g,20.222,0.257,positive,,
59107.290880,r,18.291,0.090,positive,,
59098.385764,r,18.250,0.078,positive,,
59097.342150,g,19.630,,limit,,
59097.304653,r,18.299,0.092,positive,,
59096.308542,r,18.157,0.062,positive,,
59095.378981,r,18.195,0.083,positive,,
59095.325903,g,19.899,0.272,positive,,
59095.195093,g,19.575,0.215,positive,,
59094.337070,r,19.452,,limit,,
59094.307268,r,18.110,0.069,positive,,
59094.216620,g,19.681,0.303,positive,,
59093.429860,g,19.288,,limit,,
59093.341875,r,18.209,0.079,positive,,
59092.316632,g,19.786,0.239,positive,,
59091.266130,g,19.823,,limit,,
59090.271240,g,19.665,,limit,,
59089.300610,g,19.809,,limit,,
59088.375069,r,18.184,0.067,positive,,
59088.309200,g,20.090,,limit,,
59087.302049,r,18.104,0.054,positive,,
59086.416528,r,18.147,0.076,positive,,
59086.322095,r,18.080,0.055,positive,,
59086.280359,g,19.918,0.169,positive,,
59084.345010,g,20.421,,limit,,
59084.291215,r,18.124,0.065,positive,,
59082.324360,g,19.211,,limit,,
59077.346100,g,19.826,0.142,positive,,
59076.359861,r,18.048,0.070,positive,,
59076.353056,r,18.034,0.071,positive,,
59076.305870,g,16.970,,limit,,
59075.344020,g,20.510,,limit,,
59075.309271,r,18.050,0.047,positive,,
59073.324618,g,19.831,0.143,positive,,
59073.309965,r,18.012,0.058,positive,,
59072.410630,g,20.194,,limit,,
59072.353715,g,19.829,0.177,positive,,
59072.326944,r,18.037,0.059,positive,,
59071.410081,g,19.872,0.158,positive,,
59071.346759,r,18.006,0.060,positive,,
59070.328403,g,19.831,0.139,positive,,
59070.309549,r,17.982,0.055,positive,,
59069.451030,r,18.025,0.066,positive,,
59069.413368,r,18.002,0.063,positive,,
59069.373720,g,20.139,,limit,,
59069.309074,g,19.904,0.194,positive,,
59068.449734,g,19.706,0.249,positive,,
59068.395544,r,17.931,0.056,positive,,
59068.339016,r,17.997,0.055,positive,,
59067.321655,g,20.035,0.207,positive,,
59067.308438,r,18.022,0.048,positive,,
59066.452824,r,17.997,0.060,positive,,
59066.342604,g,19.782,0.233,positive,,
59066.309884,g,19.805,0.236,positive,,
59065.359120,r,17.927,0.069,positive,,
59065.340845,r,18.086,0.086,positive,,
59065.238669,g,19.748,0.235,positive,,
59064.470891,g,19.830,0.321,positive,,
59064.334271,r,17.928,0.085,positive,,
59064.333808,r,17.946,0.068,positive,,
59063.452662,g,19.624,0.220,positive,,
59063.341470,r,17.949,0.061,positive,,
59063.315613,r,17.939,0.054,positive,,
59062.403414,g,19.750,0.227,positive,,
59062.299873,r,17.942,0.063,positive,,
59061.300729,r,17.924,0.068,positive,,
59060.405370,r,17.897,0.058,positive,,
59060.389780,g,19.755,0.139,positive,,
59059.379860,g,20.501,,limit,,
59059.362211,r,17.931,0.051,positive,,
59057.384849,g,19.768,0.146,positive,,
59057.357222,r,17.912,0.056,positive,,
59056.411319,g,19.650,0.135,positive,,
59056.388796,r,17.885,0.069,positive,,
59055.387616,g,19.808,0.155,positive,,
59055.363310,r,17.901,0.054,positive,,
59054.448102,g,19.659,0.126,positive,,
59054.378877,r,17.886,0.054,positive,,
59053.449931,r,17.875,0.048,positive,,
59053.414132,g,19.667,0.112,positive,,
59053.367963,g,19.812,0.133,positive,,
59052.381701,r,17.884,0.048,positive,,
59052.326970,g,20.854,,limit,,
59051.382049,r,17.865,0.056,positive,,
59051.328333,g,19.706,0.120,positive,,
59050.445208,r,17.831,0.049,positive,,
59050.385752,g,19.625,0.108,positive,,
59049.324051,g,19.643,0.114,positive,,
59048.391678,r,17.833,0.051,positive,,
59048.367523,g,19.864,0.139,positive,,
59047.415313,r,17.831,0.052,positive,,
59047.281470,g,19.729,0.115,positive,,
59046.391921,r,17.838,0.049,positive,,
59046.366600,g,20.700,,limit,,
59045.351181,r,17.808,0.049,positive,,
59045.277431,g,19.721,0.136,positive,,
59044.385382,r,17.820,0.055,positive,,
59044.370093,g,19.705,0.121,positive,,
59043.344977,g,19.745,0.127,positive,,
59043.286632,r,17.811,0.055,positive,,
59042.384931,r,17.797,0.052,positive,,
59042.338461,g,19.757,0.144,positive,,
59041.370428,g,19.704,0.155,positive,,
59041.277407,r,17.750,0.046,positive,,
59040.363264,r,17.772,0.063,positive,,
59040.244734,g,19.569,0.141,positive,,
59039.442083,r,17.737,0.046,positive,,
59039.371701,g,19.447,0.156,positive,,
59038.473808,g,19.519,0.156,positive,,
59038.369271,r,17.765,0.061,positive,,
59037.444213,r,17.755,0.055,positive,,
59037.260162,g,19.724,0.236,positive,,
59036.364873,r,17.749,0.051,positive,,
59036.237940,g,19.144,,limit,,
59035.451700,g,19.336,,limit,,
59035.362685,r,17.727,0.055,positive,,
59034.368032,r,17.706,0.059,positive,,
59034.224537,g,19.494,0.238,positive,,
59031.446759,r,17.640,0.038,positive,,
59031.330625,g,19.410,0.151,positive,,
59028.234248,r,17.546,0.053,positive,,
59025.390926,r,17.352,0.046,positive,,
59025.327280,g,19.191,0.093,positive,,
59022.361887,g,18.897,0.099,positive,,
59022.265961,r,17.102,0.034,positive,,
59019.368970,r,16.897,0.040,positive,,
59019.283009,g,18.621,0.073,positive,,
59016.476979,r,16.734,0.040,positive,,
59016.352292,g,18.502,0.116,positive,,
59013.394641,g,18.167,0.070,positive,,
59013.340324,r,16.599,0.033,positive,,
59010.476597,g,18.074,0.056,positive,,
