MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
60086.217859,g,18.947,0.092,negative,,
60086.197685,r,20.294,,limit,,
60086.170532,r,19.771,,limit,,
60085.239479,r,20.541,,limit,,
60085.219676,g,20.799,,limit,,
60083.217396,r,20.453,,limit,,
60083.201007,g,20.697,,limit,,
60081.311586,g,20.607,,limit,,
60081.267199,r,20.522,,limit,,
60079.398125,g,20.235,,limit,,
60077.257292,g,20.688,,limit,,
60077.215139,r,20.284,,limit,,
60073.258356,g,20.299,,limit,,
60073.193368,r,20.144,,limit,,
60065.303495,g,19.612,,limit,,
60065.211701,r,19.849,,limit,,
60063.251736,r,20.016,,limit,,
60063.172153,g,19.985,,limit,,
60061.340104,g,20.430,,limit,,
60061.213183,r,20.271,,limit,,
60059.321238,g,20.544,,limit,,
60059.233067,r,20.225,,limit,,
60057.300428,g,20.749,,limit,,
60057.177141,r,20.329,,limit,,
59550.508102,r,19.652,0.191,positive,,
59550.489942,g,18.644,,limit,,
59532.523681,g,20.414,,limit,,
59532.523206,g,19.925,0.259,positive,,
59532.476887,r,19.328,0.147,positive,,
59532.448924,r,19.787,,limit,,
59530.492975,g,19.412,,limit,,
59530.492500,g,19.662,,limit,,
59530.475613,r,19.346,0.317,positive,,
59530.475139,r,19.256,,limit,,
59527.497465,g,19.976,0.185,positive,,
59525.517002,r,19.351,0.157,positive,,
59525.516065,r,19.788,,limit,,
59525.496829,g,19.917,0.169,positive,,
59525.496366,g,20.441,,limit,,
59523.547326,g,19.874,0.219,positive,,
59517.546991,r,19.566,,limit,,
59517.482813,g,19.759,,limit,,
59509.531632,r,19.244,,limit,,
59509.529132,r,18.942,0.164,positive,,
59509.526632,r,19.087,0.158,positive,,
59509.524143,r,19.283,0.184,positive,,
59509.521655,r,19.365,,limit,,
59504.529178,r,18.771,0.218,positive,,
59504.526759,r,19.149,0.172,positive,,
59504.524340,r,18.006,,limit,,
59504.521921,r,18.423,0.322,positive,,
59504.519502,r,16.230,,limit,,
59393.289016,g,18.629,0.188,positive,,
59393.200417,r,20.304,,limit,,
59393.199942,r,17.459,0.053,positive,,
59391.282963,r,17.451,0.068,positive,,
59391.263715,r,19.463,,limit,,
59387.283877,g,19.024,,limit,,
59387.282465,g,18.625,0.158,positive,,
59387.200139,r,19.669,,limit,,
59387.198727,r,17.389,0.055,positive,,
59385.226007,r,19.551,,limit,,
59385.217049,r,17.358,0.047,positive,,
59385.202743,g,18.427,0.094,positive,,
59385.200856,g,19.588,,limit,,
59383.241262,g,19.210,,limit,,
59383.239849,g,18.489,0.130,positive,,
59383.198461,r,17.347,0.043,positive,,
59381.284271,g,18.397,,limit,,
59381.281921,g,18.485,0.218,positive,,
59379.215683,r,17.302,0.041,positive,,
59377.322535,g,19.974,,limit,,
59377.306794,g,18.354,0.081,positive,,
59377.215232,r,17.271,0.046,positive,,
59375.217107,r,17.251,0.058,positive,,
59373.265150,g,18.401,0.087,positive,,
59373.239931,r,17.237,0.047,positive,,
59371.218912,r,17.233,0.055,positive,,
59371.196250,g,18.359,0.093,positive,,
59370.264607,r,20.390,,limit,,
59369.216400,g,18.299,0.075,positive,,
59369.202951,r,17.192,0.040,positive,,
59367.242789,g,18.324,0.095,positive,,
59367.216944,r,17.154,0.047,positive,,
59365.196100,g,18.311,0.073,positive,,
59364.309329,r,20.137,,limit,,
59363.215868,g,18.270,0.070,positive,,
59363.193206,r,17.149,0.043,positive,,
59361.259525,g,18.247,0.097,positive,,
59361.218646,r,17.094,0.039,positive,,
59359.275776,g,19.293,,limit,,
59358.279664,r,17.063,0.044,positive,,
59358.243484,g,18.241,0.120,positive,,
59356.238183,r,17.065,0.037,positive,,
59356.198461,g,18.265,0.080,positive,,
59354.218403,r,17.032,0.046,positive,,
59354.181898,g,18.215,0.070,positive,,
59350.263275,r,16.975,0.052,positive,,
59348.264711,g,18.144,0.059,positive,,
59348.196227,r,16.965,0.036,positive,,
59346.371319,g,18.148,0.063,positive,,
59346.302789,r,16.934,0.042,positive,,
59344.258206,g,18.114,0.061,positive,,
59344.218970,r,16.922,0.039,positive,,
59342.327639,g,18.136,0.064,positive,,
59342.278380,r,16.937,0.036,positive,,
59340.287604,r,16.870,0.036,positive,,
59340.217789,g,18.146,0.060,positive,,
59338.307801,g,18.076,0.078,positive,,
59338.242442,r,16.865,0.045,positive,,
59335.257685,g,18.010,0.067,positive,,
59335.203657,r,16.828,0.055,positive,,
59329.317569,g,17.976,0.110,positive,,
59329.317569,g,17.976,0.110,positive,,
59329.317569,g,17.976,0.110,positive,,
59329.253727,r,16.751,0.033,positive,,
59329.253727,r,16.751,0.033,positive,,
59329.253727,r,16.751,0.033,positive,,
59325.321898,g,17.966,0.068,positive,,
59325.259294,r,16.731,0.035,positive,,
59323.321285,r,16.711,0.042,positive,,
59323.261273,g,17.955,0.061,positive,,
59321.299988,r,16.684,0.034,positive,,
59321.255729,g,17.896,0.063,positive,,
59317.239468,g,17.924,0.070,positive,,
59317.239468,g,17.924,0.070,positive,,
59317.196898,r,16.676,0.034,positive,,
59317.196898,r,16.676,0.034,positive,,
59315.267199,r,16.607,0.061,positive,,
59315.214769,g,17.865,0.058,positive,,
59313.245058,g,17.864,0.071,positive,,
59313.217407,r,16.613,0.039,positive,,
59311.247222,g,17.822,0.081,positive,,
59311.174225,r,16.551,0.033,positive,,
59309.256632,r,16.537,0.036,positive,,
59309.197002,g,17.807,0.061,positive,,
59307.308808,g,17.802,0.056,positive,,
59307.234271,r,16.542,0.049,positive,,
59304.305185,r,16.530,0.033,positive,,
59304.237836,g,17.762,0.068,positive,,
59302.325393,g,17.758,0.064,positive,,
59302.262708,r,16.503,0.031,positive,,
59300.324433,g,17.729,0.102,positive,,
59297.269653,r,16.442,0.034,positive,,
59297.241944,g,17.675,0.064,positive,,
59295.277107,g,17.648,0.069,positive,,
59292.359549,r,16.424,0.030,positive,,
59292.300428,g,17.672,0.047,positive,,
59290.342442,r,16.396,0.033,positive,,
59290.301354,g,17.628,0.064,positive,,
59278.426042,r,16.287,0.029,positive,,
59278.300139,g,17.497,0.063,positive,,
59275.335949,r,16.262,0.035,positive,,
59275.222026,g,17.474,0.054,positive,,
59275.216366,g,19.538,,limit,,
59273.450694,r,18.868,,limit,,
59273.450220,r,16.252,0.034,positive,,
59273.392998,g,17.445,0.070,positive,,
59271.403287,g,17.472,0.069,positive,,
59271.298634,r,16.223,0.041,positive,,
59269.446389,g,20.144,,limit,,
59269.445903,g,17.457,0.045,positive,,
59269.338403,r,16.210,0.036,positive,,
59269.337940,r,19.782,,limit,,
59267.320382,r,19.915,,limit,,
59267.319907,r,16.200,0.030,positive,,
59265.400706,g,20.872,,limit,,
59265.371643,r,16.204,0.030,positive,,
59265.371181,r,20.686,,limit,,
59263.359630,g,17.363,0.064,positive,,
59260.486493,g,17.391,0.099,positive,,
59260.402813,r,16.122,0.038,positive,,
59256.492766,g,17.293,0.057,positive,,
59254.445313,g,17.254,0.063,positive,,
59254.400694,r,16.108,0.032,positive,,
59252.491470,g,17.234,0.037,positive,,
59252.321644,r,16.066,0.036,positive,,
59250.380660,r,16.033,0.033,positive,,
59250.359062,g,17.211,0.058,positive,,
59248.464190,g,17.206,0.048,positive,,
59248.424317,r,16.024,0.041,positive,,
59231.424271,g,17.026,0.049,positive,,
59229.430949,r,15.892,0.036,positive,,
59227.443437,g,17.004,0.045,positive,,
59227.381771,r,15.873,0.031,positive,,
59225.445069,g,16.968,0.059,positive,,
59225.410718,r,15.840,0.029,positive,,
59223.471794,r,15.840,0.031,positive,,
59223.404826,g,16.978,0.046,positive,,
59221.471030,g,16.931,0.056,positive,,
59221.453241,r,15.811,0.030,positive,,
59219.474086,r,15.799,0.025,positive,,
59219.442049,g,16.887,0.038,positive,,
59217.441875,g,16.865,0.048,positive,,
59217.395752,r,15.799,0.024,positive,,
59215.477234,r,15.758,0.027,positive,,
59215.437199,g,16.864,0.064,positive,,
59206.540116,g,16.824,0.124,positive,,
59206.486655,r,15.674,0.038,positive,,
59203.529931,g,16.730,0.040,positive,,
59203.496285,r,15.654,0.025,positive,,
59200.515486,r,15.617,0.030,positive,,
59200.469074,g,16.717,0.059,positive,,
59198.530139,g,16.667,0.040,positive,,
59198.462974,r,15.588,0.029,positive,,
59194.534479,g,16.655,0.044,positive,,
59194.497095,r,15.547,0.028,positive,,
59192.533287,g,16.618,0.076,positive,,
59192.494016,r,15.527,0.034,positive,,
59189.499988,g,16.486,0.046,positive,,
59189.477014,r,15.416,0.027,positive,,
59187.535370,g,16.439,0.043,positive,,
59187.497315,r,15.357,0.025,positive,,
59185.529815,r,15.248,0.034,positive,,
59185.505833,g,16.303,0.039,positive,,
59182.559456,g,16.117,0.026,positive,,
59182.496944,r,15.095,0.025,positive,,
59180.547002,r,14.965,0.023,positive,,
59180.517894,g,16.017,0.039,positive,,
59179.491030,g,20.490,,limit,,
59177.532095,g,15.761,0.033,positive,,
59176.507620,g,20.453,,limit,,
59175.514190,r,14.665,0.027,positive,,
59173.526810,r,19.639,,limit,,
59173.476701,g,15.417,0.037,positive,,
59173.476240,g,19.540,,limit,,
59170.554410,r,14.445,0.020,positive,,
59170.553480,r,20.101,,limit,,
59170.494398,g,15.226,0.043,positive,,
59170.493000,g,20.456,,limit,,
59168.536296,r,14.383,0.022,positive,,
59168.511053,g,15.149,0.030,positive,,
59165.529722,g,15.019,0.030,positive,,
59165.514130,g,20.588,,limit,,
59165.475185,r,14.299,0.024,positive,,
59165.473780,r,20.180,,limit,,
59159.495840,r,19.771,,limit,,
59159.493507,r,14.213,0.022,positive,,
59157.527431,g,14.806,0.030,positive,,
59157.523370,g,19.449,,limit,,
59157.497910,r,19.473,,limit,,
59157.495580,r,19.345,,limit,,
59155.519896,g,14.778,0.024,positive,,
59155.519430,g,19.441,,limit,,
59155.490840,r,19.558,,limit,,
59155.489444,r,14.176,0.029,positive,,
59153.493183,r,14.173,0.025,positive,,
59152.547740,g,19.253,,limit,,
59152.491220,r,19.059,,limit,,
