MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
59406.463843,r,19.354,0.135,positive,,
59404.444688,r,19.526,0.145,positive,,
59402.457222,g,20.240,,limit,,
59400.454514,r,20.410,,limit,,
59400.414977,g,20.308,,limit,,
59397.459329,g,20.105,,limit,,
59397.400428,r,20.006,,limit,,
59392.453137,g,19.038,,limit,,
59392.428808,r,18.862,0.161,positive,,
59390.445324,g,19.380,,limit,,
59390.379792,r,19.324,,limit,,
59385.435810,g,20.349,,limit,,
59382.456782,r,19.317,0.105,positive,,
59382.437187,g,20.283,,limit,,
59380.424792,g,17.197,,limit,,
59378.427211,g,19.599,0.142,positive,,
59376.445012,r,19.086,0.123,positive,,
59229.109630,r,16.669,0.041,positive,,
59227.129190,r,16.616,0.037,positive,,
59225.109178,g,17.221,0.036,positive,,
59223.128148,g,17.166,0.044,positive,,
59221.163819,g,17.193,0.037,positive,,
59221.106829,r,16.545,0.179,positive,,
59219.127639,r,16.438,0.030,positive,,
59219.107072,g,17.127,0.033,positive,,
59215.087662,g,17.084,0.039,positive,,
59215.082176,r,16.326,0.031,positive,,
59210.177512,g,16.987,0.052,positive,,
59210.107049,r,16.186,0.027,positive,,
59206.108021,g,16.840,0.115,positive,,
59202.149225,g,16.797,0.033,positive,,
59202.108120,r,20.132,,limit,,
59199.192384,g,16.618,0.039,positive,,
59197.149769,r,15.560,0.038,positive,,
59194.249606,r,15.431,0.026,positive,,
59192.170243,g,16.170,0.041,positive,,
59189.195949,r,15.124,0.033,positive,,
59189.133090,g,15.843,0.022,positive,,
59187.148218,r,15.048,0.025,positive,,
59187.124387,g,15.647,0.029,positive,,
59185.127164,r,15.017,0.031,positive,,
59185.127164,r,15.017,0.031,positive,,
59185.107188,g,15.433,0.024,positive,,
59185.107188,g,15.433,0.024,positive,,
59183.130127,g,15.317,0.020,positive,,
59183.091563,r,14.961,0.021,positive,,
59181.148553,g,15.207,0.022,positive,,
59181.107396,r,14.954,0.017,positive,,
59179.148935,g,15.160,0.036,positive,,
59179.107859,r,14.964,0.029,positive,,
59175.162986,r,15.167,0.039,positive,,
59173.219722,r,15.405,0.023,positive,,
59173.169398,g,15.556,0.027,positive,,
59171.191898,r,15.674,0.025,positive,,
59171.169710,g,20.493,,limit,,
59169.267396,g,16.293,0.027,positive,,
59169.169120,r,16.070,0.034,positive,,
59167.208414,r,16.650,0.040,positive,,
59164.232685,g,18.299,0.103,positive,,
59164.172940,r,17.761,0.070,positive,,
59158.225640,r,19.793,,limit,,
59158.193130,g,19.929,,limit,,
59156.221500,g,19.528,,limit,,
59156.196190,r,19.664,,limit,,
59154.304880,g,19.131,,limit,,
59154.170060,r,19.681,,limit,,
59152.268840,g,19.158,,limit,,
59152.208070,r,19.457,,limit,,
59147.289920,r,17.271,,limit,,
59145.273980,g,20.853,,limit,,
59145.181900,r,20.353,,limit,,
59143.214240,r,20.685,,limit,,
59141.297030,g,20.672,,limit,,
59141.174510,r,20.375,,limit,,
59139.252950,r,20.482,,limit,,
59139.220740,g,20.693,,limit,,
59137.231780,g,20.287,,limit,,
59137.190410,r,20.512,,limit,,
59134.295940,r,20.223,,limit,,
59134.248960,g,20.459,,limit,,
