MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
59629.348438,r,19.403,0.129,positive,,
59627.451817,g,18.993,,limit,,
59627.371412,r,19.350,,limit,,
59624.510822,g,19.736,,limit,,
59624.386400,r,18.743,0.099,positive,,
59622.527361,r,18.696,0.080,positive,,
59622.463530,g,19.799,,limit,,
59550.510023,r,18.085,0.063,positive,,
59550.472639,g,20.028,0.154,positive,,
59532.516493,g,19.599,0.167,positive,,
59532.450336,r,18.189,0.059,positive,,
59530.489167,g,19.434,,limit,,
59530.453507,r,18.081,0.121,positive,,
59527.493692,g,19.412,0.114,positive,,
59525.515104,r,18.191,0.062,positive,,
59525.475544,g,19.532,0.151,positive,,
59523.545440,g,19.459,0.132,positive,,
59523.507025,r,18.159,0.056,positive,,
59521.515926,g,19.393,0.153,positive,,
59517.547477,r,18.252,0.077,positive,,
59517.485289,g,19.393,0.122,positive,,
