MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
59641.300474,r,17.992,0.059,positive,,
59639.283646,g,20.161,,limit,,
59639.267303,r,17.872,0.055,positive,,
59636.442951,g,20.474,,limit,,
59636.413125,r,17.797,0.066,positive,,
59628.405440,r,17.583,0.059,positive,,
59628.202500,g,18.996,0.243,positive,,
59625.280486,r,17.457,0.065,positive,,
59625.244329,g,18.961,,limit,,
59623.352604,r,17.390,0.054,positive,,
59623.330347,g,18.740,0.121,positive,,
59550.539838,r,16.344,0.039,positive,,
59550.488518,g,17.129,0.049,positive,,
59532.522732,g,17.623,0.059,positive,,
59532.447974,r,16.922,0.052,positive,,
59530.493912,g,17.854,0.111,positive,,
59530.455405,r,18.954,,limit,,
59527.496991,g,18.254,0.087,positive,,
59525.517951,r,17.918,0.053,positive,,
59525.497766,g,18.733,0.108,positive,,
59523.540046,g,19.497,0.186,positive,,
59523.505613,r,18.701,0.141,positive,,
59521.517338,g,20.175,,limit,,
59521.475405,r,19.944,,limit,,
59512.511690,r,19.386,,limit,,
59504.528715,r,19.788,,limit,,
59504.526285,r,19.588,,limit,,
59504.523866,r,17.917,,limit,,
59504.521447,r,17.989,,limit,,
59504.519028,r,18.489,,limit,,
59503.528889,r,19.418,,limit,,
59503.526389,r,19.513,,limit,,
59503.523901,r,19.417,,limit,,
59503.521401,r,19.458,,limit,,
59503.518912,r,19.271,,limit,,
59502.526157,r,19.111,,limit,,
59502.523657,r,19.189,,limit,,
59502.521169,r,19.193,,limit,,
59502.518669,r,19.244,,limit,,
59502.516181,r,19.403,,limit,,
59501.525532,r,19.813,,limit,,
59501.522963,r,19.836,,limit,,
59501.520382,r,19.755,,limit,,
59501.517812,r,19.706,,limit,,
59501.515243,r,19.594,,limit,,
59500.526308,r,19.764,,limit,,
59500.523727,r,19.558,,limit,,
59500.521146,r,19.537,,limit,,
59500.518565,r,19.632,,limit,,
59500.515961,r,19.711,,limit,,
