MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
59268.367651,r,19.573,0.138,positive,,
59266.367083,r,19.557,0.227,positive,,
59262.345718,r,19.373,0.117,positive,,
59254.455100,g,18.708,,limit,,
59254.403843,r,18.855,0.109,positive,,
59252.327581,r,18.790,0.081,positive,,
59250.473500,g,20.288,,limit,,
59250.435729,r,18.636,0.097,positive,,
59248.484590,g,20.202,,limit,,
59248.424977,r,18.627,0.080,positive,,
59231.478820,r,20.625,,limit,,
59231.428660,g,20.606,,limit,,
59229.474440,g,19.823,,limit,,
59229.428530,r,19.591,,limit,,
59227.489050,g,20.551,,limit,,
59227.390240,r,19.381,,limit,,
59225.474180,g,19.772,,limit,,
59225.407330,r,20.032,,limit,,
59223.489680,r,20.306,,limit,,
59223.408590,g,20.111,,limit,,
59221.487700,g,20.400,,limit,,
59221.457130,r,19.721,,limit,,
59219.469310,r,20.228,,limit,,
59219.424720,g,19.897,,limit,,
