MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
59311.312269,r,20.206,0.204,positive,,
59311.233507,g,20.692,0.275,positive,,
59309.309155,g,20.403,,limit,,
59309.277326,r,20.303,0.216,positive,,
59307.297234,g,20.510,,limit,,
59307.253958,r,20.344,0.247,positive,,
59305.277130,g,18.516,,limit,,
59303.358900,g,18.987,,limit,,
59298.378507,r,19.732,0.294,positive,,
59298.333750,g,19.149,,limit,,
59296.357743,r,19.653,0.213,positive,,
59293.294838,g,19.996,0.165,positive,,
59293.253831,r,19.548,0.116,positive,,
59291.350417,r,19.437,0.105,positive,,
59291.289120,g,20.109,0.196,positive,,
59281.287836,r,19.242,0.113,positive,,
59278.424537,r,19.157,0.127,positive,,
59278.316667,g,19.697,0.160,positive,,
59275.443368,g,19.614,0.236,positive,,
59275.383276,r,19.536,0.290,positive,,
59272.441898,r,18.836,,limit,,
59272.406678,g,18.781,,limit,,
59271.398484,g,18.904,,limit,,
59270.400382,g,19.422,,limit,,
59270.354850,r,19.288,,limit,,
59269.435660,g,19.823,,limit,,
59269.373924,r,19.899,,limit,,
59268.436042,g,19.672,0.188,positive,,
59268.351586,r,19.210,0.120,positive,,
59267.418206,r,19.130,0.142,positive,,
59266.360185,r,19.519,,limit,,
59265.418750,g,20.408,,limit,,
59265.373530,r,19.192,0.122,positive,,
59264.373391,r,19.134,0.094,positive,,
59262.416840,g,19.345,0.275,positive,,
59262.361146,r,18.983,0.096,positive,,
59257.379051,g,18.497,0.111,positive,,
59255.416030,r,18.342,0.063,positive,,
59255.377894,g,18.524,0.066,positive,,
59253.487025,r,18.093,0.054,positive,,
59253.379039,g,18.185,0.067,positive,,
59251.461863,r,18.196,0.061,positive,,
59249.436389,g,18.322,0.129,positive,,
59249.412940,r,18.291,0.096,positive,,
59234.449220,g,19.595,,limit,,
59231.482580,r,20.265,,limit,,
59231.458690,g,20.661,,limit,,
59229.467370,g,19.494,,limit,,
59229.433380,r,19.547,,limit,,
59227.462260,g,20.174,,limit,,
59227.378970,r,19.753,,limit,,
59225.503940,r,18.368,,limit,,
59225.465020,g,19.888,,limit,,
59223.467990,r,19.795,,limit,,
59223.399690,g,19.910,,limit,,
59221.473400,g,19.152,,limit,,
59221.443810,r,19.515,,limit,,
