MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
59696.238715,r,20.077,0.185,positive,,
59696.206505,g,20.692,,limit,,
59694.361285,g,19.944,,limit,,
59690.279352,g,20.613,,limit,,
59690.240104,r,20.336,,limit,,
59688.342951,r,19.431,,limit,,
59688.187581,g,20.644,,limit,,
59685.331482,g,19.272,,limit,,
59685.239456,r,19.906,,limit,,
59683.361875,r,19.641,,limit,,
59683.287512,g,19.300,,limit,,
59680.237025,r,19.676,,limit,,
59678.325833,g,20.191,0.330,positive,,
59678.245255,r,20.391,,limit,,
59676.348102,r,20.099,,limit,,
59676.325278,g,20.216,,limit,,
59674.388565,g,20.330,,limit,,
59674.328380,r,20.111,0.191,positive,,
59671.422917,g,20.594,,limit,,
59671.346748,r,20.022,0.174,positive,,
59671.346748,r,19.965,0.181,positive,,
59638.410231,g,20.162,0.179,positive,,
59638.391678,r,19.665,0.156,positive,,
59636.240937,g,20.424,0.255,positive,,
59629.416192,g,19.553,,limit,,
59629.346505,r,19.572,0.180,positive,,
59627.454213,g,18.916,,limit,,
59627.353484,r,19.048,,limit,,
59624.363854,r,19.670,0.197,positive,,
59624.268692,g,19.657,,limit,,
59622.506192,g,20.285,,limit,,
59622.373530,r,19.704,0.183,positive,,
59550.387130,r,18.829,0.081,positive,,
59538.386250,g,19.158,,limit,,
59532.512662,g,19.759,0.129,positive,,
59532.393264,r,18.595,0.078,positive,,
59530.471829,r,19.743,,limit,,
59530.431343,g,19.529,,limit,,
59527.491238,g,19.820,0.128,positive,,
59525.512199,r,18.616,0.069,positive,,
59525.494861,g,19.733,0.137,positive,,
59523.534271,g,19.841,0.133,positive,,
59523.485776,r,18.531,0.076,positive,,
59521.513484,g,19.843,0.142,positive,,
59521.472014,r,18.532,0.066,positive,,
59517.518414,r,18.438,0.057,positive,,
59517.487188,g,19.752,0.135,positive,,
59509.506852,g,19.536,,limit,,
59509.473067,r,18.396,0.085,positive,,
59503.485741,g,19.643,0.175,positive,,
59500.493287,r,18.231,0.062,positive,,
59500.468912,g,19.860,,limit,,
59367.259907,g,16.414,0.040,positive,,
59367.203565,r,15.718,0.033,positive,,
59365.199433,g,16.430,0.033,positive,,
59363.221539,g,16.420,0.030,positive,,
59363.196516,r,15.686,0.030,positive,,
59361.282199,g,16.384,0.041,positive,,
59361.206377,r,15.667,0.028,positive,,
59358.214757,r,19.280,,limit,,
59355.220382,r,19.649,,limit,,
59353.212454,g,16.341,0.025,positive,,
59353.196227,r,15.716,0.029,positive,,
59350.236991,r,15.653,0.021,positive,,
59350.183229,g,16.321,0.026,positive,,
59348.240208,g,16.331,0.041,positive,,
59348.182778,r,15.679,0.036,positive,,
59346.323565,g,16.271,0.037,positive,,
59346.284340,r,15.703,0.027,positive,,
59344.282593,g,16.280,0.040,positive,,
59344.202523,r,15.675,0.037,positive,,
59342.260787,r,15.679,0.028,positive,,
59342.242662,g,16.329,0.027,positive,,
59340.279063,r,15.694,0.034,positive,,
59340.200671,g,16.307,0.034,positive,,
59338.243877,r,15.713,0.030,positive,,
59338.201192,g,16.290,0.031,positive,,
59336.305822,r,15.675,0.031,positive,,
59336.305822,r,15.675,0.031,positive,,
59336.305822,r,15.675,0.031,positive,,
59336.215243,g,16.268,0.024,positive,,
59336.215243,g,20.767,,limit,,
59334.280729,r,15.698,0.032,positive,,
59334.203958,g,16.264,0.034,positive,,
59328.219653,g,16.215,0.026,positive,,
59328.184410,r,15.705,0.029,positive,,
59324.217384,r,15.702,0.033,positive,,
59324.217384,r,15.702,0.033,positive,,
59324.217384,r,15.702,0.033,positive,,
59324.164572,g,16.195,0.031,positive,,
59324.164572,g,16.195,0.031,positive,,
59324.164572,g,16.195,0.031,positive,,
59322.267975,r,15.717,0.025,positive,,
59322.186227,g,16.136,0.037,positive,,
59319.266331,g,16.115,0.027,positive,,
59319.217812,r,15.689,0.022,positive,,
59316.323264,g,16.086,0.032,positive,,
59316.285405,r,15.705,0.026,positive,,
59314.263345,r,15.708,0.028,positive,,
59314.242002,g,16.029,0.026,positive,,
59312.282222,r,15.727,0.029,positive,,
59312.240498,g,15.967,0.030,positive,,
59310.320648,r,15.676,0.035,positive,,
59310.243426,g,15.936,0.026,positive,,
59308.263495,g,15.883,0.028,positive,,
59308.225046,r,15.667,0.028,positive,,
59306.299468,g,15.877,0.036,positive,,
59306.254294,r,15.696,0.030,positive,,
59304.191979,g,15.807,0.026,positive,,
59304.182743,r,15.692,0.028,positive,,
59302.217153,r,15.686,0.031,positive,,
59302.161100,g,15.757,0.028,positive,,
59298.299225,r,15.755,0.036,positive,,
59296.362535,r,15.831,0.024,positive,,
59296.326979,g,15.739,0.027,positive,,
59293.302558,g,16.005,0.028,positive,,
59293.242107,r,16.314,0.026,positive,,
59291.275972,g,20.509,,limit,,
59291.246424,r,20.707,,limit,,
59281.234398,r,19.983,,limit,,
59278.288657,r,20.525,,limit,,
59278.269329,g,20.413,,limit,,
59274.384259,r,19.328,,limit,,
59274.197014,g,18.996,,limit,,
59272.388866,g,19.109,,limit,,
59272.276169,r,19.256,,limit,,
59270.317697,r,19.600,,limit,,
59270.286678,g,19.425,,limit,,
59268.320463,r,20.051,,limit,,
59268.216065,g,19.857,,limit,,
59266.326134,r,19.738,,limit,,
59266.309954,g,19.946,,limit,,
59264.346782,g,20.847,,limit,,
59264.299780,r,20.505,,limit,,
