MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
59344.226956,r,18.785,0.078,positive,,
59342.256053,r,20.363,,limit,,
59340.254340,r,18.625,0.064,positive,,
59340.214028,g,20.552,,limit,,
59338.206771,g,20.469,,limit,,
59335.234444,g,20.247,,limit,,
59329.311910,g,18.826,,limit,,
59329.234363,r,19.201,,limit,,
59325.256887,r,18.250,0.073,positive,,
59325.228461,g,20.184,,limit,,
59323.257859,g,19.988,,limit,,
59323.226435,r,18.340,0.066,positive,,
59320.174653,g,20.676,,limit,,
59317.235683,g,20.846,,limit,,
59317.193611,r,20.593,,limit,,
59315.250046,r,18.742,,limit,,
59315.212893,g,20.610,,limit,,
59313.213634,r,20.263,,limit,,
59311.232106,g,20.148,,limit,,
59311.170937,r,19.583,,limit,,
59309.234433,r,20.127,,limit,,
59307.277269,g,20.788,,limit,,
59307.255370,r,20.346,,limit,,
59304.307199,r,19.568,,limit,,
59304.234965,g,19.472,,limit,,
59302.332512,g,18.986,,limit,,
59302.264630,r,19.043,,limit,,
59297.257639,r,19.596,,limit,,
59297.206458,g,19.359,,limit,,
59295.274757,g,19.771,,limit,,
59295.263704,r,19.753,,limit,,
