MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
59829.460347,r,20.311,0.209,positive,,
59826.438889,r,19.813,,limit,,
59824.483218,r,20.369,,limit,,
59824.422488,g,20.373,,limit,,
59821.481192,r,20.288,0.269,positive,,
59821.440324,g,20.283,,limit,,
59818.482326,g,20.269,,limit,,
59818.441944,r,20.119,0.207,positive,,
59816.481643,r,20.241,,limit,,
59816.456273,g,20.348,,limit,,
59814.463021,r,20.216,,limit,,
59814.450289,g,20.330,,limit,,
59810.459294,r,19.527,,limit,,
59808.454884,r,19.321,,limit,,
59805.466748,r,19.221,,limit,,
59629.166794,r,17.762,0.054,positive,,
59627.169606,g,18.982,0.244,positive,,
59627.150694,r,17.721,0.064,positive,,
59625.171806,g,19.037,0.204,positive,,
59625.130440,r,17.718,0.069,positive,,
59623.151817,g,19.360,,limit,,
59623.131586,r,17.670,0.068,positive,,
59540.356169,g,18.075,0.116,positive,,
59537.273009,g,17.879,0.170,positive,,
59532.357535,r,16.615,0.032,positive,,
59532.273553,g,17.877,0.075,positive,,
59530.287616,g,17.907,0.070,positive,,
59527.336887,r,16.513,0.033,positive,,
59527.310833,g,17.912,0.093,positive,,
59525.298634,r,16.466,0.034,positive,,
59523.330521,g,17.706,0.051,positive,,
59521.356667,r,16.278,0.031,positive,,
59521.314456,g,17.606,0.058,positive,,
59518.336840,g,17.401,0.056,positive,,
59518.319502,r,16.091,0.035,positive,,
59509.266898,r,15.563,0.031,positive,,
59503.334236,g,16.462,0.039,positive,,
59498.402188,g,20.216,,limit,,
59494.365845,g,16.169,,limit,,
59489.418518,r,15.102,0.027,positive,,
59489.418518,r,15.102,0.027,positive,,
59489.376250,g,16.007,0.034,positive,,
59489.376250,g,16.007,0.034,positive,,
59487.377801,r,15.115,0.028,positive,,
59484.400301,g,15.910,0.045,positive,,
59479.398518,r,15.049,0.030,positive,,
59479.353009,g,15.866,0.032,positive,,
59477.400937,r,15.021,0.024,positive,,
59477.356157,g,15.817,0.036,positive,,
59474.461238,r,15.000,0.030,positive,,
59474.424375,g,15.819,0.037,positive,,
59472.439514,g,15.811,0.032,positive,,
59472.375776,r,15.011,0.026,positive,,
59470.381921,g,15.728,0.042,positive,,
59468.439792,g,15.756,0.038,positive,,
59468.380741,r,14.999,0.030,positive,,
59466.439687,g,15.724,0.039,positive,,
59466.380903,r,14.989,0.024,positive,,
59464.461678,g,15.733,0.035,positive,,
59464.461678,g,15.733,0.035,positive,,
59464.405151,r,14.986,0.031,positive,,
59464.405151,r,14.986,0.031,positive,,
59462.466354,g,15.723,0.035,positive,,
59460.460139,r,15.052,0.021,positive,,
59460.443171,g,15.696,0.037,positive,,
59456.481308,g,15.677,0.039,positive,,
59456.441574,r,15.020,0.030,positive,,
59453.480891,r,15.039,0.029,positive,,
59453.454630,g,15.702,0.029,positive,,
59451.475775,r,15.043,0.028,positive,,
59449.460162,g,15.677,0.040,positive,,
59444.442963,g,15.660,0.032,positive,,
59442.457002,r,15.053,0.034,positive,,
59439.479213,r,15.063,0.024,positive,,
59439.443322,g,15.621,0.045,positive,,
