MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
59465.205475,r,19.590,0.133,positive,,
59463.283356,r,19.635,0.142,positive,,
59463.223808,g,20.548,,limit,,
59461.307083,r,19.606,0.118,positive,,
59461.217188,g,20.419,,limit,,
59459.287512,g,20.586,,limit,,
59459.249398,r,19.455,0.091,positive,,
59455.269248,r,19.386,0.126,positive,,
59453.269514,r,20.362,,limit,,
59453.228773,g,20.406,,limit,,
59450.415972,g,18.770,,limit,,
59450.319074,r,18.999,0.183,positive,,
59447.315162,g,19.129,,limit,,
59447.284375,r,19.306,0.152,positive,,
59441.281539,g,19.790,,limit,,
59439.373507,r,18.774,0.102,positive,,
59439.354387,g,20.159,,limit,,
59436.363843,r,18.649,0.080,positive,,
59436.346412,g,20.696,0.267,positive,,
59434.264919,g,20.779,0.274,positive,,
59429.365035,r,18.252,0.065,positive,,
59429.324572,g,20.369,0.180,positive,,
59427.345451,r,18.098,0.056,positive,,
59427.308889,g,20.634,,limit,,
59424.320845,r,17.838,0.052,positive,,
59424.293113,g,19.848,0.160,positive,,
59422.400729,r,17.666,0.051,positive,,
59418.427107,g,19.153,,limit,,
59418.382720,r,17.478,0.061,positive,,
59415.427847,g,18.933,0.086,positive,,
59415.427847,g,18.933,0.086,positive,,
59415.427847,g,18.933,0.086,positive,,
59415.389213,r,17.403,0.052,positive,,
59415.389213,r,17.403,0.052,positive,,
59415.389213,r,17.403,0.052,positive,,
59412.401863,r,17.527,0.050,positive,,
59412.345058,g,18.941,0.128,positive,,
59410.403912,r,17.562,0.050,positive,,
59410.365567,g,19.050,0.112,positive,,
59408.426354,r,17.628,0.046,positive,,
59408.366782,g,18.795,0.089,positive,,
59406.380197,g,18.799,0.095,positive,,
59406.350370,r,18.500,,limit,,
59404.390185,g,18.881,0.077,positive,,
59402.398738,r,18.013,0.063,positive,,
59402.351632,g,18.585,0.075,positive,,
59400.428808,r,20.183,,limit,,
59400.385405,g,20.580,,limit,,
59397.425544,g,20.277,,limit,,
59397.381944,r,20.406,,limit,,
59395.390590,g,19.846,,limit,,
59393.441817,r,20.113,,limit,,
59393.347477,g,19.746,,limit,,
59391.427500,g,19.588,,limit,,
59391.324757,r,19.863,,limit,,
59387.432373,r,20.253,,limit,,
59387.372419,g,19.698,,limit,,
59385.406944,g,20.484,,limit,,
59385.365706,r,20.020,,limit,,
59382.426817,g,20.308,,limit,,
59382.343148,r,20.128,,limit,,
59380.429965,g,18.396,,limit,,
59380.386620,r,18.825,,limit,,
59378.386806,r,20.582,,limit,,
59378.368461,g,20.595,,limit,,
59376.426389,r,20.221,,limit,,
59376.388542,g,20.612,,limit,,
59374.448785,r,19.967,,limit,,
59374.388727,g,20.478,,limit,,
