MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
59930.272639,r,19.724,0.208,positive,,
59924.292072,r,19.437,0.201,positive,,
59923.272801,r,19.513,,limit,,
59914.249722,r,19.562,0.155,positive,,
59913.314838,g,19.856,,limit,,
59913.267928,r,19.494,0.186,positive,,
59910.258796,r,19.459,0.155,positive,,
59909.251377,r,19.483,0.155,positive,,
59906.293357,r,19.443,0.156,positive,,
59906.271632,g,20.159,0.321,positive,,
59904.336586,r,19.500,0.171,positive,,
59904.284734,g,19.711,,limit,,
59903.357060,g,19.698,,limit,,
59903.315648,r,19.603,0.152,positive,,
59902.360764,r,19.348,,limit,,
59901.308831,g,20.082,0.239,positive,,
59901.287720,r,19.508,0.139,positive,,
59900.356470,r,18.874,,limit,,
59900.292789,g,19.210,,limit,,
59899.335336,r,18.886,,limit,,
59899.272488,g,19.550,,limit,,
59898.332014,r,19.396,0.168,positive,,
59898.308171,g,19.917,0.271,positive,,
59897.309745,r,19.385,0.161,positive,,
59895.314792,g,19.766,0.301,positive,,
59895.312454,r,19.375,0.244,positive,,
59893.400370,g,18.739,,limit,,
59888.424282,g,17.311,,limit,,
59888.363843,r,17.228,,limit,,
59887.356169,g,19.272,,limit,,
59882.377187,g,18.777,,limit,,
59882.355463,r,19.170,0.185,positive,,
59880.369051,g,20.029,0.220,positive,,
59878.364607,g,20.052,0.299,positive,,
59878.336343,r,18.977,0.115,positive,,
59876.419074,g,19.718,0.279,positive,,
59876.376551,r,19.145,0.181,positive,,
59873.397269,g,19.078,,limit,,
59871.399028,r,19.037,0.198,positive,,
59869.354988,r,19.881,,limit,,
59866.440984,g,19.460,,limit,,
59866.375671,r,18.936,0.125,positive,,
59864.410151,g,19.472,0.307,positive,,
59862.442616,r,19.117,0.200,positive,,
59862.396377,g,18.901,,limit,,
59860.461157,g,19.526,0.259,positive,,
59858.439190,g,19.648,0.137,positive,,
59856.422234,g,19.584,0.164,positive,,
59854.440104,r,20.295,,limit,,
59854.397396,g,20.412,,limit,,
59852.483866,r,18.714,0.085,positive,,
59852.419005,g,19.581,0.166,positive,,
59850.482350,r,18.601,0.092,positive,,
59850.422917,g,19.639,0.166,positive,,
59848.460706,r,18.587,0.078,positive,,
59848.419167,g,19.570,0.164,positive,,
59846.481562,g,19.571,0.141,positive,,
59846.440058,r,18.603,0.096,positive,,
59843.439815,r,18.524,0.090,positive,,
59841.458067,g,19.524,0.146,positive,,
59839.466088,g,19.492,0.172,positive,,
59839.441111,g,19.437,0.158,positive,,
59627.150208,r,16.198,0.035,positive,,
59625.129954,r,16.171,0.034,positive,,
59623.151343,g,17.588,0.057,positive,,
59623.132072,r,16.167,0.033,positive,,
59542.289155,g,15.304,0.024,positive,,
59538.323808,g,15.265,0.021,positive,,
59538.272488,r,14.606,0.022,positive,,
59537.334595,r,14.578,0.025,positive,,
59537.273484,g,15.238,0.029,positive,,
59532.294201,g,15.223,0.028,positive,,
59530.292963,g,15.206,0.023,positive,,
59527.336412,r,14.547,0.022,positive,,
59527.311296,g,15.926,,limit,,
59525.357303,r,20.313,,limit,,
59524.357315,r,14.548,0.031,positive,,
59524.332720,g,15.171,0.032,positive,,
59523.331933,g,15.164,0.035,positive,,
59521.357141,r,14.522,0.030,positive,,
59521.313032,g,15.128,0.036,positive,,
59517.457708,g,15.110,0.029,positive,,
59511.379039,r,19.448,,limit,,
59504.462974,r,14.460,0.029,positive,,
59504.418079,g,14.970,0.030,positive,,
59503.439769,g,14.950,0.027,positive,,
59498.398357,g,20.123,,limit,,
59498.376053,r,14.401,0.034,positive,,
59496.412616,r,14.302,0.016,positive,,
59496.376771,g,14.779,0.024,positive,,
59488.399676,g,14.595,0.025,positive,,
59485.460833,g,14.517,0.037,positive,,
59485.418090,r,14.312,0.032,positive,,
59483.430463,g,14.505,0.022,positive,,
59479.438576,r,14.382,0.021,positive,,
59477.482095,r,14.390,0.030,positive,,
59477.462025,g,14.407,0.019,positive,,
59474.461713,r,14.350,0.029,positive,,
59474.438704,g,14.369,0.027,positive,,
59471.481250,g,14.420,0.023,positive,,
59471.459954,r,14.444,0.024,positive,,
59469.481852,g,14.470,0.023,positive,,
59467.459410,g,14.585,0.025,positive,,
