MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
60290.207616,r,20.401,0.201,positive,,
60288.314190,g,19.715,,limit,6.7,6.2
60288.212627,r,19.583,,limit,12.8,7.1
60285.230127,g,20.332,,limit,8.7,3.3
60263.358924,r,20.086,0.188,positive,34.1,5.1
60261.313843,g,20.361,,limit,15.7,3.3
60261.276053,r,20.123,0.211,positive,32.6,4.1
60259.356586,g,20.021,,limit,18.0,4.6
60259.337743,r,20.272,0.233,positive,29.1,4.3
60257.374514,g,19.828,,limit,15.3,5.1
60257.288993,r,19.030,,limit,,
60253.306273,r,20.241,,limit,33.5,3.7
60253.238773,g,20.007,,limit,15.0,4.5
60251.377836,r,19.983,0.201,positive,37.8,5.6
60251.336505,g,19.863,,limit,17.3,5.4
60249.403924,r,18.212,,limit,,
60249.355752,g,19.142,,limit,25.1,9.6
60246.372755,g,18.598,,limit,16.0,16.7
60246.334421,r,18.841,,limit,49.9,13.6
60244.294201,r,19.300,,limit,32.0,9.4
60239.442303,g,20.266,,limit,16.2,3.5
60239.409201,r,20.058,0.202,positive,34.3,4.0
60237.433854,g,20.163,,limit,16.7,3.9
60237.355058,r,19.877,0.157,positive,41.4,4.1
60235.424815,r,19.907,0.177,positive,40.3,4.3
60235.376401,g,20.428,,limit,13.7,3.1
60233.443623,r,20.000,0.180,positive,35.9,4.4
60233.376817,g,20.354,,limit,19.8,3.5
60231.398009,r,20.174,,limit,38.4,4.2
60228.437558,r,19.706,0.175,positive,43.9,4.7
60228.394236,g,20.302,,limit,22.7,3.7
60225.443437,r,19.932,0.159,positive,42.6,4.3
60225.380799,g,20.460,0.238,positive,23.8,3.8
60223.476134,r,19.667,,limit,38.0,6.4
60223.400903,g,19.891,,limit,23.0,5.1
60221.403414,g,18.955,,limit,,
60216.482025,r,19.564,0.265,positive,54.8,10.4
60216.476238,g,18.902,,limit,21.5,11.8
60214.481204,r,19.722,0.168,positive,44.7,4.5
60214.431088,g,19.459,,limit,26.2,7.8
60212.440058,r,19.770,0.137,positive,45.5,3.1
60212.417373,g,20.688,0.282,positive,19.5,3.2
60207.461458,r,19.699,0.107,positive,47.4,3.5
60207.455845,g,20.616,0.207,positive,20.3,2.8
60205.477789,g,20.891,0.295,positive,16.3,3.0
60205.418588,r,19.711,0.125,positive,,
60203.481262,r,19.485,0.131,positive,,
60203.398368,g,20.570,0.242,positive,,
60201.482708,g,20.481,0.204,positive,,
60201.437419,r,19.560,0.103,positive,,
60198.483345,g,20.448,0.242,positive,,
60198.438970,r,20.177,,limit,,
60195.480278,r,20.193,,limit,,
60195.408738,g,19.786,,limit,,
60192.448414,r,19.332,0.161,positive,,
60192.383518,g,19.466,,limit,,
60187.479861,g,18.978,,limit,,
60187.456042,r,19.547,0.215,positive,,
60184.489676,r,19.390,0.107,positive,,
60184.442477,g,20.346,0.286,positive,,
60182.463634,r,19.411,0.096,positive,,
60182.418657,g,20.244,0.319,positive,,
60178.483623,r,19.441,0.135,positive,,
60178.457338,g,20.277,,limit,,
60173.458194,r,19.293,0.121,positive,,
60170.482384,r,19.201,0.105,positive,,
60170.448067,g,17.539,,limit,,
59994.172396,r,16.287,0.032,positive,,
59991.170810,r,16.207,0.033,positive,,
59984.171123,g,17.130,0.060,positive,,
59984.149525,r,16.204,0.030,positive,,
59982.170474,r,16.253,0.038,positive,,
59982.108866,g,17.104,0.046,positive,,
59980.172118,r,16.202,0.039,positive,,
59980.129688,g,17.102,0.037,positive,,
59978.170451,r,16.151,0.057,positive,,
59978.126794,g,17.132,0.064,positive,,
59970.192407,r,16.202,0.034,positive,,
59970.149699,g,17.009,0.042,positive,,
59968.190660,r,16.194,0.029,positive,,
59968.172176,g,16.985,0.039,positive,,
59967.169676,g,19.183,,limit,,
59967.146065,r,16.200,0.032,positive,,
59965.169387,r,16.163,0.028,positive,,
59957.172917,r,16.176,0.031,positive,,
59957.126979,g,16.797,0.058,positive,,
59953.222130,r,16.288,,limit,,
59953.113449,g,16.808,0.041,positive,,
59940.242593,r,16.081,0.029,positive,,
59936.231389,r,16.070,0.034,positive,,
59934.279097,r,16.064,0.026,positive,,
59932.250162,r,16.062,0.027,positive,,
59930.174965,r,16.117,0.029,positive,,
59923.273276,r,16.220,0.029,positive,,
59922.273044,r,16.294,0.032,positive,,
59922.230556,g,16.244,0.036,positive,,
59913.315787,g,19.940,,limit,,
59910.259271,r,19.845,,limit,,
59910.223657,g,20.163,,limit,,
59908.221632,r,19.398,,limit,,
59905.315035,r,17.900,,limit,,
59905.275648,g,16.497,,limit,,
59903.323310,r,19.631,,limit,,
59901.309306,g,20.164,,limit,,
59901.286308,r,20.225,,limit,,
59900.289271,g,19.430,,limit,,
59898.330590,r,20.094,,limit,,
59898.309120,g,19.766,,limit,,
59897.309282,r,19.755,,limit,,
59897.253657,g,19.649,,limit,,
59895.299873,r,19.652,,limit,,
59895.290660,g,19.432,,limit,,
59893.400833,g,18.754,,limit,,
