MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
59874.355602,r,19.775,0.144,positive,,
59872.374387,r,19.977,0.202,positive,,
59872.334907,g,19.892,,limit,,
59870.377118,r,20.055,,limit,,
59870.355764,g,19.924,,limit,,
59867.419502,g,19.305,,limit,,
59867.376366,r,18.544,,limit,,
59864.410625,g,18.927,,limit,,
59862.443553,r,19.097,,limit,,
59860.462095,g,19.109,,limit,,
59860.398125,r,19.413,,limit,,
59858.417847,g,20.080,,limit,,
59856.418924,g,20.332,,limit,,
59854.439641,r,20.195,,limit,,
59852.483391,r,20.338,,limit,,
59852.398380,g,20.523,,limit,,
59851.460347,g,20.271,,limit,,
59851.418264,r,20.139,,limit,,
59849.481829,r,20.137,,limit,,
59849.439896,g,20.201,,limit,,
59847.480822,g,20.109,,limit,,
59847.419178,r,19.628,0.129,positive,,
59844.481678,r,19.827,0.221,positive,,
59844.439722,g,20.066,,limit,,
59842.439676,g,19.916,,limit,,
59842.429711,r,20.189,,limit,,
59840.480521,g,20.141,,limit,,
59840.456389,g,20.012,,limit,,
59829.481296,g,20.196,,limit,,
59829.459884,r,19.564,0.156,positive,,
