MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
59808.187824,r,17.997,0.095,positive,,
59803.199329,g,18.572,0.108,positive,,
59801.194734,r,15.523,,limit,,
59799.190197,r,17.795,0.070,positive,,
59794.178160,r,17.706,0.061,positive,,
59791.232454,g,18.545,0.125,positive,,
59791.177824,r,17.660,0.060,positive,,
59789.211227,r,17.633,0.056,positive,,
59789.181192,g,18.345,0.069,positive,,
59787.190694,r,17.581,0.062,positive,,
59785.210590,g,18.290,0.072,positive,,
59781.231424,g,19.935,,limit,,
59779.189595,r,17.397,0.048,positive,,
59777.188981,r,17.367,0.045,positive,,
59775.278877,r,19.931,,limit,,
59773.257604,r,17.287,0.060,positive,,
59773.189352,r,17.282,0.048,positive,,
59771.277963,g,18.055,0.096,positive,,
59768.251516,g,18.089,0.107,positive,,
59768.189583,g,18.046,0.072,positive,,
59765.189664,r,17.139,0.038,positive,,
59763.252153,r,17.109,0.035,positive,,
59763.189560,g,17.940,0.063,positive,,
59761.210845,r,17.016,0.041,positive,,
59758.252130,r,16.960,0.043,positive,,
59756.210776,r,16.949,0.030,positive,,
59753.277685,g,17.819,0.056,positive,,
59753.209861,r,16.874,0.042,positive,,
59751.333009,g,17.820,0.056,positive,,
59751.273414,r,16.843,0.045,positive,,
59749.339722,r,16.802,0.040,positive,,
59749.273553,g,17.745,0.069,positive,,
59747.348611,r,16.753,0.047,positive,,
59747.318518,g,17.712,0.075,positive,,
59740.368576,g,17.695,0.057,positive,,
59738.269282,r,16.606,0.036,positive,,
59738.228993,g,17.692,0.062,positive,,
59736.273403,g,17.596,0.062,positive,,
59734.295509,g,17.590,0.050,positive,,
59732.309005,r,16.492,0.042,positive,,
59732.272650,g,17.577,0.050,positive,,
59730.295046,g,17.500,0.058,positive,,
59730.272593,r,16.439,0.034,positive,,
59726.395278,r,16.370,0.036,positive,,
59726.292870,g,17.479,0.045,positive,,
59724.335752,g,17.442,0.056,positive,,
59722.398854,g,17.453,0.063,positive,,
59722.333194,g,17.435,0.050,positive,,
59719.398368,r,16.206,0.031,positive,,
59719.321076,r,16.187,0.028,positive,,
59712.289051,g,17.140,0.042,positive,,
59710.293368,g,17.110,0.049,positive,,
59708.335764,r,15.719,0.028,positive,,
59702.356794,r,15.377,0.024,positive,,
59702.314641,g,16.495,0.039,positive,,
59700.336470,g,16.288,0.029,positive,,
59697.374699,r,15.204,0.032,positive,,
59695.401562,r,15.005,0.040,positive,,
59695.356933,g,15.852,0.028,positive,,
59693.314873,r,14.964,0.021,positive,,
59689.402974,r,14.989,0.017,positive,,
59685.255498,r,15.137,0.027,positive,,
59683.299479,g,15.769,0.023,positive,,
59679.376123,r,15.747,0.027,positive,,
59679.294074,g,16.178,0.026,positive,,
59677.397222,r,16.051,0.035,positive,,
59674.484387,g,17.091,0.036,positive,,
59674.440208,r,16.575,0.047,positive,,
59671.481065,r,17.359,0.050,positive,,
59671.454549,g,17.573,0.040,positive,,
