MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
59968.155197,r,17.509,0.063,positive,,
59967.122535,r,17.399,0.065,positive,,
59958.133183,r,17.139,0.040,positive,,
59958.120012,g,17.065,0.055,positive,,
59957.163426,r,17.327,0.071,positive,,
59956.129896,r,17.308,0.042,positive,,
59951.159861,r,17.266,0.053,positive,,
59951.159387,r,17.172,0.035,positive,,
59951.130532,g,17.140,0.052,positive,,
59937.174595,r,17.049,0.047,positive,,
59936.128357,r,17.003,0.054,positive,,
59935.187569,g,16.905,0.036,positive,,
59934.182743,g,16.901,0.038,positive,,
59933.190949,g,16.935,0.047,positive,,
59932.172708,r,20.242,,limit,,
59930.212211,g,17.043,0.039,positive,,
59930.190127,g,17.044,0.047,positive,,
59930.107269,r,17.080,0.049,positive,,
59930.106331,r,17.044,0.040,positive,,
59928.153924,r,17.023,0.033,positive,,
59928.149201,r,17.039,0.035,positive,,
59928.135706,g,16.981,0.045,positive,,
59928.134757,g,16.964,0.036,positive,,
59922.187789,r,16.877,0.036,positive,,
59922.187315,r,16.872,0.041,positive,,
59922.152778,g,16.810,0.042,positive,,
59922.152303,g,16.788,0.036,positive,,
59913.168113,r,16.827,0.033,positive,,
59911.185451,r,16.845,0.054,positive,,
59910.211701,g,16.662,0.035,positive,,
59910.171678,r,16.791,0.036,positive,,
59909.174838,r,16.725,0.031,positive,,
59908.168009,r,16.723,0.032,positive,,
59907.169873,r,16.756,0.040,positive,,
59907.129537,g,16.719,0.034,positive,,
59906.232049,r,16.811,0.033,positive,,
59906.189398,g,16.776,0.041,positive,,
59905.190660,g,16.778,0.049,positive,,
59904.190174,r,16.783,0.036,positive,,
59904.169792,g,16.749,0.028,positive,,
59903.192465,r,16.719,0.034,positive,,
59902.190718,r,16.711,0.033,positive,,
59901.213252,g,16.641,0.043,positive,,
59901.171088,r,16.700,0.049,positive,,
59900.232558,r,16.673,0.040,positive,,
59900.194792,g,19.428,,limit,,
59899.244630,g,16.605,0.034,positive,,
59899.174456,r,16.663,0.032,positive,,
59899.173518,r,16.621,0.041,positive,,
59899.148657,g,16.597,0.029,positive,,
59897.150579,g,16.544,0.029,positive,,
59897.149155,g,16.510,0.051,positive,,
59896.285752,r,16.570,0.031,positive,,
59896.270509,r,16.540,0.031,positive,,
59896.234317,g,16.555,0.031,positive,,
59896.215532,g,16.517,0.047,positive,,
59894.341250,g,16.596,0.052,positive,,
59894.273657,r,16.651,0.041,positive,,
59894.255382,r,16.657,0.036,positive,,
59894.217199,g,16.582,0.044,positive,,
59885.253924,g,16.387,0.039,positive,,
59885.232245,r,16.399,0.029,positive,,
59883.294329,r,16.373,0.027,positive,,
59883.250440,g,16.394,0.027,positive,,
59882.233171,r,16.412,0.032,positive,,
59882.228461,g,16.414,0.039,positive,,
59881.351678,g,16.469,0.032,positive,,
59881.273032,r,16.452,0.045,positive,,
59880.232986,g,16.435,0.041,positive,,
59880.183947,r,19.805,,limit,,
59879.330891,g,16.456,0.035,positive,,
59879.273206,r,16.409,0.034,positive,,
59878.234074,r,16.377,0.022,positive,,
59878.210220,g,16.386,0.039,positive,,
59877.337188,r,16.348,0.036,positive,,
59876.289583,g,16.352,0.035,positive,,
59874.272558,r,16.322,0.032,positive,,
59874.209769,g,16.271,0.030,positive,,
59873.259676,g,16.259,0.039,positive,,
59873.170220,r,20.027,,limit,,
59872.358345,r,16.261,0.028,positive,,
59872.308542,g,16.222,0.021,positive,,
59871.290498,r,16.230,0.028,positive,,
59871.230799,g,16.240,0.028,positive,,
59870.294803,r,16.249,0.024,positive,,
59869.298623,r,20.184,,limit,,
59869.273889,g,19.943,,limit,,
59867.321563,r,16.278,0.025,positive,,
59866.340567,r,16.208,0.016,positive,,
59866.266597,g,16.270,0.029,positive,,
59865.328322,r,16.220,0.031,positive,,
59864.382824,g,16.241,0.039,positive,,
59864.266308,r,16.193,0.021,positive,,
59863.328553,g,16.181,0.033,positive,,
