MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
59755.266933,g,18.325,0.085,positive,,
59751.264294,r,17.325,0.039,positive,,
59751.197604,g,18.269,0.065,positive,,
59749.238229,g,18.225,0.088,positive,,
59749.207176,r,17.307,0.050,positive,,
59747.284201,g,18.193,0.077,positive,,
59747.203264,r,20.777,,limit,,
59742.326840,g,18.112,0.121,positive,,
59742.325903,g,18.053,0.102,positive,,
59742.243032,r,17.338,0.062,positive,,
59742.242546,r,17.380,0.060,positive,,
59740.244768,g,18.061,0.080,positive,,
59740.237211,g,18.222,0.087,positive,,
59740.197384,r,17.427,0.047,positive,,
59738.237199,r,17.383,0.052,positive,,
59738.236725,r,17.404,0.048,positive,,
59738.203194,g,18.128,0.078,positive,,
59738.185289,g,18.118,0.077,positive,,
59736.259329,g,18.055,0.100,positive,,
59736.258391,g,18.156,0.078,positive,,
59736.202396,r,17.447,0.041,positive,,
59736.187153,r,17.423,0.053,positive,,
59734.227882,r,17.433,0.052,positive,,
59734.200301,g,18.079,0.077,positive,,
59733.218021,r,17.427,0.040,positive,,
59732.197940,r,17.473,0.043,positive,,
59732.186840,g,18.058,0.052,positive,,
59731.245764,r,17.368,0.053,positive,,
59731.204780,g,17.950,0.061,positive,,
59730.226968,r,17.437,0.055,positive,,
59730.205683,g,17.938,0.069,positive,,
59726.245590,g,17.756,0.042,positive,,
59726.223495,g,17.753,0.059,positive,,
59726.199560,r,20.757,,limit,,
59726.198623,r,17.441,0.054,positive,,
59724.326412,g,17.740,0.054,positive,,
59724.280370,r,20.646,,limit,,
59724.257488,r,17.375,0.048,positive,,
59724.219421,g,17.680,0.060,positive,,
59722.300556,g,17.710,0.060,positive,,
59722.300556,g,17.710,0.060,positive,,
59722.260359,g,17.689,0.052,positive,,
59718.262049,r,17.502,0.049,positive,,
59718.249456,r,17.492,0.047,positive,,
59718.194653,r,17.491,0.054,positive,,
59715.224317,g,17.670,0.051,positive,,
59715.223854,g,17.661,0.053,positive,,
59715.204201,r,17.796,0.046,positive,,
59713.324271,g,19.496,,limit,,
59713.261111,r,19.794,,limit,,
59713.241030,r,19.434,,limit,,
59713.204236,g,19.413,,limit,,
59711.279861,r,19.439,,limit,,
59711.269572,r,19.368,,limit,,
59711.223310,g,19.740,,limit,,
59711.198970,g,19.588,,limit,,
59709.262454,r,20.137,,limit,,
59709.261979,r,19.881,,limit,,
59709.198819,r,20.117,,limit,,
59709.175868,r,19.812,,limit,,
59707.263889,r,20.187,,limit,,
59707.240637,r,20.131,,limit,,
59703.290093,r,20.354,,limit,,
59703.263565,g,20.481,,limit,,
59701.346748,g,20.481,,limit,,
59701.346273,g,20.345,,limit,,
59701.306192,g,20.544,,limit,,
59701.290822,g,20.366,,limit,,
59699.283623,r,20.628,,limit,,
59699.244942,g,20.829,,limit,,
59699.226586,g,20.594,,limit,,
59697.325012,r,20.406,,limit,,
59697.264792,g,21.022,,limit,,
59696.263461,r,20.498,,limit,,
59696.201620,g,20.811,,limit,,
59695.281505,g,19.075,,limit,,
59695.243032,r,20.564,,limit,,
59694.342512,g,20.094,,limit,,
59694.236481,r,20.315,,limit,,
59693.280903,r,20.196,,limit,,
59693.234456,g,20.562,,limit,,
59690.283796,g,20.438,,limit,,
59690.241516,r,20.420,,limit,,
59689.283877,g,19.742,,limit,,
59689.262778,r,19.978,,limit,,
59688.322454,r,19.874,,limit,,
59688.264074,g,19.758,,limit,,
59687.344421,r,19.697,,limit,,
59685.323437,g,19.201,,limit,,
59685.237569,r,19.547,,limit,,
