MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
59896.318669,r,19.955,0.206,positive,,
59894.321389,r,19.586,,limit,,
59889.358032,r,19.716,,limit,,
59889.239028,g,19.544,,limit,,
59887.410729,r,19.819,0.164,positive,,
59887.290521,g,19.691,,limit,,
59882.405995,g,19.490,,limit,,
59882.338819,r,19.862,0.200,positive,,
59880.362361,g,20.227,,limit,,
59880.224687,r,20.026,0.146,positive,,
59878.359525,g,20.288,,limit,,
59878.347037,r,19.971,0.175,positive,,
59876.435637,g,19.987,,limit,,
59876.389363,r,19.851,0.168,positive,,
59873.455613,r,18.785,,limit,,
59873.403715,g,19.659,,limit,,
59871.364502,g,20.059,,limit,,
59871.331285,r,20.051,,limit,,
59869.395961,g,20.299,,limit,,
59866.456401,g,19.937,,limit,,
59866.385058,r,19.640,0.153,positive,,
59864.420799,g,19.551,,limit,,
59864.337905,r,19.816,,limit,,
59860.492118,g,19.954,,limit,,
59860.430949,r,19.537,0.157,positive,,
59858.447546,g,20.920,,limit,,
59858.373681,r,19.779,0.161,positive,,
59856.428924,g,20.748,,limit,,
59856.408843,r,19.569,0.106,positive,,
59854.431875,g,20.860,,limit,,
59852.492419,r,20.750,,limit,,
59852.403669,g,21.037,0.231,positive,,
59850.443912,g,20.295,0.176,positive,,
59850.362870,r,18.126,0.058,positive,,
59848.490845,r,17.841,0.047,positive,,
59848.422500,g,19.793,0.117,positive,,
59846.452315,r,17.760,0.043,positive,,
59846.383889,g,19.701,0.122,positive,,
59843.457477,r,17.629,0.047,positive,,
59843.383646,g,19.349,0.104,positive,,
59841.451516,g,19.278,0.097,positive,,
59841.380845,g,19.347,0.136,positive,,
59839.449988,g,19.170,0.102,positive,,
59839.344317,g,19.219,0.116,positive,,
59827.488276,r,17.290,0.042,positive,,
59827.432211,g,18.978,0.089,positive,,
59824.488102,r,17.248,0.046,positive,,
59824.426609,g,18.929,0.085,positive,,
59821.465405,r,17.254,0.045,positive,,
59821.445324,g,18.828,0.093,positive,,
59818.469549,g,18.858,0.075,positive,,
59818.449549,r,17.230,0.043,positive,,
59816.472396,r,17.236,0.035,positive,,
59816.442407,g,18.860,0.110,positive,,
59814.469688,r,17.211,0.036,positive,,
59814.447222,g,18.801,0.077,positive,,
59811.471296,g,18.749,0.075,positive,,
59811.381007,r,17.219,0.042,positive,,
59808.483218,g,18.803,0.096,positive,,
59808.430116,r,17.216,0.039,positive,,
59806.475417,g,18.890,0.115,positive,,
59806.427095,r,17.195,0.044,positive,,
59802.466586,r,16.910,0.035,positive,,
59802.432026,g,18.828,0.102,positive,,
59764.471632,r,17.286,0.039,positive,,
59764.469120,r,17.285,0.041,positive,,
59764.466597,r,17.251,0.037,positive,,
59764.464086,r,17.278,0.039,positive,,
59764.461562,r,17.288,0.040,positive,,
