MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
60124.201331,r,19.305,0.149,positive,,
60109.223623,g,20.187,0.160,positive,,
60109.200694,r,19.104,0.090,positive,,
60105.259306,r,19.047,0.102,positive,,
60105.218056,g,20.005,0.136,positive,,
60103.239097,g,19.958,0.167,positive,,
60103.203576,r,19.111,0.091,positive,,
60101.341736,r,18.992,0.144,positive,,
60099.354375,r,19.069,0.185,positive,,
60099.186354,g,19.109,,limit,,
60097.240521,r,18.953,0.115,positive,,
60092.368553,g,20.176,,limit,,
60092.313287,g,20.085,0.239,positive,,
60092.284618,r,18.930,0.135,positive,,
60090.285116,g,19.691,0.187,positive,,
60090.178380,r,18.862,0.089,positive,,
60088.285729,g,19.902,0.147,positive,,
60088.222292,r,20.761,,limit,,
60086.301343,g,19.817,0.127,positive,,
60086.225139,g,20.010,0.106,positive,,
60086.179248,r,18.876,0.133,positive,,
60084.215197,r,18.921,0.080,positive,,
60084.181759,g,19.719,0.100,positive,,
60082.245637,g,17.671,,limit,,
60082.199907,r,20.580,,limit,,
60080.240810,g,19.923,0.120,positive,,
60078.324398,g,19.859,0.123,positive,,
60078.280741,r,18.796,0.075,positive,,
60076.351319,r,18.740,0.076,positive,,
60076.290891,g,19.910,0.120,positive,,
60067.284931,g,19.463,0.244,positive,,
60064.286331,r,18.596,0.073,positive,,
60064.239201,g,19.628,0.178,positive,,
60062.432072,g,19.735,0.162,positive,,
60062.432072,g,20.161,,limit,,
60062.178461,r,18.652,0.089,positive,,
60060.176516,r,18.543,0.071,positive,,
60058.305613,g,19.672,0.120,positive,,
60058.258241,r,18.523,0.059,positive,,
60056.303738,r,18.609,0.082,positive,,
60056.219745,g,19.723,0.126,positive,,
60054.342072,g,19.680,0.131,positive,,
60054.306887,r,18.520,0.069,positive,,
60052.279120,r,18.532,0.059,positive,,
60052.265463,g,19.731,0.117,positive,,
60050.352118,g,19.672,0.136,positive,,
60050.234583,r,18.480,0.060,positive,,
60046.330347,r,18.483,0.058,positive,,
60046.262118,g,19.621,0.080,positive,,
60044.219294,r,18.417,0.057,positive,,
60044.162789,g,19.803,0.127,positive,,
60042.349653,r,19.421,,limit,,
60042.261933,g,18.427,,limit,,
60032.344676,r,18.338,0.053,positive,,
60032.162789,g,19.435,0.118,positive,,
60029.384630,g,19.513,0.108,positive,,
60020.315139,r,18.216,0.047,positive,,
60016.337153,r,18.223,0.051,positive,,
59996.385775,g,19.309,0.158,positive,,
59996.368322,r,18.088,0.252,positive,,
59993.387951,g,19.191,0.209,positive,,
59993.289074,r,17.969,0.086,positive,,
59987.371076,r,17.993,0.046,positive,,
59984.423958,r,17.959,0.055,positive,,
59984.407349,g,19.133,0.142,positive,,
59980.432049,r,17.887,0.050,positive,,
59980.405023,g,19.080,0.134,positive,,
59977.489201,g,19.114,0.142,positive,,
59977.306678,r,17.908,0.087,positive,,
59971.428299,r,17.813,0.053,positive,,
59971.370231,g,19.076,0.123,positive,,
59968.450185,r,17.798,0.050,positive,,
59968.432419,g,18.971,0.095,positive,,
59965.431782,r,17.767,0.048,positive,,
59957.470382,r,17.693,0.052,positive,,
59957.449734,g,19.053,0.091,positive,,
59937.450972,g,18.808,0.076,positive,,
59937.348611,r,17.600,0.059,positive,,
59935.427222,r,17.641,0.043,positive,,
59935.344144,g,18.697,0.100,positive,,
59933.519815,r,17.656,0.123,positive,,
59933.430706,g,18.829,0.089,positive,,
59931.512685,r,17.516,0.064,positive,,
59928.532060,g,18.843,0.097,positive,,
59922.450278,r,17.518,0.048,positive,,
59922.437755,g,18.698,0.162,positive,,
59913.400914,r,17.351,0.050,positive,,
59909.489005,g,18.444,0.067,positive,,
59909.448067,r,17.246,0.045,positive,,
59906.452026,r,16.938,0.039,positive,,
59906.430278,g,18.026,0.045,positive,,
59904.494526,r,16.752,0.034,positive,,
59904.429491,g,17.804,0.063,positive,,
59902.517685,r,16.570,0.041,positive,,
59902.478657,g,17.540,0.068,positive,,
59900.513843,r,16.330,0.034,positive,,
59900.494965,g,17.347,0.048,positive,,
59898.479213,r,16.293,0.034,positive,,
59898.451412,g,17.189,0.043,positive,,
59896.472049,r,16.165,0.027,positive,,
59893.490151,r,16.091,0.027,positive,,
59888.470544,r,15.985,0.036,positive,,
59884.517928,g,16.691,0.030,positive,,
