MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
60356.444213,g,20.340,0.214,positive,,
60356.357269,r,20.376,,limit,18.9,4.4
60354.444537,g,20.510,0.252,positive,21.9,3.3
60354.399595,r,20.424,,limit,28.8,3.9
60352.444896,g,20.447,0.306,positive,23.9,4.0
60352.412292,r,20.486,,limit,23.5,4.0
60340.399942,g,19.917,,limit,16.5,4.9
60335.421817,g,19.163,,limit,22.9,9.6
60250.535023,r,19.808,0.205,positive,,
60250.532569,r,19.792,0.256,positive,42.7,6.3
60250.530116,r,19.647,,limit,,
60250.527651,r,19.529,,limit,,
60249.536829,r,18.051,,limit,,
60249.534375,r,17.784,,limit,,
60249.531910,r,18.280,,limit,,
60249.529456,r,18.435,,limit,,
60249.527002,r,18.204,,limit,,
60248.535891,r,18.936,,limit,,
60248.533426,r,18.957,,limit,,
60248.530984,r,18.969,,limit,,
60248.528518,r,18.913,,limit,,
60248.526065,r,19.338,0.274,positive,,
60247.535336,r,19.067,,limit,41.9,11.0
60247.532893,r,18.993,,limit,,
60247.526331,r,18.851,,limit,,
60247.523877,r,18.815,,limit,,
60246.532789,r,18.861,,limit,43.6,13.2
60246.530336,r,18.945,,limit,,
60246.527893,r,18.973,,limit,,
60246.525451,r,18.805,,limit,,
60246.523009,r,18.903,,limit,,
60239.541794,r,18.889,,limit,55.6,13.4
60239.539410,r,19.107,,limit,,
60239.537014,r,19.527,0.215,positive,,
60239.534641,r,19.446,,limit,52.4,7.8
60239.532245,r,19.652,0.233,positive,,
60238.541782,r,19.173,,limit,50.4,10.1
60238.539398,r,19.366,,limit,,
60238.537014,r,19.392,0.182,positive,,
60238.534618,r,19.604,,limit,,
60238.532222,r,19.295,0.181,positive,68.9,6.9
60236.540243,r,18.895,,limit,,
60236.537812,r,19.148,,limit,,
60236.535370,r,19.348,,limit,,
60236.532940,r,19.490,,limit,,
60235.540764,r,18.600,,limit,,
60235.538322,r,18.755,,limit,,
60235.535891,r,18.885,,limit,,
60235.533449,r,19.060,,limit,,
60235.531019,r,19.036,,limit,,
60234.537488,r,18.178,,limit,,
60234.535104,r,18.618,,limit,,
60234.532708,r,18.184,,limit,,
60234.530324,r,18.420,,limit,,
60234.527928,r,17.575,,limit,,
60115.238935,g,18.839,0.117,positive,,
60113.237500,r,20.131,,limit,,
60111.245139,g,18.691,0.142,positive,,
60105.236146,r,18.472,0.071,positive,,
60105.215127,g,18.722,0.093,positive,,
60103.195949,r,20.304,,limit,,
60101.205150,g,18.678,0.100,positive,,
60099.250174,r,17.126,,limit,,
60099.192951,g,19.003,,limit,,
60097.211481,r,18.437,0.087,positive,,
60090.182257,r,18.354,0.062,positive,,
60088.276852,g,18.732,0.103,positive,,
60088.217384,r,20.520,,limit,,
60086.306470,g,18.780,0.083,positive,,
60086.212361,g,18.710,0.072,positive,,
60086.189444,r,18.834,0.121,positive,,
60086.164456,r,20.238,,limit,,
60084.204919,r,20.593,,limit,,
60082.242315,g,18.567,0.157,positive,,
60082.192199,r,20.431,,limit,,
60080.237500,g,18.789,0.098,positive,,
60077.291169,g,18.754,0.083,positive,,
60077.212755,r,20.356,,limit,,
60067.289792,g,18.623,,limit,,
60062.212859,g,18.779,0.099,positive,,
60062.195405,r,20.140,,limit,,
60060.181400,r,18.287,0.069,positive,,
60058.297928,g,18.661,0.082,positive,,
60058.213113,r,20.447,,limit,,
60056.212789,g,18.745,0.092,positive,,
60056.172037,r,20.520,,limit,,
60054.257222,g,18.774,0.090,positive,,
60052.281944,r,18.243,0.060,positive,,
60052.269398,g,18.629,0.067,positive,,
60050.256343,r,20.524,,limit,,
60050.183565,g,18.676,0.090,positive,,
60045.318588,g,18.621,0.077,positive,,
60036.319977,g,18.509,0.123,positive,,
60031.297141,r,18.022,0.059,positive,,
60031.288970,g,18.458,0.086,positive,,
60020.321852,r,20.616,,limit,,
60020.223831,g,18.362,0.073,positive,,
60016.351736,r,17.772,0.072,positive,,
60016.206042,g,18.348,0.085,positive,,
59996.379294,g,17.456,,limit,,
59996.364931,r,17.429,0.186,positive,,
59996.364931,r,17.504,,limit,,
59992.380451,r,17.476,0.248,positive,,
59985.440857,g,18.014,0.061,positive,,
59985.392894,r,17.364,0.050,positive,,
59979.433102,r,17.261,0.037,positive,,
59979.336227,g,17.825,0.075,positive,,
59972.465116,r,16.971,0.030,positive,,
