MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
60207.461458,r,19.562,0.131,positive,,
60207.455845,g,20.662,,limit,,
60205.477789,g,20.657,,limit,,
60205.418588,r,20.521,,limit,,
60203.481262,r,20.429,,limit,,
60203.398368,g,20.650,,limit,,
60201.482708,g,20.551,,limit,,
60201.437419,r,20.281,,limit,,
60198.483345,g,20.351,,limit,,
60198.438970,r,20.204,,limit,,
60195.480278,r,19.517,0.157,positive,,
60195.408738,g,19.691,,limit,,
60192.448414,r,19.950,,limit,,
60192.383518,g,19.448,,limit,,
60187.479861,g,18.944,,limit,,
60187.456042,r,19.197,,limit,,
60184.489676,r,19.749,0.192,positive,,
60184.442477,g,20.116,,limit,,
60182.463634,r,19.345,0.142,positive,,
60182.418657,g,19.896,,limit,,
60178.483623,r,20.305,,limit,,
60178.457338,g,20.394,,limit,,
60173.458194,r,20.147,,limit,,
60170.482384,r,19.236,0.121,positive,,
59994.172396,r,17.661,0.065,positive,,
59991.170810,r,17.553,0.056,positive,,
59984.171123,g,18.449,0.123,positive,,
59984.149525,r,17.599,0.051,positive,,
59982.170474,r,17.583,0.079,positive,,
59982.108866,g,18.454,0.125,positive,,
59980.172118,r,17.441,0.050,positive,,
59980.129688,g,18.450,0.108,positive,,
59978.170451,r,17.344,0.143,positive,,
59978.126794,g,18.406,0.136,positive,,
59970.192407,r,17.366,0.067,positive,,
59970.149699,g,18.495,0.122,positive,,
59968.190660,r,17.290,0.056,positive,,
59968.172176,g,18.365,0.101,positive,,
59967.169676,g,18.384,0.150,positive,,
59967.146065,r,17.338,0.070,positive,,
59965.169387,r,17.283,0.041,positive,,
59957.172917,r,17.157,0.052,positive,,
59957.126979,g,18.342,0.198,positive,,
59953.113449,g,18.324,0.090,positive,,
59940.242593,r,16.851,0.035,positive,,
59936.231389,r,16.768,0.040,positive,,
59934.279097,r,16.705,0.038,positive,,
59932.250162,r,16.650,0.037,positive,,
59930.174965,r,16.579,0.028,positive,,
59923.273276,r,16.297,0.028,positive,,
59922.273044,r,16.278,0.025,positive,,
59922.230556,g,17.477,0.049,positive,,
59913.315787,g,17.073,0.047,positive,,
59910.259271,r,15.845,0.028,positive,,
59910.223657,g,16.886,0.035,positive,,
59908.221632,r,15.793,0.024,positive,,
59905.315035,r,15.936,0.054,positive,,
59905.275648,g,16.623,0.152,positive,,
59903.323310,r,15.707,0.026,positive,,
59901.309306,g,16.564,0.034,positive,,
59901.286308,r,15.670,0.035,positive,,
59900.289271,g,16.530,0.048,positive,,
59898.330590,r,15.676,0.031,positive,,
59898.309120,g,16.526,0.035,positive,,
59897.309282,r,15.729,0.025,positive,,
59897.253657,g,16.523,0.038,positive,,
59895.299873,r,15.757,0.031,positive,,
59895.290660,g,16.553,0.036,positive,,
59893.400833,g,16.587,0.040,positive,,
59888.424757,g,16.495,0.151,positive,,
59888.355949,r,16.011,0.034,positive,,
59885.270880,g,16.873,0.063,positive,,
59882.396736,g,17.834,0.083,positive,,
59882.334225,r,17.219,0.055,positive,,
59880.368588,g,19.084,0.124,positive,,
59880.339236,r,18.490,0.093,positive,,
59878.364132,g,20.095,,limit,,
59878.327211,r,19.863,,limit,,
59874.398576,g,20.379,,limit,,
59874.356539,r,20.400,,limit,,
59872.374861,r,20.208,,limit,,
59872.335382,g,20.078,,limit,,
59870.377593,r,20.052,,limit,,
59870.356227,g,20.062,,limit,,
59866.441458,g,19.613,,limit,,
59864.442801,g,19.140,,limit,,
59862.443079,r,19.303,,limit,,
59860.461620,g,19.440,,limit,,
59860.398599,r,19.545,,limit,,
59858.439664,g,20.562,,limit,,
59858.361701,r,19.727,,limit,,
59856.421759,g,20.492,,limit,,
59854.443518,r,20.441,,limit,,
59854.397870,g,20.515,,limit,,
59851.491840,g,20.285,,limit,,
59851.440069,r,20.358,,limit,,
