MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
60390.150393,r,19.583,0.203,positive,,
60388.170336,r,19.417,,limit,43.2,7.3
60388.148357,g,19.278,,limit,13.7,8.3
60379.147917,g,18.862,,limit,,
60374.215463,g,19.703,,limit,23.0,5.3
60368.288137,r,19.345,0.218,positive,62.0,10.6
60364.212917,r,16.481,,limit,,
60363.251331,r,17.451,,limit,,
60352.241644,r,19.065,0.110,positive,,
60341.189225,r,16.719,,limit,,
60339.364086,g,19.159,,limit,30.3,8.5
60339.233414,r,18.847,0.105,positive,101.1,6.1
60334.252847,g,18.792,,limit,32.2,12.9
60334.211447,r,18.201,,limit,,
60326.315995,g,19.757,0.217,positive,45.4,4.2
60326.226470,r,18.681,0.072,positive,123.3,4.5
60324.242697,r,18.716,0.086,positive,116.4,6.4
60324.219560,g,19.624,0.223,positive,43.9,5.7
60322.273692,g,19.184,,limit,,
60322.252743,r,18.728,0.144,positive,110.4,7.2
60314.420405,r,18.453,0.089,positive,148.9,7.3
60314.275706,g,19.639,0.231,positive,48.8,5.4
60308.379109,r,18.325,0.259,positive,,
60308.251794,g,19.460,,limit,59.4,7.2
60306.358357,r,18.357,,limit,,
60296.377627,r,14.856,,limit,,
60296.335370,g,18.414,,limit,,
60291.354502,r,18.173,0.060,positive,185.7,5.3
60290.379722,r,18.152,0.042,positive,201.5,4.1
60290.374525,g,19.479,0.155,positive,60.1,5.0
60289.335035,r,18.138,0.068,positive,,
60288.441042,g,19.457,0.163,positive,52.7,5.8
60288.400764,r,18.199,0.078,positive,188.1,5.1
60287.294942,g,19.533,0.251,positive,,
60262.539826,g,19.174,0.132,positive,73.1,4.6
60262.465660,r,17.826,0.045,positive,274.2,4.3
60260.373380,r,17.785,0.047,positive,272.6,5.5
60260.351401,g,19.865,,limit,71.8,4.9
60258.437928,r,17.769,0.043,positive,275.7,6.0
60258.378067,g,19.115,0.189,positive,79.0,5.9
60254.497870,r,17.726,0.047,positive,294.8,5.2
60254.460127,g,19.096,0.132,positive,82.9,3.7
60253.449942,g,19.219,0.158,positive,72.5,4.8
60253.379850,r,17.692,0.047,positive,304.4,6.0
60251.430035,r,17.668,0.059,positive,311.1,6.4
60251.364051,g,18.942,0.169,positive,92.4,9.2
60249.465058,r,17.764,0.143,positive,,
60249.387627,g,19.074,0.227,positive,81.8,13.2
60249.387627,g,18.818,,limit,81.8,13.2
60246.502766,r,17.644,0.048,positive,313.5,8.8
60246.459780,g,18.815,,limit,92.4,12.4
60244.398299,g,19.097,0.264,positive,73.6,14.1
60239.482593,g,19.003,0.102,positive,89.7,3.1
60239.437905,r,17.508,0.040,positive,356.3,5.2
60237.503877,r,17.482,0.043,positive,373.3,4.5
60237.456204,g,18.948,0.119,positive,93.0,4.1
60235.489884,g,18.903,0.119,positive,97.0,3.9
60231.500150,r,17.448,0.042,positive,383.8,5.2
60231.446806,g,18.956,0.125,positive,92.5,4.2
60228.425220,g,18.836,0.140,positive,98.6,4.9
60224.500613,r,17.351,0.036,positive,421.9,5.3
60224.456921,g,18.909,0.132,positive,95.2,6.3
60222.502396,r,17.294,0.032,positive,438.2,6.8
60222.461076,g,18.848,0.158,positive,96.0,9.3
60220.459838,g,18.754,,limit,94.5,12.2
60215.484225,g,18.823,0.156,positive,105.5,8.4
60036.169711,r,14.579,0.028,positive,,
60036.151123,g,15.540,0.025,positive,,
60030.154479,g,15.439,0.031,positive,,
60021.148113,r,14.489,0.022,positive,,
60017.176308,g,15.193,0.047,positive,,
60013.253368,g,15.244,0.027,positive,,
60013.233264,r,14.419,0.024,positive,,
59991.211690,r,14.313,0.023,positive,,
59991.190208,g,14.844,0.024,positive,,
59985.209965,r,14.381,0.019,positive,,
59982.231331,r,14.382,0.017,positive,,
59979.211354,r,14.401,0.026,positive,,
59972.273264,r,15.474,0.027,positive,,
59970.272662,g,19.294,,limit,,
59970.228380,r,19.371,,limit,,
59969.254873,g,19.580,,limit,,
59968.255509,g,19.673,,limit,,
59968.231146,r,19.930,,limit,,
59965.315891,g,19.372,,limit,,
59965.252049,r,19.858,,limit,,
59953.315474,g,18.663,,limit,,
59953.289907,r,17.258,,limit,,
