MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
60099.242627,r,17.523,0.057,positive,,
60099.197662,g,18.724,0.227,positive,,
60097.195856,r,17.414,0.052,positive,,
60092.277801,r,17.258,0.047,positive,,
60092.252732,g,18.601,0.122,positive,,
60083.206887,g,18.449,0.082,positive,,
60083.180151,r,17.160,0.038,positive,,
60081.223067,g,18.349,0.096,positive,,
60081.190937,r,17.069,0.048,positive,,
60079.172164,r,17.075,0.042,positive,,
60077.265845,g,18.348,0.090,positive,,
60077.217523,r,17.076,0.049,positive,,
60067.288808,g,18.216,0.150,positive,,
60064.279965,r,16.969,0.039,positive,,
60064.165243,g,18.126,0.110,positive,,
60060.198773,g,18.178,0.088,positive,,
60060.174375,r,17.002,0.043,positive,,
60058.221262,r,16.980,0.043,positive,,
60058.183079,g,18.171,0.071,positive,,
60056.201713,g,18.135,0.083,positive,,
60056.182026,r,16.979,0.042,positive,,
60054.177292,g,18.097,0.062,positive,,
60052.288426,r,16.996,0.037,positive,,
60052.234630,g,18.183,0.075,positive,,
60050.203796,r,17.021,0.043,positive,,
60050.173403,g,18.123,0.065,positive,,
60046.196505,g,18.108,0.063,positive,,
60046.162199,r,17.054,0.040,positive,,
60044.186620,r,17.019,0.038,positive,,
60044.165764,g,18.055,0.069,positive,,
60042.266030,g,18.171,,limit,,
60042.176412,r,16.998,0.050,positive,,
60031.305023,r,17.015,0.049,positive,,
60031.222708,g,17.978,0.078,positive,,
60021.283970,g,17.870,0.068,positive,,
60021.218843,r,16.397,,limit,,
60017.218241,g,17.841,0.050,positive,,
60013.323067,g,18.742,,limit,,
59994.406447,g,17.262,0.049,positive,,
59994.280775,r,17.061,0.039,positive,,
59992.327026,r,17.339,0.250,positive,,
59992.267465,g,17.315,0.079,positive,,
59985.259340,g,19.741,,limit,,
59985.245613,r,19.800,,limit,,
59983.403634,g,19.287,,limit,,
59983.353982,r,19.050,,limit,,
59977.483900,g,19.520,,limit,,
59977.297813,r,19.708,,limit,,
59971.374815,g,20.277,,limit,,
59971.344838,r,20.395,,limit,,
59968.364768,r,20.294,,limit,,
59968.340498,g,20.245,,limit,,
59965.363206,g,19.930,,limit,,
59965.341563,r,19.516,,limit,,
