MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
60105.256898,r,19.447,0.129,positive,,
60103.238137,g,20.424,,limit,,
60103.201192,r,20.472,,limit,,
60101.198970,g,20.253,,limit,,
60099.316273,r,18.277,,limit,,
60099.185880,g,18.905,,limit,,
60097.220046,r,19.854,,limit,,
60092.268229,r,19.283,0.111,positive,,
60092.267292,r,20.185,,limit,,
60092.246447,g,20.043,,limit,,
60092.245972,g,20.177,,limit,,
60090.178854,r,18.896,0.110,positive,,
60088.286204,g,20.451,,limit,,
60088.240833,r,20.630,,limit,,
60086.303218,g,20.568,,limit,,
60086.224664,g,20.551,,limit,,
60086.178773,r,18.884,0.137,positive,,
60084.197905,r,18.948,0.105,positive,,
60084.182697,g,20.743,,limit,,
60082.200880,r,20.439,,limit,,
60080.264109,g,20.452,,limit,,
60078.323449,g,20.456,,limit,,
60078.262292,r,18.823,0.097,positive,,
60076.353819,r,18.769,0.090,positive,,
60076.291377,g,20.579,,limit,,
60065.320463,g,19.515,,limit,,
60065.199375,r,18.432,0.071,positive,,
60063.251181,r,20.208,,limit,,
60063.172824,g,20.024,,limit,,
60061.195937,r,18.398,0.071,positive,,
60061.174988,g,20.323,,limit,,
60059.322222,g,20.576,,limit,,
60059.202697,r,18.395,0.064,positive,,
60057.217697,g,20.667,,limit,,
60057.175174,r,20.480,,limit,,
60055.281609,g,20.424,,limit,,
60055.219016,r,18.206,0.063,positive,,
60053.306724,g,20.222,,limit,,
60053.241227,r,18.175,0.067,positive,,
60051.286007,r,18.091,0.070,positive,,
60051.219884,g,20.795,,limit,,
60049.218750,r,17.995,0.067,positive,,
60045.323345,g,20.507,0.231,positive,,
60045.267164,r,17.767,0.054,positive,,
60043.361736,r,17.541,0.041,positive,,
60043.303021,g,19.593,,limit,,
60036.327338,g,19.017,0.114,positive,,
60036.262743,r,16.931,0.047,positive,,
60030.354363,r,16.763,0.033,positive,,
60020.307558,r,17.358,0.039,positive,,
60020.217546,g,19.263,0.103,positive,,
60016.261597,r,20.278,,limit,,
59996.343067,g,20.016,,limit,,
59996.330532,r,20.519,,limit,,
59992.367523,r,17.799,,limit,,
59992.353090,g,17.988,,limit,,
