MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
60090.199074,r,17.778,0.079,positive,,
60088.278264,g,20.808,,limit,,
60088.238912,r,20.815,,limit,,
60086.269861,g,20.760,,limit,,
60086.219340,g,20.828,,limit,,
60086.172361,r,20.221,,limit,,
60084.235289,r,20.766,,limit,,
60084.179329,g,20.875,,limit,,
60082.258322,g,19.919,,limit,,
60082.194155,r,20.199,,limit,,
60080.266528,g,20.625,,limit,,
60080.220926,r,20.522,,limit,,
60078.320949,g,20.667,,limit,,
60078.262836,r,20.607,,limit,,
60076.332894,r,20.524,,limit,,
60076.283681,g,20.745,,limit,,
60067.283021,g,19.093,,limit,,
60064.288750,r,20.068,,limit,,
60064.252974,g,19.942,,limit,,
60062.429711,g,20.261,,limit,,
60062.179526,r,20.301,,limit,,
60060.392002,g,20.323,,limit,,
60060.321713,r,20.437,,limit,,
