MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
60526.201875,g,18.816,0.088,positive,,
60524.244306,r,20.218,,limit,190.3,4.8
60519.310475,r,19.769,,limit,190.0,6.3
60519.187083,g,18.689,0.096,positive,,
60517.297454,r,19.447,,limit,210.3,8.2
60517.197431,g,18.727,0.091,positive,121.1,3.7
60515.259549,r,19.652,,limit,226.7,7.4
60515.203032,g,18.645,0.094,positive,,
60513.286597,r,19.511,,limit,235.3,8.5
60513.238773,g,18.709,0.133,positive,,
60511.302268,r,19.336,,limit,217.0,9.0
60511.219398,g,18.626,0.103,positive,130.6,8.0
60509.263785,r,19.417,,limit,204.9,8.2
60509.217685,g,18.560,0.087,positive,,
60507.320243,g,18.614,0.103,positive,,
60507.213634,r,20.118,,limit,223.0,5.0
60494.270150,r,20.467,,limit,260.5,4.4
60494.199896,g,18.385,0.071,positive,,
60494.199896,g,20.501,,limit,,
60490.260347,r,20.623,,limit,257.4,4.2
60490.199815,g,20.751,,limit,,
60488.305336,r,20.438,,limit,273.0,4.3
60488.259005,g,18.415,0.053,positive,,
60486.224954,g,18.309,0.069,positive,,
60484.282049,r,20.046,,limit,309.3,5.6
60484.243206,g,18.290,0.088,positive,,
60482.320104,r,19.824,,limit,300.7,6.3
60482.224317,g,18.324,0.086,positive,173.9,6.4
60480.327234,r,19.856,,limit,312.8,6.5
60480.216944,g,18.222,0.066,positive,,
60477.303877,r,20.054,,limit,309.0,5.6
60477.224468,g,18.277,0.066,positive,,
60475.238900,r,20.465,,limit,317.6,4.6
60475.220764,g,18.168,0.073,positive,,
60473.242604,r,20.438,,limit,313.2,4.6
60473.199722,g,18.203,0.050,positive,,
60471.307118,r,20.691,,limit,314.8,4.2
60471.237442,g,18.284,0.059,positive,,
60469.322789,r,20.625,,limit,344.7,4.6
60469.198553,g,21.015,,limit,,
60463.245394,r,20.773,,limit,349.0,4.1
60463.220151,g,18.132,0.052,positive,,
60461.279282,r,20.693,,limit,,
60461.259965,g,18.147,0.062,positive,,
60459.348576,r,20.563,,limit,397.7,4.8
60459.282014,g,18.104,0.045,positive,,
60457.305046,r,20.437,,limit,400.0,4.7
60457.259271,g,18.078,0.065,positive,,
60455.288877,r,19.842,,limit,434.9,6.7
60455.263854,g,17.961,0.072,positive,,
60451.308194,r,19.801,,limit,453.4,7.0
60451.223194,g,17.903,0.075,positive,,
60449.341123,r,20.154,,limit,444.8,5.5
60449.282882,g,17.891,0.060,positive,,
60447.305637,r,20.356,,limit,465.7,5.2
60447.265266,g,17.900,0.049,positive,,
60445.304745,g,17.910,0.044,positive,,
60445.242697,r,20.139,,limit,456.7,5.5
60443.347546,r,20.499,,limit,469.3,5.0
60443.324097,g,17.823,0.047,positive,265.3,4.2
60441.341806,g,17.847,0.046,positive,,
60441.266076,r,20.030,,limit,484.3,6.1
60439.322651,g,17.840,0.055,positive,,
60439.281435,r,20.665,,limit,,
60438.325289,g,17.792,0.054,positive,,
60438.282766,r,19.934,,limit,529.9,7.2
60438.256458,r,20.621,,limit,484.5,4.6
60437.306285,g,17.815,0.046,positive,,
60437.243310,r,20.831,,limit,,
60433.410764,r,20.946,,limit,490.9,4.2
60433.364653,g,17.840,0.046,positive,271.8,3.3
60431.299051,g,17.773,0.050,positive,292.3,3.5
60431.258634,r,20.926,,limit,,
60429.366215,r,20.506,,limit,571.8,5.2
60429.282963,g,17.730,0.053,positive,304.9,3.7
60423.426146,r,19.948,,limit,,
60423.335150,g,17.630,0.062,positive,,
60421.395150,r,19.949,,limit,652.8,6.8
60421.340995,g,17.613,0.054,positive,,
60419.327951,g,17.546,0.044,positive,,
60419.263519,r,20.329,,limit,651.2,5.7
60417.346620,g,17.600,0.043,positive,,
60417.312477,r,20.416,,limit,,
60413.411782,r,20.845,,limit,,
60408.367419,r,20.720,,limit,,
60408.324699,g,21.165,,limit,,
60404.410961,g,17.409,0.045,positive,,
60404.366377,r,20.578,,limit,744.0,5.7
60398.435289,r,16.597,0.034,positive,802.9,8.1
60398.351667,g,17.329,0.036,positive,,
60396.391898,g,17.355,0.045,positive,412.2,6.7
60396.352870,r,19.952,,limit,879.8,7.1
60391.395741,g,17.242,0.039,positive,,
60391.242755,r,19.623,,limit,986.8,9.1
60388.410903,g,17.251,0.043,positive,468.0,5.1
60388.383993,r,20.272,,limit,963.0,6.6
60379.304803,r,20.308,,limit,1051.3,6.8
60369.496563,g,17.058,0.054,positive,575.1,5.5
60369.433287,r,20.421,,limit,1208.7,6.7
60365.337766,g,17.264,0.141,positive,,
60363.428576,r,16.098,0.029,positive,1317.8,17.8
60363.387407,g,16.989,0.083,positive,,
60355.451609,r,20.528,,limit,1414.2,7.2
60355.406100,g,16.966,0.039,positive,,
60353.411227,g,16.991,0.037,positive,,
60351.475926,r,20.151,,limit,1525.3,8.2
60351.407280,g,16.887,0.031,positive,,
60325.545012,g,16.646,0.032,positive,,
60325.498009,r,20.469,,limit,2115.6,8.5
60315.480000,r,20.200,,limit,2519.7,9.9
60315.440046,g,16.491,0.042,positive,886.3,6.6
60311.517975,r,20.248,,limit,2527.9,9.5
60311.483796,g,16.484,0.030,positive,934.1,6.7
60291.536377,r,20.469,,limit,3296.0,10.5
60291.494792,g,16.334,0.030,positive,1045.9,6.3
60289.534259,g,16.298,0.059,positive,,
60289.479016,r,14.995,0.043,positive,,
60287.512535,g,16.249,0.029,positive,1084.3,7.9
60188.166771,g,15.213,0.036,positive,,
60172.244329,g,14.969,0.033,positive,,
60172.180000,r,20.396,,limit,,
60170.242060,g,14.854,0.027,positive,,
60165.242118,g,20.015,,limit,,
60165.225914,r,20.215,,limit,,
60163.265104,r,20.160,,limit,,
60163.238819,g,13.826,0.027,positive,,
60161.279965,g,13.518,0.031,positive,,
60159.284641,g,13.342,0.018,positive,,
60159.241111,r,19.639,,limit,,
60153.285023,g,19.705,,limit,,
60153.217326,r,20.237,,limit,,
60144.258993,g,12.778,0.022,positive,,
60144.221123,r,20.610,,limit,,
60141.243125,r,20.449,,limit,,
60141.225822,g,12.719,0.025,positive,,
60139.260359,r,20.365,,limit,,
60139.222454,g,20.637,,limit,,
60137.224583,g,20.601,,limit,,
60135.288125,r,20.405,,limit,,
60135.241505,g,12.542,0.023,positive,,
60133.324977,g,12.447,0.024,positive,,
60128.298785,r,19.566,,limit,,
60128.201597,g,19.592,,limit,,
60126.370370,r,19.466,,limit,,
60126.206724,g,19.805,,limit,,
60124.358819,g,19.553,,limit,,
60124.239259,r,20.346,,limit,,
60122.303924,g,12.148,0.017,positive,,
