MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
60285.133507,r,19.721,0.189,positive,,
60268.181678,g,18.909,,limit,,
60268.133310,r,19.771,0.271,positive,46.1,5.6
60262.165093,g,20.325,,limit,15.3,3.8
60260.132107,g,20.142,,limit,14.9,4.0
60260.109572,r,19.719,0.184,positive,45.6,5.2
60258.149549,g,19.628,,limit,11.5,6.4
60258.120116,r,19.674,,limit,45.5,6.9
60255.145833,r,19.723,0.161,positive,46.4,3.5
60255.124803,g,20.426,,limit,14.9,3.5
60253.229525,g,19.888,,limit,15.8,5.0
60253.144595,r,19.689,0.172,positive,49.1,3.6
60251.184711,r,19.653,0.151,positive,50.3,4.3
60251.125046,g,20.473,,limit,13.5,3.1
60249.150937,r,19.372,,limit,45.2,8.5
60249.124595,g,20.155,,limit,16.3,3.8
60247.151030,r,19.079,,limit,,
60247.127106,g,19.086,,limit,,
60245.244757,g,18.395,,limit,,
60245.161840,r,19.681,0.208,positive,46.4,6.2
60242.164965,g,19.524,,limit,-0.9,7.2
60239.222697,r,19.642,0.173,positive,50.5,3.9
60239.180231,g,20.228,,limit,15.0,3.6
60237.221389,g,20.481,,limit,13.3,3.1
60237.183565,r,19.621,0.129,positive,53.5,3.9
60235.178507,g,20.734,0.299,positive,19.5,2.9
60235.139028,r,19.504,0.111,positive,57.7,3.0
60233.199514,g,20.710,0.243,positive,19.2,3.2
60233.153368,r,19.471,0.113,positive,60.2,3.1
60231.184468,g,20.794,0.275,positive,18.0,3.2
60231.158171,r,19.450,0.126,positive,59.4,3.3
60228.267153,g,20.142,,limit,17.1,3.9
60228.162026,r,19.177,0.120,positive,71.7,4.8
60226.224074,r,19.122,0.092,positive,85.9,3.2
60226.187326,g,20.428,0.195,positive,26.1,2.6
60223.322280,g,19.129,,limit,29.3,10.4
60223.185521,r,18.910,0.075,positive,102.2,3.7
60221.288530,r,18.725,0.142,positive,109.8,7.0
60221.169699,g,19.988,0.169,positive,37.7,3.0
60217.152616,r,18.445,0.074,positive,158.6,5.8
60217.129664,g,19.566,0.174,positive,56.9,6.1
60215.234259,r,18.319,0.076,positive,174.2,5.5
60215.181505,g,19.347,0.132,positive,67.7,6.6
60213.192732,r,18.218,0.060,positive,185.2,6.7
60213.161887,g,19.280,0.150,positive,70.9,6.2
60211.222199,g,19.218,0.158,positive,72.6,5.5
60211.149005,r,18.188,0.052,positive,201.2,4.2
60207.223935,g,19.004,0.084,positive,94.2,2.7
60207.186643,r,18.091,0.053,positive,225.0,3.4
60205.206736,r,18.040,0.065,positive,231.8,3.3
60205.152176,g,18.953,0.071,positive,97.1,2.7
60203.268681,g,18.848,0.073,positive,,
60203.212662,r,18.010,0.043,positive,,
60201.212928,g,18.820,0.068,positive,,
60198.269005,r,17.928,0.051,positive,,
60198.235544,g,18.769,0.086,positive,,
60195.330845,g,18.778,0.076,positive,,
60195.233206,r,17.925,0.050,positive,,
60195.233206,r,17.925,0.050,positive,,
60193.269792,r,17.897,0.051,positive,,
60193.250440,g,18.717,0.061,positive,,
60187.242651,r,17.924,0.084,positive,,
60187.170498,g,18.803,0.147,positive,,
60185.251898,r,17.860,0.050,positive,,
60185.183576,g,18.707,0.127,positive,,
60183.374792,r,17.848,0.062,positive,,
60183.322789,g,18.651,0.086,positive,,
60181.349560,g,18.617,0.059,positive,,
60181.234688,r,17.887,0.059,positive,,
60179.320810,g,18.551,0.072,positive,,
60179.237674,r,20.522,,limit,,
60174.347442,g,18.575,0.059,positive,,
60174.255660,r,17.861,0.053,positive,,
60172.277569,r,17.833,0.050,positive,,
60172.277569,r,17.833,0.050,positive,,
60172.270301,g,18.420,0.075,positive,,
60170.330312,g,18.472,0.062,positive,,
60170.275104,r,17.842,0.044,positive,,
60168.360706,g,18.424,0.058,positive,,
60168.318079,r,17.820,0.062,positive,,
60164.291806,r,17.770,0.038,positive,,
60162.394560,g,18.290,0.063,positive,,
60162.315729,r,17.764,0.057,positive,,
60160.297106,g,18.277,0.064,positive,,
60160.282731,r,17.756,0.058,positive,,
60156.357581,r,17.686,0.058,positive,,
60156.325440,g,18.113,0.068,positive,,
60154.359734,g,17.972,0.085,positive,,
60152.352674,g,18.038,0.045,positive,,
60152.320116,r,17.665,0.043,positive,,
60150.372176,r,19.342,,limit,,
60150.309178,g,17.975,0.054,positive,,
60148.351933,r,17.594,0.049,positive,,
60148.295903,g,17.929,0.054,positive,,
60146.342604,r,17.562,0.058,positive,,
60146.327431,r,17.547,0.049,positive,,
60144.405602,g,17.750,0.049,positive,,
60144.308264,r,17.500,0.043,positive,,
60142.422141,r,19.097,,limit,,
60140.373623,g,17.600,0.048,positive,,
60140.344444,g,17.604,0.052,positive,,
60138.452500,r,17.382,0.048,positive,,
60138.384988,g,17.639,0.057,positive,,
60136.447500,g,17.529,0.052,positive,,
60136.401227,r,17.428,0.041,positive,,
60134.422025,r,17.551,0.039,positive,,
60134.377662,g,17.557,0.046,positive,,
60128.443102,g,19.206,,limit,,
60128.402349,r,19.521,,limit,,
60126.442546,r,20.681,,limit,,
60124.438970,r,20.505,,limit,,
60124.377280,g,20.272,,limit,,
60122.441817,r,20.717,,limit,,
60122.436470,g,20.642,,limit,,
60120.419375,g,20.513,,limit,,
60120.393565,r,20.837,,limit,,
60118.456678,r,20.410,,limit,,
60118.416643,g,20.308,,limit,,
60115.415417,g,20.391,,limit,,
60115.341007,r,20.594,,limit,,
60112.430856,g,20.528,,limit,,
60112.394051,r,20.691,,limit,,
60110.399676,g,20.787,,limit,,
60108.397060,g,20.524,,limit,,
