MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
60340.294792,r,17.249,0.045,positive,,
60336.270081,g,18.033,0.149,positive,,
60327.182349,r,19.934,,limit,,
60308.131586,g,20.448,,limit,,
60308.109711,r,19.926,,limit,,
60251.339815,g,16.552,0.040,positive,,
60249.444468,r,19.033,,limit,1411.8,13.7
60249.335544,g,18.103,,limit,,
60244.337211,r,15.829,0.028,positive,,
60239.464144,g,16.402,0.031,positive,,
60239.421505,r,20.465,,limit,,
60237.431030,g,16.347,0.050,positive,,
60237.379306,r,15.721,0.032,positive,,
60235.428113,r,15.695,0.034,positive,,
60235.393438,g,16.346,0.032,positive,,
60233.441250,r,15.670,0.032,positive,,
60233.399028,g,16.275,0.037,positive,,
60231.439722,g,16.253,0.034,positive,,
60228.441424,g,20.368,,limit,,
60225.462118,r,20.343,,limit,,
60225.424132,g,16.143,0.046,positive,,
60223.461123,r,19.651,,limit,,
60223.420752,g,16.145,0.035,positive,,
60221.424271,g,19.096,,limit,,
60216.462338,g,16.056,0.037,positive,,
60213.499491,r,15.415,0.032,positive,2487.3,9.6
60213.453588,g,16.008,0.031,positive,,
60211.463819,r,15.369,0.037,positive,2622.2,9.9
60208.466678,g,20.558,,limit,,
60206.486354,g,15.879,0.036,positive,,
60206.464884,r,15.294,0.032,positive,,
60204.490613,g,20.949,,limit,,
60204.434051,r,15.283,0.031,positive,,
60201.497951,g,15.826,0.039,positive,,
60201.444120,r,15.246,0.033,positive,,
60198.484329,g,15.783,0.037,positive,,
60198.478461,r,15.184,0.029,positive,,
60194.495012,r,15.141,0.032,positive,,
60194.444109,g,15.743,0.042,positive,,
60191.443924,g,15.703,0.022,positive,,
60186.483819,g,15.650,0.032,positive,,
60186.420058,r,15.013,0.030,positive,,
60184.481817,r,14.964,0.028,positive,,
60184.449549,g,15.569,0.041,positive,,
60182.465521,r,14.979,0.026,positive,,
