MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
60586.458044,r,18.655,0.048,negative,,
60586.434502,g,19.481,0.066,negative,-58.1,2.3
60586.411030,r,18.705,0.038,negative,-121.6,1.8
60586.387639,g,21.136,,limit,-56.4,2.0
60586.364282,r,18.705,0.040,negative,-121.1,1.9
60586.340984,g,19.499,0.056,negative,-58.1,2.0
60586.317697,r,18.643,0.039,negative,-125.8,2.2
60586.294456,g,21.174,,limit,-60.3,2.1
60586.247917,g,21.109,,limit,,
60586.224630,r,18.621,0.051,negative,-129.0,2.3
60586.201354,g,19.484,0.071,negative,-58.6,2.3
60586.177975,r,20.521,,limit,,
60586.162523,g,20.548,,limit,-61.2,3.4
60586.158796,r,18.665,0.049,negative,-123.8,2.9
60585.501146,r,20.026,,limit,,
60585.469317,r,18.664,0.044,negative,,
60585.445752,g,20.723,,limit,-60.5,2.8
60585.422257,r,18.661,0.048,negative,-121.9,3.1
60585.398877,g,20.905,,limit,-53.7,2.4
60585.365799,g,21.176,,limit,,
60585.342488,r,18.720,0.034,negative,-119.9,1.7
60585.319225,g,19.588,0.057,negative,-54.0,1.8
60585.295949,r,18.736,0.040,negative,-118.7,1.8
60585.272685,g,21.223,,limit,-56.7,1.9
60585.249398,r,18.675,0.040,negative,-122.3,2.0
60585.226146,g,19.386,0.060,negative,-64.7,2.1
60585.211690,r,18.695,0.045,negative,-120.7,2.1
60582.401354,g,20.425,,limit,-59.6,3.6
60580.434549,r,20.107,,limit,-117.1,5.0
60578.356852,r,20.260,,limit,-125.1,4.0
60578.315220,g,20.293,,limit,-58.3,4.4
60577.398634,r,20.162,,limit,-115.3,4.9
60577.356088,g,19.886,,limit,-53.2,6.1
60576.384213,r,20.068,,limit,-119.7,4.8
60576.369849,g,19.933,,limit,-67.0,5.6
60575.336076,r,19.816,,limit,-121.0,5.6
60575.298044,g,19.743,,limit,-51.1,6.7
60569.335579,r,19.490,,limit,-121.8,8.2
60569.294225,g,19.177,,limit,-69.5,10.7
60566.402442,g,20.149,,limit,-58.2,5.3
60566.395776,r,19.920,,limit,-130.9,5.8
60564.379722,g,20.476,,limit,-60.8,4.4
60564.358970,r,20.377,,limit,-132.6,4.4
60561.419491,r,19.675,,limit,-130.6,6.6
60561.398125,g,19.565,,limit,-51.6,8.1
60559.356539,g,20.248,,limit,-55.3,5.1
60557.420336,r,20.344,,limit,-122.0,4.1
60557.377523,g,20.536,,limit,-53.1,3.7
60555.472060,g,20.184,,limit,-64.1,4.9
60555.421030,r,20.218,,limit,-121.9,4.7
60291.182720,g,19.546,0.162,negative,,
60291.145035,r,20.058,,limit,-118.7,4.8
60289.172893,g,18.975,,limit,,
60289.127847,r,19.316,,limit,-138.3,10.2
60287.162234,r,19.854,,limit,-111.9,6.8
60287.127014,g,19.990,,limit,-61.6,5.5
60268.241181,g,19.580,,limit,-47.8,8.1
60268.168518,r,19.226,,limit,,
60262.258403,r,20.279,,limit,-122.4,4.6
60262.223380,g,20.327,,limit,-55.5,4.2
60251.221644,g,19.332,0.175,negative,,
60251.189595,r,20.143,,limit,-122.0,5.5
60249.294873,g,19.178,,limit,-60.5,9.5
60249.227141,r,19.585,,limit,-123.1,7.2
60247.133044,r,18.251,,limit,,
60247.110023,g,18.290,,limit,,
60245.361169,g,18.537,,limit,,
60245.210405,r,18.752,0.144,negative,-111.9,11.6
60241.360718,g,19.309,,limit,-63.0,9.1
60238.340776,r,20.300,,limit,-125.3,4.0
60238.268843,g,20.502,,limit,-62.1,3.6
60236.316840,r,20.208,,limit,-111.1,4.5
60236.279120,g,20.244,,limit,-59.3,4.6
60234.249815,r,20.176,,limit,-115.8,4.3
60234.210486,g,19.467,0.122,negative,-60.6,4.4
60232.295926,r,20.186,,limit,-124.9,5.1
60232.210903,g,19.392,0.186,negative,-62.3,4.7
60230.320880,g,19.299,0.133,negative,-68.2,4.6
60230.273947,r,20.156,,limit,-132.6,5.4
60227.277778,r,20.000,,limit,-113.5,5.2
60227.247870,g,19.714,,limit,-56.2,6.7
60224.377269,r,19.868,,limit,-115.6,6.3
60224.308183,g,20.225,,limit,-56.5,4.9
60222.422755,g,19.250,,limit,-61.1,10.1
60222.322465,r,18.671,0.088,negative,-112.5,7.9
60222.322465,r,18.671,0.088,negative,-112.5,7.9
60220.377002,g,19.492,,limit,-43.2,7.9
60220.336956,r,19.708,,limit,-121.8,6.9
60214.357674,g,19.252,,limit,,
60214.294525,r,19.584,,limit,,
60212.355949,r,20.135,,limit,,
60209.365683,g,20.186,,limit,,
60209.298785,r,18.661,,limit,,
60206.440590,r,20.370,,limit,,
60206.394757,g,19.480,0.114,negative,,
60204.454977,g,20.826,,limit,,
60204.411944,r,20.587,,limit,,
60202.406470,g,20.530,,limit,,
60202.317500,r,20.265,,limit,,
60200.398912,r,20.372,,limit,,
60200.378762,g,19.609,0.162,negative,,
60196.406204,g,19.459,0.155,negative,,
60196.356296,r,20.295,,limit,,
60194.405984,g,19.642,0.158,negative,,
60194.357407,r,20.340,,limit,,
60192.422998,r,20.186,,limit,,
60192.395012,g,19.461,0.141,negative,,
60186.441979,g,19.085,,limit,,
60186.397384,r,19.290,,limit,,
60184.399988,g,19.763,,limit,,
60184.355741,r,19.689,,limit,,
60182.445012,r,20.057,,limit,,
60182.397593,g,20.158,,limit,,
60173.462558,g,20.383,,limit,,
60173.442500,r,20.375,,limit,,
60170.441435,g,19.360,0.134,negative,,
60170.431759,r,20.236,,limit,,
60168.458623,r,20.356,,limit,,
60168.413750,g,20.615,,limit,,
60163.417419,r,19.861,,limit,,
60160.397257,g,19.191,,limit,,
60156.378310,r,19.376,,limit,,
60153.459051,r,20.346,,limit,,
60149.455787,g,20.527,,limit,,
60149.428368,r,20.180,,limit,,
60146.399919,r,20.044,,limit,,
60144.438599,g,19.479,0.136,negative,,
60141.466053,g,19.459,0.178,negative,,
60141.423819,r,20.015,,limit,,
60138.459190,r,20.138,,limit,,
60138.432523,g,19.449,0.176,negative,,
60136.425046,r,18.617,0.096,negative,,
59958.133183,r,18.636,0.105,negative,,
59958.120012,g,19.517,0.146,negative,,
59956.129896,r,18.620,0.122,negative,,
59951.159861,r,18.595,0.146,negative,,
59951.130532,g,19.086,,limit,,
59937.174595,r,18.751,0.071,negative,,
59935.187569,g,19.465,0.148,negative,,
59933.190949,g,19.438,0.175,negative,,
59930.212211,g,19.380,0.179,negative,,
59930.106331,r,18.653,0.090,negative,,
59928.149201,r,19.770,,limit,,
59928.134757,g,19.652,,limit,,
59922.187789,r,18.723,0.090,negative,,
59922.152303,g,19.357,0.221,negative,,
59913.168113,r,18.724,0.122,negative,,
59910.211701,g,19.392,0.143,negative,,
59910.171678,r,18.667,0.091,negative,,
59908.168009,r,19.624,,limit,,
59906.232049,r,18.588,0.092,negative,,
59906.189398,g,19.173,,limit,,
59904.190174,r,18.669,0.112,negative,,
59904.169792,g,19.529,0.175,negative,,
59902.190718,r,18.618,0.083,negative,,
