MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
59064.294907,r,17.757,0.100,positive,,
59064.273518,r,17.690,0.077,positive,,
59064.190440,g,18.511,0.131,positive,,
59051.242326,r,17.457,0.061,positive,,
59051.189745,r,17.447,0.039,positive,,
59051.168090,g,18.124,0.060,positive,,
59048.253044,g,18.030,0.053,positive,,
59048.189745,r,17.404,0.049,positive,,
59048.188785,r,17.402,0.048,positive,,
59045.263380,g,18.066,0.053,positive,,
59045.227894,r,17.346,0.053,positive,,
59045.190625,r,17.346,0.038,positive,,
59042.299410,g,17.960,0.059,positive,,
59042.211111,r,17.334,0.043,positive,,
59042.194664,g,18.018,0.064,positive,,
59039.232778,r,17.224,0.041,positive,,
59039.193518,g,17.953,0.063,positive,,
59039.193044,g,17.964,0.051,positive,,
59036.274826,r,17.233,0.061,positive,,
59036.274363,r,17.183,0.038,positive,,
59036.215220,g,17.931,0.060,positive,,
59036.214745,g,17.899,0.063,positive,,
59033.209560,g,17.895,0.086,positive,,
59033.189919,g,17.900,0.072,positive,,
59028.210741,r,16.989,0.035,positive,,
59028.199224,g,17.761,0.058,positive,,
59027.289641,r,16.967,0.061,positive,,
59027.225718,g,17.746,0.045,positive,,
59025.229919,g,17.703,0.062,positive,,
59024.292002,g,17.590,0.045,positive,,
59024.244792,r,17.009,0.043,positive,,
59022.230266,r,16.764,0.031,positive,,
59022.198924,g,17.624,0.049,positive,,
59019.252350,g,17.642,0.048,positive,,
59019.231227,r,16.732,0.030,positive,,
59018.336539,g,17.639,0.048,positive,,
59016.335428,g,17.610,0.048,positive,,
59015.315683,r,16.665,0.043,positive,,
59012.251620,r,16.596,0.027,positive,,
59012.250683,r,16.601,0.040,positive,,
59009.360336,r,16.530,0.034,positive,,
59009.272477,g,17.526,0.051,positive,,
59009.271539,g,17.548,0.051,positive,,
59001.273171,r,16.291,0.042,positive,,
59001.272708,r,16.299,0.034,positive,,
58998.295613,r,16.170,0.030,positive,,
58998.293218,r,16.165,0.036,positive,,
58995.314456,g,17.110,0.039,positive,,
58995.296111,g,17.081,0.038,positive,,
58995.291262,r,16.011,0.030,positive,,
58995.272755,r,16.004,0.037,positive,,
58992.312049,r,15.843,0.022,positive,,
58992.311111,r,15.823,0.034,positive,,
58986.379329,g,16.445,0.027,positive,,
58986.378391,g,16.461,0.039,positive,,
58986.311817,r,15.466,0.026,positive,,
58986.292813,r,15.453,0.034,positive,,
58981.332975,g,16.014,0.025,positive,,
58981.271539,r,15.184,0.027,positive,,
58979.277037,g,15.603,0.062,positive,,
58978.379595,g,15.777,0.044,positive,,
58978.294641,r,15.113,0.029,positive,,
58975.397674,r,15.118,0.027,positive,,
58975.293935,g,15.638,0.030,positive,,
58975.293472,g,15.661,0.022,positive,,
58972.442072,g,15.677,0.032,positive,,
58972.400671,r,15.227,0.026,positive,,
58972.378553,r,15.217,0.038,positive,,
58972.289375,g,15.684,0.028,positive,,
58966.421099,g,16.202,0.024,positive,,
58966.377674,r,15.870,0.045,positive,,
58966.376771,r,15.894,0.027,positive,,
58963.421979,g,16.889,0.029,positive,,
58963.420625,g,16.888,0.042,positive,,
58963.397998,g,16.906,0.036,positive,,
58963.377743,g,16.906,0.041,positive,,
58954.459350,r,19.931,,limit,,
58954.439290,r,19.762,,limit,,
58954.418340,g,20.035,,limit,,
58954.399290,g,20.162,,limit,,
58944.460000,g,19.662,,limit,,
58944.401820,r,19.499,,limit,,
58943.479580,r,20.067,,limit,,
58943.438160,g,19.898,,limit,,
58939.483040,r,15.993,,limit,,
58939.481240,r,16.347,,limit,,
58939.459260,g,18.496,,limit,,
