MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
60411.394815,r,19.730,0.081,negative,,
60411.323692,g,21.442,,limit,,
60411.302141,r,21.292,,limit,,
60410.347072,r,21.250,,limit,-1.1,1.7
60410.272361,g,21.433,,limit,,
60410.209456,r,19.765,0.056,negative,,
60409.362859,r,19.672,0.073,negative,-49.5,2.4
60409.362859,r,20.785,,limit,-49.5,2.4
60409.232037,g,21.159,,limit,-1.4,1.9
60409.172373,r,20.971,,limit,-2.9,2.2
60407.322037,g,20.372,,limit,-1.7,3.7
60407.265845,r,20.478,,limit,-6.3,3.5
60403.337153,g,20.280,,limit,0.3,4.1
60403.263982,r,20.452,,limit,2.9,3.7
60397.413310,r,19.509,,limit,2.6,7.7
60397.315787,g,19.492,,limit,-5.3,7.3
60392.405764,g,18.927,,limit,7.7,12.6
60390.402824,g,19.639,,limit,-2.9,6.5
60390.359248,r,19.902,,limit,-5.7,5.3
60388.373299,r,19.827,,limit,4.9,5.4
60388.330984,g,19.965,,limit,2.9,5.3
59321.298449,r,20.595,0.213,positive,,
59321.270938,g,20.857,,limit,,
59317.330833,r,20.479,0.236,positive,,
59317.252407,g,20.947,,limit,,
59315.276343,g,18.719,,limit,,
59313.298414,r,19.928,,limit,,
59313.255648,g,20.539,,limit,,
59311.312269,r,20.547,0.189,positive,,
59311.233507,g,20.334,,limit,,
59309.309155,g,20.499,0.291,positive,,
59309.277326,r,20.310,0.241,positive,,
59307.297234,g,20.650,,limit,,
59307.253958,r,20.250,0.205,positive,,
59305.277130,g,18.598,,limit,,
59303.358900,g,19.078,,limit,,
59298.378507,r,19.344,,limit,,
59298.333750,g,19.217,,limit,,
59296.357743,r,19.709,,limit,,
59293.294838,g,20.392,0.233,positive,,
59293.253831,r,20.320,0.237,positive,,
59291.350417,r,20.113,0.151,positive,,
59291.289120,g,20.454,,limit,,
59281.287836,r,19.807,0.168,positive,,
59278.424537,r,19.666,0.151,positive,,
59278.316667,g,20.009,0.186,positive,,
59275.443368,g,19.215,,limit,,
59275.383276,r,19.428,,limit,,
59272.441898,r,19.325,0.258,positive,,
59272.441898,r,18.887,,limit,,
59272.406678,g,18.758,,limit,,
59270.400382,g,19.442,,limit,,
59270.354850,r,19.788,0.310,positive,,
59268.436042,g,19.957,0.207,positive,,
59268.351586,r,19.615,0.163,positive,,
59266.360185,r,19.626,0.220,positive,,
59264.373391,r,19.505,0.104,positive,,
59262.416840,g,19.692,0.247,positive,,
59262.361146,r,19.549,0.121,positive,,
59257.379051,g,19.645,0.186,positive,,
59255.416030,r,19.424,0.106,positive,,
59255.377894,g,20.955,,limit,,
59253.487025,r,19.289,0.104,positive,,
59253.379039,g,19.881,0.211,positive,,
59251.461863,r,19.311,0.096,positive,,
59249.436389,g,19.778,0.331,positive,,
59249.412940,r,19.233,0.157,positive,,
59234.449220,g,19.843,,limit,,
59231.482581,r,18.914,0.083,positive,,
59231.458692,g,19.495,0.112,positive,,
59229.467370,g,19.588,,limit,,
59229.433380,r,18.773,0.128,positive,,
59227.462257,g,19.393,0.109,positive,,
59227.378970,r,18.813,0.077,positive,,
59225.503940,r,18.264,,limit,,
59225.465023,g,19.311,0.143,positive,,
59223.467986,r,18.792,0.112,positive,,
59223.399688,g,19.245,0.129,positive,,
59221.473403,g,19.179,0.150,positive,,
59221.443808,r,18.667,0.097,positive,,
59216.535690,g,19.135,,limit,,
59216.515093,r,18.620,0.124,positive,,
59203.540521,g,19.128,0.116,positive,,
59203.499109,r,18.505,0.091,positive,,
59200.525486,r,18.341,0.120,positive,,
59200.448437,g,18.939,0.224,positive,,
59198.525880,g,19.072,0.117,positive,,
59198.484711,r,18.326,0.081,positive,,
59194.549051,g,19.131,0.099,positive,,
59194.516100,r,18.281,0.070,positive,,
59188.541979,g,18.891,0.125,positive,,
59188.510718,r,18.178,0.080,positive,,
59186.542590,g,18.719,,limit,,
59184.506690,r,18.133,0.074,positive,,
59180.561343,r,17.976,0.122,positive,,
59180.503507,g,19.201,0.242,positive,,
59176.561586,r,17.936,0.078,positive,,
59176.516424,g,18.927,0.110,positive,,
59175.502130,r,17.504,,limit,,
59037.212130,g,16.271,0.041,positive,,
59033.197928,g,15.870,0.025,positive,,
59033.176169,r,14.978,0.023,positive,,
59023.214410,g,15.445,0.024,positive,,
59020.236389,r,14.713,0.039,positive,,
59020.197789,g,15.379,0.030,positive,,
59017.235255,r,14.684,0.025,positive,,
59014.199873,g,15.282,0.022,positive,,
59009.231481,g,15.168,0.022,positive,,
59005.186759,g,15.128,0.026,positive,,
58998.225162,r,14.562,0.028,positive,,
58998.192720,g,14.939,0.028,positive,,
58995.229421,r,14.555,0.022,positive,,
58995.201470,g,14.842,0.023,positive,,
58992.234271,r,14.497,0.025,positive,,
58992.193218,g,14.735,0.020,positive,,
58986.255556,r,14.547,0.030,positive,,
58986.192014,g,14.617,0.023,positive,,
58981.249120,r,14.448,0.033,positive,,
58981.199271,g,14.439,0.020,positive,,
58978.247882,r,14.640,0.036,positive,,
58978.192049,g,14.520,0.027,positive,,
58975.250197,g,15.399,0.030,positive,,
58975.202558,r,16.015,0.036,positive,,
58971.275130,g,19.696,,limit,,
58971.210560,r,19.746,,limit,,
58968.272370,g,20.474,,limit,,
58968.204130,r,20.519,,limit,,
58967.249400,g,20.487,,limit,,
58965.287590,r,20.575,,limit,,
58965.230470,g,20.656,,limit,,
58962.278940,r,20.408,,limit,,
58962.230680,g,20.658,,limit,,
58955.296030,g,20.401,,limit,,
58955.252550,r,20.431,,limit,,
