MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
59951.428692,r,19.163,0.187,positive,,
59936.457211,g,20.673,,limit,,
59936.430116,r,20.828,,limit,,
59934.525185,g,20.150,,limit,,
59934.426030,r,20.319,,limit,,
59932.471632,r,20.468,,limit,,
59932.456019,g,20.785,,limit,,
59928.527558,g,19.813,,limit,,
59928.478692,r,19.169,0.104,positive,,
59922.448831,r,19.026,0.106,positive,,
59922.428924,g,19.451,,limit,,
59913.466852,r,20.372,,limit,,
59913.349155,g,20.107,,limit,,
59909.468229,g,20.595,,limit,,
59909.454224,r,20.579,,limit,,
59906.456354,r,20.480,,limit,,
59906.344502,g,20.092,,limit,,
59904.487396,r,18.976,0.104,positive,,
59904.422245,g,20.105,,limit,,
59902.511273,r,18.919,0.160,positive,,
59902.470625,g,19.974,,limit,,
59900.507083,r,18.898,0.134,positive,,
59900.463044,g,19.581,,limit,,
59896.426169,r,19.034,0.198,positive,,
59889.523704,r,20.522,,limit,,
59889.490810,g,19.851,,limit,,
59887.474375,r,18.936,0.089,positive,,
59882.513646,g,19.983,,limit,,
59882.489074,r,18.675,0.116,positive,,
59880.494514,r,18.729,0.088,positive,,
59880.428356,g,19.812,,limit,,
59877.424502,g,20.059,,limit,,
59873.487651,r,18.779,0.111,positive,,
59869.504884,r,20.139,,limit,,
59865.512755,r,19.963,,limit,,
59865.465451,g,19.456,,limit,,
59862.498472,r,18.787,0.141,positive,,
59859.536771,r,18.583,0.121,positive,,
59859.471852,g,19.926,,limit,,
59854.529792,r,19.640,,limit,,
59854.525405,r,20.098,,limit,,
59854.521018,r,20.257,,limit,,
59854.516632,r,20.315,,limit,,
59854.512257,r,20.275,,limit,,
59853.520544,r,17.986,0.069,positive,,
59853.518056,r,17.918,0.052,positive,,
59853.515567,r,17.998,0.054,positive,,
59853.513090,r,17.941,0.063,positive,,
59853.510602,r,17.946,0.049,positive,,
59852.518472,r,17.902,0.070,positive,,
59852.515926,r,17.854,0.044,positive,,
59852.513391,r,17.816,0.062,positive,,
59852.510845,r,17.858,0.059,positive,,
59852.508299,r,17.903,0.047,positive,,
59851.519502,r,17.809,0.061,positive,,
59851.516968,r,17.759,0.051,positive,,
59851.514421,r,17.756,0.046,positive,,
59851.511875,r,17.815,0.057,positive,,
59851.509340,r,17.802,0.060,positive,,
59850.517801,r,17.755,0.053,positive,,
59850.515220,r,17.704,0.054,positive,,
59850.512685,r,17.693,0.048,positive,,
59850.510139,r,17.774,0.068,positive,,
59850.507581,r,17.728,0.060,positive,,
59849.517153,r,17.716,0.044,positive,,
59849.514699,r,17.646,0.064,positive,,
59849.512257,r,17.638,0.053,positive,,
59849.509815,r,17.663,0.059,positive,,
59849.507373,r,17.679,0.071,positive,,
59848.518322,r,17.628,0.056,positive,,
59848.515868,r,17.608,0.062,positive,,
59848.513403,r,17.570,0.053,positive,,
59848.510937,r,17.654,0.070,positive,,
59848.508484,r,17.642,0.061,positive,,
59843.527836,r,17.447,0.067,positive,,
59843.525417,r,17.482,0.061,positive,,
59843.522998,r,17.480,0.045,positive,,
59843.520579,r,17.470,0.059,positive,,
59843.518171,r,17.472,0.059,positive,,
59842.527349,r,17.500,0.062,positive,,
59842.524988,r,17.451,0.053,positive,,
59842.522616,r,17.459,0.063,positive,,
59842.520243,r,17.515,0.059,positive,,
59842.517882,r,17.476,0.067,positive,,
59841.527118,g,18.847,,limit,,
59841.524676,g,19.256,0.240,positive,,
59841.522234,g,19.281,,limit,,
59841.519792,g,19.460,,limit,,
59841.517350,g,19.222,0.153,positive,,
59840.526238,g,18.715,,limit,,
59840.523808,g,18.943,,limit,,
59840.521366,g,19.085,0.202,positive,,
59840.518924,g,19.244,,limit,,
59840.516482,g,19.222,0.264,positive,,
59839.525857,g,18.750,,limit,,
59839.523403,g,19.075,0.226,positive,,
59839.520972,g,19.183,0.238,positive,,
59839.518542,g,19.483,0.232,positive,,
59839.516100,g,19.324,0.222,positive,,
