MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
60031.261644,r,17.181,0.044,positive,,
60021.215069,r,16.249,0.048,positive,,
60017.214468,g,17.262,0.072,positive,,
60013.297199,g,17.208,0.065,positive,,
60013.246724,r,16.015,0.043,positive,,
59970.234086,r,15.589,0.039,positive,,
59965.360833,g,16.705,0.053,positive,,
59951.320417,r,15.423,0.034,positive,,
59936.445289,g,15.944,0.047,positive,,
59936.420150,r,15.258,0.037,positive,,
59934.523241,g,15.903,0.038,positive,,
59928.525613,g,15.677,0.041,positive,,
59928.477187,r,15.177,0.028,positive,,
59922.425093,g,15.445,0.030,positive,,
59913.429491,r,15.131,0.028,positive,,
59913.352002,g,15.259,0.027,positive,,
59909.464919,g,15.094,0.034,positive,,
59909.425810,r,15.054,0.027,positive,,
59906.443403,r,15.026,0.025,positive,,
59904.467708,r,15.011,0.034,positive,,
59902.507500,r,15.091,0.021,positive,,
59902.443993,g,14.961,0.032,positive,,
59900.484803,g,15.085,0.023,positive,,
59900.412072,r,15.269,0.030,positive,,
59897.482523,g,15.476,0.028,positive,,
59897.392801,r,15.765,0.026,positive,,
59893.475104,r,19.454,,limit,,
59893.426632,g,19.041,,limit,,
59888.403704,r,16.709,,limit,,
59883.448229,r,20.042,,limit,,
59881.497731,r,20.287,,limit,,
59881.465856,g,20.327,,limit,,
59878.455914,g,20.004,,limit,,
59876.508414,g,19.711,,limit,,
59876.497176,r,19.463,,limit,,
59873.482141,r,20.098,,limit,,
59867.462870,g,19.082,,limit,,
