MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
60586.434502,g,19.481,0.066,negative,-58.1,2.3
60586.387639,g,21.136,,limit,-56.4,2.0
60586.340984,g,19.499,0.056,negative,-58.1,2.0
60586.294456,g,21.174,,limit,-60.3,2.1
60586.247917,g,21.109,,limit,,
60586.201354,g,19.484,0.071,negative,-58.6,2.3
60586.162523,g,20.548,,limit,-61.2,3.4
60585.445752,g,20.723,,limit,-60.5,2.8
60585.398877,g,20.905,,limit,-53.7,2.4
60585.365799,g,21.176,,limit,,
60585.319225,g,19.588,0.057,negative,-54.0,1.8
60585.272685,g,21.223,,limit,-56.7,1.9
60585.226146,g,19.386,0.06,negative,-64.7,2.1
60582.401354,g,20.425,,limit,-59.6,3.6
60578.31522,g,20.293,,limit,-58.3,4.4
60577.356088,g,19.886,,limit,-53.2,6.1
60576.369849,g,19.933,,limit,-67.0,5.6
60575.298044,g,19.743,,limit,-51.1,6.7
60569.294225,g,19.177,,limit,-69.5,10.7
60566.402442,g,20.149,,limit,-58.2,5.3
60564.379722,g,20.476,,limit,-60.8,4.4
60561.398125,g,19.565,,limit,-51.6,8.1
60559.356539,g,20.248,,limit,-55.3,5.1
60557.377523,g,20.536,,limit,-53.1,3.7
60555.47206,g,20.184,,limit,-64.1,4.9
60291.18272,g,19.546,0.162,negative,,
60289.172893,g,18.975,,limit,,
60287.127014,g,19.99,,limit,-61.6,5.5
60268.241181,g,19.58,,limit,-47.8,8.1
60262.22338,g,20.327,,limit,-55.5,4.2
60251.221644,g,19.332,0.175,negative,,
60249.294873,g,19.178,,limit,-60.5,9.5
60247.110023,g,18.29,,limit,,
60245.361169,g,18.537,,limit,,
60241.360718,g,19.309,,limit,-63.0,9.1
60238.268843,g,20.502,,limit,-62.1,3.6
60236.27912,g,20.244,,limit,-59.3,4.6
60234.210486,g,19.467,0.122,negative,-60.6,4.4
60232.210903,g,19.392,0.186,negative,-62.3,4.7
60230.32088,g,19.299,0.133,negative,-68.2,4.6
60227.24787,g,19.714,,limit,-56.2,6.7
60224.308183,g,20.225,,limit,-56.5,4.9
60222.422755,g,19.25,,limit,-61.1,10.1
60220.377002,g,19.492,,limit,-43.2,7.9
60214.357674,g,19.252,,limit,,
60209.365683,g,20.186,,limit,,
60206.394757,g,19.48,0.114,negative,,
60204.454977,g,20.826,,limit,,
60202.40647,g,20.53,,limit,,
60200.378762,g,19.609,0.162,negative,,
60196.406204,g,19.459,0.155,negative,,
60194.405984,g,19.642,0.158,negative,,
60192.395012,g,19.461,0.141,negative,,
60186.441979,g,19.085,,limit,,
60184.399988,g,19.763,,limit,,
60182.397593,g,20.158,,limit,,
60173.462558,g,20.383,,limit,,
60170.441435,g,19.36,0.134,negative,,
60168.41375,g,20.615,,limit,,
60160.397257,g,19.191,,limit,,
60149.455787,g,20.527,,limit,,
60144.438599,g,19.479,0.136,negative,,
60141.466053,g,19.459,0.178,negative,,
60138.432523,g,19.449,0.176,negative,,
59958.120012,g,19.517,0.146,negative,,
59951.130532,g,19.086,,limit,,
59935.187569,g,19.465,0.148,negative,,
59933.190949,g,19.438,0.175,negative,,
59930.212211,g,19.38,0.179,negative,,
59928.134757,g,19.652,,limit,,
59922.152303,g,19.357,0.221,negative,,
