MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
60586.458044,r,18.655,0.048,negative,,
60586.41103,r,18.705,0.038,negative,-121.6,1.8
60586.364282,r,18.705,0.04,negative,-121.1,1.9
60586.317697,r,18.643,0.039,negative,-125.8,2.2
60586.22463,r,18.621,0.051,negative,-129.0,2.3
60586.177975,r,20.521,,limit,,
60586.158796,r,18.665,0.049,negative,-123.8,2.9
60585.501146,r,20.026,,limit,,
60585.469317,r,18.664,0.044,negative,,
60585.422257,r,18.661,0.048,negative,-121.9,3.1
60585.342488,r,18.72,0.034,negative,-119.9,1.7
60585.295949,r,18.736,0.04,negative,-118.7,1.8
60585.249398,r,18.675,0.04,negative,-122.3,2.0
60585.21169,r,18.695,0.045,negative,-120.7,2.1
60580.434549,r,20.107,,limit,-117.1,5.0
60578.356852,r,20.26,,limit,-125.1,4.0
60577.398634,r,20.162,,limit,-115.3,4.9
60576.384213,r,20.068,,limit,-119.7,4.8
60575.336076,r,19.816,,limit,-121.0,5.6
60569.335579,r,19.49,,limit,-121.8,8.2
60566.395776,r,19.92,,limit,-130.9,5.8
60564.35897,r,20.377,,limit,-132.6,4.4
60561.419491,r,19.675,,limit,-130.6,6.6
60557.420336,r,20.344,,limit,-122.0,4.1
60555.42103,r,20.218,,limit,-121.9,4.7
60291.145035,r,20.058,,limit,-118.7,4.8
60289.127847,r,19.316,,limit,-138.3,10.2
60287.162234,r,19.854,,limit,-111.9,6.8
60268.168518,r,19.226,,limit,,
60262.258403,r,20.279,,limit,-122.4,4.6
60251.189595,r,20.143,,limit,-122.0,5.5
60249.227141,r,19.585,,limit,-123.1,7.2
60247.133044,r,18.251,,limit,,
60245.210405,r,18.752,0.144,negative,-111.9,11.6
60238.340776,r,20.3,,limit,-125.3,4.0
60236.31684,r,20.208,,limit,-111.1,4.5
60234.249815,r,20.176,,limit,-115.8,4.3
60232.295926,r,20.186,,limit,-124.9,5.1
60230.273947,r,20.156,,limit,-132.6,5.4
60227.277778,r,20.0,,limit,-113.5,5.2
60224.377269,r,19.868,,limit,-115.6,6.3
60222.322465,r,18.671,0.088,negative,-112.5,7.9
60222.322465,r,18.671,0.088,negative,-112.5,7.9
60220.336956,r,19.708,,limit,-121.8,6.9
60214.294525,r,19.584,,limit,,
60212.355949,r,20.135,,limit,,
60209.298785,r,18.661,,limit,,
60206.44059,r,20.37,,limit,,
60204.411944,r,20.587,,limit,,
60202.3175,r,20.265,,limit,,
60200.398912,r,20.372,,limit,,
60196.356296,r,20.295,,limit,,
60194.357407,r,20.34,,limit,,
60192.422998,r,20.186,,limit,,
60186.397384,r,19.29,,limit,,
60184.355741,r,19.689,,limit,,
60182.445012,r,20.057,,limit,,
60173.4425,r,20.375,,limit,,
60170.431759,r,20.236,,limit,,
60168.458623,r,20.356,,limit,,
60163.417419,r,19.861,,limit,,
60156.37831,r,19.376,,limit,,
60153.459051,r,20.346,,limit,,
60149.428368,r,20.18,,limit,,
60146.399919,r,20.044,,limit,,
60141.423819,r,20.015,,limit,,
60138.45919,r,20.138,,limit,,
60136.425046,r,18.617,0.096,negative,,
59958.133183,r,18.636,0.105,negative,,
59956.129896,r,18.62,0.122,negative,,
59951.159861,r,18.595,0.146,negative,,
59937.174595,r,18.751,0.071,negative,,
59930.106331,r,18.653,0.09,negative,,
59928.149201,r,19.77,,limit,,
59922.187789,r,18.723,0.09,negative,,
59913.168113,r,18.724,0.122,negative,,
59910.171678,r,18.667,0.091,negative,,
59908.168009,r,19.624,,limit,,
59906.232049,r,18.588,0.092,negative,,
59904.190174,r,18.669,0.112,negative,,
59902.190718,r,18.618,0.083,negative,,
59900.232558,r,19.481,,limit,,
59899.174456,r,19.325,,limit,,
59896.285752,r,18.608,0.099,negative,,
59894.273657,r,18.62,0.109,negative,,
59883.294329,r,18.617,0.094,negative,,
59881.273032,r,18.686,0.097,negative,,
59879.273206,r,20.197,,limit,,
59877.337188,r,18.699,0.083,negative,,
59874.272558,r,20.396,,limit,,
59872.358345,r,18.709,0.073,negative,,
59870.294803,r,20.243,,limit,,
59867.321563,r,18.522,0.095,negative,,
59865.328322,r,18.692,0.081,negative,,
59863.291123,r,18.547,0.126,negative,,
59855.382523,r,20.324,,limit,,
59852.315729,r,18.669,0.082,negative,,
59850.315417,r,20.335,,limit,,
59848.336968,r,20.257,,limit,,
59846.39956,r,20.308,,limit,,
59843.296285,r,20.373,,limit,,
59829.419398,r,18.65,0.088,negative,,
59824.394213,r,20.434,,limit,,
59822.473669,r,18.703,0.068,negative,,
59817.380185,r,20.237,,limit,,
59815.462732,r,20.315,,limit,,
59813.419954,r,19.909,,limit,,
59810.439664,r,20.063,,limit,,
59808.435532,r,19.867,,limit,,
59803.399699,r,18.651,0.131,negative,,
59798.440972,r,20.22,,limit,,
59795.440532,r,18.694,0.165,negative,,
59788.437431,r,20.317,,limit,,
59786.401736,r,20.328,,limit,,
59783.46919,r,20.411,,limit,,
59776.446481,r,18.692,0.097,negative,,
59776.414931,r,18.748,0.111,negative,,
59774.426713,r,18.695,0.099,negative,,
59765.453438,r,20.249,,limit,,
59538.237338,r,18.737,0.119,negative,,
59531.23184,r,18.615,0.075,negative,,
59529.19103,r,18.762,0.089,negative,,
59526.233426,r,18.724,0.072,negative,,
59524.24956,r,18.667,0.072,negative,,
59522.297292,r,18.694,0.064,negative,,
59520.252685,r,18.652,0.073,negative,,
59517.273877,r,18.755,0.055,negative,,
59511.276053,r,18.574,0.139,negative,,
59490.294062,r,19.953,,limit,,
59488.316817,r,18.665,0.073,negative,,
59485.358472,r,17.937,,limit,,
59480.450486,r,18.695,0.164,negative,,
59476.33625,r,18.694,0.116,negative,,
59474.293391,r,19.674,,limit,,
59471.423924,r,18.643,0.07,negative,,
59469.377697,r,18.656,0.069,negative,,
59467.376968,r,18.651,0.072,negative,,
59465.358993,r,18.785,0.073,negative,,
59463.385058,r,18.69,0.073,negative,,
59461.378518,r,18.663,0.078,negative,,
59459.391574,r,18.692,0.079,negative,,
59453.46559,r,18.682,0.103,negative,,
59442.422732,r,18.68,0.067,negative,,
59439.464699,r,18.664,0.088,negative,,
59436.460891,r,18.671,0.061,negative,,
59434.460776,r,18.698,0.064,negative,,
59429.460891,r,18.677,0.099,negative,,
59426.442245,r,18.752,0.088,negative,,
59419.441099,r,16.916,,limit,,
59414.461099,r,20.499,,limit,,
59410.436435,r,18.791,0.086,negative,,
59404.459676,r,18.747,0.111,negative,,
59401.459803,r,18.689,0.098,negative,,
59231.178472,r,18.495,0.081,negative,,
59229.133935,r,18.565,0.128,negative,,
59223.107535,r,18.699,0.092,negative,,
59220.102604,r,18.7,0.087,negative,,
59218.127639,r,18.64,0.094,negative,,
59216.218819,r,18.66,0.169,negative,,
59211.14834,r,19.44,,limit,,
59202.129375,r,18.686,0.083,negative,,
59199.145752,r,18.732,0.125,negative,,
59197.19009,r,17.462,,limit,,
59195.198692,r,18.666,0.081,negative,,
59193.228843,r,18.64,0.09,negative,,
59190.151181,r,18.654,0.083,negative,,
59184.260185,r,18.756,0.104,negative,,
59182.121308,r,18.64,0.11,negative,,
59180.2478,r,18.396,,limit,,
59176.14905,r,18.201,,limit,,
59174.122407,r,18.611,0.093,negative,,
59172.148252,r,18.693,0.085,negative,,
59169.303993,r,18.719,0.107,negative,,
59167.229028,r,18.698,0.093,negative,,
59165.211169,r,18.77,0.08,negative,,
59164.274838,r,18.659,0.113,negative,,
59158.227975,r,18.678,0.095,negative,,
59156.2764,r,18.682,0.08,negative,,
59155.265856,r,18.762,0.11,negative,,
59153.328356,r,18.584,0.107,negative,,
59149.2102,r,18.755,,limit,,
59146.274005,r,18.765,0.161,negative,,
59144.230833,r,18.645,0.08,negative,,
59140.269468,r,18.701,0.071,negative,,
59138.295625,r,18.69,0.077,negative,,
59136.310914,r,18.672,0.081,negative,,
59134.316192,r,18.737,0.105,negative,,
59130.274086,r,18.735,0.069,negative,,
59128.254931,r,18.667,0.107,negative,,
59126.317118,r,18.778,0.117,negative,,
59118.328854,r,18.711,0.08,negative,,
59118.301377,r,18.651,0.082,negative,,
59117.352338,r,18.666,0.074,negative,,
59116.416366,r,18.718,0.067,negative,,
59116.335127,r,18.75,0.066,negative,,
59115.336516,r,18.697,0.088,negative,,
59114.30772,r,20.217,,limit,,
59113.350127,r,18.652,0.073,negative,,
59113.341782,r,18.739,0.073,negative,,
59110.35765,r,18.704,0.08,negative,,
59107.309699,r,18.671,0.099,negative,,
59099.336215,r,18.591,0.106,negative,,
59088.396759,r,18.727,0.116,negative,,
59081.417974,r,18.648,0.074,negative,,
59076.41765,r,18.696,0.089,negative,,
59073.457523,r,18.692,0.072,negative,,
