,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
1,60434.331528,g,20.649,,limit,-9.0,3.0
2,60431.328993,g,20.71,,limit,-8.9,2.8
5,60429.295891,g,20.546,,limit,-5.6,3.0
7,60423.288831,g,18.979,,limit,-0.3,10.4
9,60421.349213,g,19.203,,limit,7.8,9.3
10,60419.319039,g,19.833,,limit,1.2,5.7
12,60417.401794,g,20.103,,limit,-11.9,4.4
15,60413.337801,g,20.541,,limit,-3.6,3.4
16,60408.320856,g,20.338,,limit,-14.4,3.6
17,60404.397813,g,20.451,,limit,-12.7,3.9
20,60138.212361,g,20.052,,limit,,
23,60136.196262,g,20.487,,limit,,
24,60134.23478,g,20.496,,limit,,
27,60128.280544,g,18.919,,limit,,
28,60126.194282,g,19.201,,limit,,
29,60124.254074,g,19.409,,limit,,
31,60122.309699,g,19.307,,limit,,
33,60120.274583,g,20.19,,limit,,
35,60118.248461,g,20.23,,limit,,
37,60116.206053,g,20.423,,limit,,
38,60114.26978,g,20.444,,limit,,
41,60112.22934,g,20.303,,limit,,
43,60104.252627,g,20.524,,limit,,
46,60100.197002,g,19.565,,limit,,
48,60094.380868,g,19.687,,limit,,
51,60092.333692,g,20.103,,limit,,
53,60090.291991,g,20.231,,limit,,
55,60088.311597,g,20.789,,limit,,
57,60086.277211,g,20.583,,limit,,
58,60084.337998,g,20.297,,limit,,
61,60082.252616,g,20.112,,limit,,
62,60080.272963,g,20.386,,limit,,
63,60078.329641,g,20.597,,limit,,
65,60076.413495,g,20.153,,limit,,
69,60064.263009,g,19.65,,limit,,
70,60062.41978,g,20.571,,limit,,
72,60060.408484,g,20.325,,limit,,
75,60058.332407,g,20.566,,limit,,
76,60056.436898,g,20.306,,limit,,
80,59748.252049,g,20.508,,limit,,
81,59744.243137,g,18.881,,limit,,
82,59742.340393,g,18.829,,limit,,
84,59739.190127,g,19.801,,limit,,
86,59737.191204,g,20.277,,limit,,
87,59735.273889,g,20.562,,limit,,
90,59731.318183,g,20.25,,limit,,
91,59729.375208,g,20.031,,limit,,
93,59726.316273,g,20.612,,limit,,
94,59724.316956,g,20.509,,limit,,
96,59722.400289,g,20.035,,limit,,
97,59722.315139,g,20.521,,limit,,
100,59701.380035,g,20.196,,limit,,
101,59701.316435,g,20.519,,limit,,
102,59699.441944,g,20.321,,limit,,
105,59697.285602,g,20.656,,limit,,
106,59695.370301,g,20.536,,limit,,
107,59693.419826,g,20.123,,limit,,
110,59684.299664,g,19.005,,limit,,
111,59682.394907,g,19.449,,limit,,
114,59679.31478,g,20.178,,limit,,
117,59391.213403,g,19.77,,limit,,
118,59387.294005,g,18.801,,limit,,
120,59383.256748,g,19.511,,limit,,
122,59381.297917,g,19.444,,limit,,
125,59376.250231,g,20.539,,limit,,
126,59374.232407,g,20.278,,limit,,
129,59370.246088,g,20.584,,limit,,
131,59366.275185,g,20.455,,limit,,
135,59362.208194,g,20.031,,limit,,
136,59359.291319,g,18.847,,limit,,
138,59354.348333,g,19.986,,limit,,
141,59345.362049,g,20.561,,limit,,
144,59343.274583,g,20.654,,limit,,
146,59338.397998,g,20.289,,limit,,
149,59329.336331,g,19.176,,limit,,
151,59325.359606,g,20.194,,limit,,
153,59323.293125,g,20.158,,limit,,
155,59321.379803,g,20.721,,limit,,
157,59317.291331,g,20.808,,limit,,
159,59315.332801,g,19.305,,limit,,
160,59313.290324,g,20.118,,limit,,
161,59311.359606,g,20.567,,limit,,
164,59309.337917,g,20.59,,limit,,
165,59307.379352,g,20.086,,limit,,
167,59304.413553,g,18.675,,limit,,
170,59302.337535,g,18.846,,limit,,
172,59300.373785,g,18.995,,limit,,
174,59297.353426,g,19.718,,limit,,
176,59292.434444,g,20.607,,limit,,
178,59290.421991,g,20.637,,limit,,
180,59278.339722,g,19.769,,limit,,
182,59273.399711,g,18.674,,limit,,
184,59271.42287,g,19.054,,limit,,
185,59269.457674,g,19.966,,limit,,
188,59267.380081,g,19.498,,limit,,
189,59265.420718,g,20.154,,limit,,
191,59263.520613,g,20.134,,limit,,
193,59250.46337,g,19.862,,limit,,
195,59231.54714,g,20.461,,limit,,
197,59228.51956,g,20.574,,limit,,
199,59225.49808,g,18.558,,limit,,
200,59223.52565,g,20.069,,limit,,
205,59012.19321,g,20.581,,limit,,
208,59001.37182,g,19.518,,limit,,
210,58998.33733,g,20.708,,limit,,
212,58995.30037,g,20.604,,limit,,
214,58991.29462,g,20.569,,limit,,
218,58887.45973,g,19.43,,limit,,
220,58884.41933,g,18.858,,limit,,
222,58881.5037,g,20.53,,limit,,
223,58878.52368,g,20.201,,limit,,
224,58875.50001,g,20.4,,limit,,
226,58872.44255,g,20.078,,limit,,
228,58861.49891,g,19.052,,limit,,
231,58682.16741,g,19.844,,limit,,
232,58679.27971,g,18.942,,limit,,
234,58676.29432,g,19.039,,limit,,
236,58668.20767,g,20.762,,limit,,
239,58665.19198,g,20.722,,limit,,
240,58661.21319,g,20.577,,limit,,
243,58655.23288,g,20.555,,limit,,
247,58639.23175,g,20.791,,limit,,
248,58636.27446,g,20.946,,limit,,
251,58633.25237,g,20.699,,limit,,
253,58619.27181,g,18.819,,limit,,
255,58616.23299,g,19.828,,limit,,
256,58612.27208,g,20.975,,limit,,
260,58597.29576,g,20.377,,limit,,
261,58594.27366,g,18.93,,limit,,
263,58591.25082,g,19.011,,limit,,
265,58588.31208,g,18.621,,limit,,
267,58584.28797,g,20.048,,limit,,
268,58581.31918,g,20.509,,limit,,
