,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
4,60429.357326,r,20.216,,limit,-37.5,4.4
6,60423.39963,r,19.13,,limit,-38.1,9.8
8,60421.383391,r,19.456,,limit,-36.9,8.2
11,60419.268704,r,19.858,,limit,-39.1,5.6
13,60417.359815,r,19.964,,limit,-45.1,4.8
14,60413.399514,r,20.468,,limit,-43.7,4.1
21,60138.194803,r,20.164,,limit,,
26,60128.294444,r,19.144,,limit,,
32,60122.266296,r,19.6,,limit,,
36,60118.213287,r,20.127,,limit,,
40,60112.254132,r,20.427,,limit,,
42,60109.333773,r,20.277,,limit,,
44,60102.20537,r,19.379,,limit,,
45,60100.23316,r,19.722,,limit,,
47,60098.350544,r,18.991,,limit,,
50,60092.430822,r,20.056,,limit,,
54,60088.37213,r,20.467,,limit,,
59,60084.279306,r,20.601,,limit,,
60,60082.353785,r,20.263,,limit,,
66,60076.335579,r,20.461,,limit,,
67,60067.364792,r,19.01,,limit,,
68,60064.334502,r,20.058,,limit,,
71,60062.376713,r,20.426,,limit,,
73,60060.333704,r,20.467,,limit,,
74,60058.383264,r,20.564,,limit,,
79,59748.319699,r,19.794,,limit,,
83,59739.251528,r,19.92,,limit,,
88,59735.269537,r,20.467,,limit,,
89,59733.232014,r,20.519,,limit,,
99,59707.297604,r,20.206,,limit,,
103,59699.335857,r,20.432,,limit,,
104,59697.357708,r,20.332,,limit,,
109,59684.378808,r,19.371,,limit,,
112,59682.337593,r,19.569,,limit,,
113,59679.359132,r,20.262,,limit,,
115,59677.397708,r,20.096,,limit,,
119,59387.235255,r,19.283,,limit,,
121,59383.228854,r,19.537,,limit,,
127,59372.31088,r,20.025,,limit,,
137,59359.234965,r,19.112,,limit,,
139,59354.274167,r,19.874,,limit,,
140,59350.27419,r,20.323,,limit,,
148,59335.31735,r,19.33,,limit,,
150,59329.291493,r,19.397,,limit,,
158,59315.352384,r,18.691,,limit,,
163,59309.378935,r,20.356,,limit,,
166,59307.357292,r,20.292,,limit,,
168,59304.378912,r,18.347,,limit,,
169,59302.419873,r,19.141,,limit,,
171,59300.416782,r,19.002,,limit,,
175,59295.388519,r,20.086,,limit,,
181,59273.460914,r,18.933,,limit,,
183,59271.45765,r,19.505,,limit,,
187,59267.421111,r,19.925,,limit,,
190,59265.358854,r,19.643,,limit,,
194,59250.42559,r,19.844,,limit,,
201,59223.49933,r,19.651,,limit,,
206,59009.21197,r,20.073,,limit,,
207,59005.26948,r,19.389,,limit,,
209,59001.23142,r,19.565,,limit,,
219,58884.55941,r,19.845,,limit,,
225,58872.56465,r,19.978,,limit,,
230,58682.2353,r,19.871,,limit,,
233,58679.21441,r,19.737,,limit,,
235,58671.20603,r,19.935,,limit,,
237,58668.17308,r,20.281,,limit,,
242,58658.23537,r,20.791,,limit,,
244,58655.19076,r,20.348,,limit,,
249,58636.22979,r,20.511,,limit,,
250,58633.29491,r,20.571,,limit,,
252,58619.31698,r,18.295,,limit,,
254,58616.3603,r,20.222,,limit,,
262,58591.37861,r,19.122,,limit,,
266,58584.39637,r,20.312,,limit,,
