,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
15,60576.358692,g,19.61,,limit,-49.1,6.7
17,60575.413669,g,19.528,,limit,-48.6,7.3
20,60571.359132,g,18.858,,limit,,
37,60543.378276,g,18.862,,limit,-39.1,12.6
43,60532.439201,g,20.639,,limit,-42.8,3.0
54,60326.257222,g,19.405,,limit,-53.4,8.1
56,60324.157211,g,19.825,,limit,-49.1,5.8
63,60305.170382,g,19.02,,limit,-36.9,11.6
71,60268.324236,g,19.666,,limit,,
75,60257.309468,g,19.5,,limit,,
79,60251.314769,g,19.803,,limit,-41.4,5.6
82,60249.302674,g,19.337,,limit,-37.7,8.1
83,60247.185116,g,17.926,,limit,,
84,60246.357188,g,18.663,,limit,,
86,60244.357569,g,19.155,,limit,-19.3,9.9
102,60221.402002,g,19.225,,limit,,
113,60203.418357,g,20.813,,limit,,
122,60187.48081,g,19.166,,limit,,
138,60159.442708,g,19.081,,limit,,
140,59991.13294,g,19.559,,limit,,
141,59984.19059,g,18.994,,limit,,
143,59982.112164,g,19.472,,limit,,
145,59980.097292,g,19.319,,limit,,
147,59978.128194,g,18.757,,limit,,
151,59970.15147,g,19.285,,limit,,
154,59967.172512,g,19.235,,limit,,
156,59958.265822,g,18.979,,limit,,
160,59951.190741,g,19.231,,limit,,
163,59933.305891,g,19.14,,limit,,
167,59924.192269,g,19.765,,limit,,
174,59905.274699,g,18.03,,limit,,
177,59903.253148,g,19.262,,limit,,
181,59899.251829,g,19.661,,limit,,
183,59897.253171,g,19.942,,limit,,
184,59895.289711,g,19.715,,limit,,
186,59893.403194,g,18.871,,limit,,
188,59888.253333,g,17.943,,limit,,
204,59864.398681,g,19.129,,limit,,
207,59862.378333,g,18.941,,limit,,
211,59856.279502,g,19.663,,limit,,
237,59810.399155,g,19.207,,limit,,
238,59808.477234,g,19.602,,limit,,
240,59806.462882,g,19.288,,limit,,
242,59803.46265,g,19.152,,limit,,
245,59801.403831,g,19.169,,limit,,
248,59795.424954,g,18.117,,limit,,
251,59625.172766,g,18.871,,limit,,
256,59537.277257,g,18.461,,limit,,
261,59527.29809,g,20.455,,limit,,
272,59505.225521,g,18.876,,limit,,
274,59503.336157,g,19.436,,limit,,
275,59498.409352,g,20.167,,limit,,
276,59494.35831,g,20.154,,limit,,
284,59477.33794,g,19.066,,limit,,
291,59467.456088,g,20.464,,limit,,
302,59444.43963,g,20.132,,limit,,
303,59442.466528,g,20.491,,limit,,
305,59439.442384,g,20.036,,limit,,
306,59436.440752,g,20.377,,limit,,
309,59429.44294,g,20.126,,limit,,
325,59228.1703,g,19.734,,limit,,
327,59226.19196,g,19.652,,limit,,
337,59216.18622,g,19.225,,limit,,
341,59206.18269,g,16.91,,limit,,
342,59204.23005,g,19.947,,limit,,
352,59193.19635,g,19.339,,limit,,
353,59191.23032,g,16.879,,limit,,
357,59184.21149,g,19.068,,limit,,
359,59182.22874,g,19.163,,limit,,
361,59180.21169,g,18.21,,limit,,
365,59176.25749,g,19.611,,limit,,
366,59174.25594,g,19.844,,limit,,
371,59167.36498,g,19.399,,limit,,
375,59158.28406,g,19.569,,limit,,
378,59155.21547,g,19.12,,limit,,
380,59153.24523,g,18.845,,limit,,
382,59151.3158,g,19.191,,limit,,
394,59138.37444,g,20.309,,limit,,
403,59128.36125,g,18.979,,limit,,
404,59126.45678,g,19.066,,limit,,
406,59124.48253,g,18.705,,limit,,
409,59122.4042,g,19.271,,limit,,
410,59121.38228,g,19.434,,limit,,
419,59099.39943,g,19.014,,limit,,
422,59095.33758,g,18.421,,limit,,
430,59064.46315,g,18.975,,limit,,
438,58884.09757,g,18.583,,limit,,
448,58859.10595,g,19.241,,limit,,
450,58854.0995,g,18.863,,limit,,
456,58833.17459,g,19.986,,limit,,
462,58803.22942,g,19.037,,limit,,
467,58787.35684,g,19.256,,limit,,
468,58784.39948,g,19.263,,limit,,
474,58772.33499,g,18.669,,limit,,
475,58769.48355,g,18.51,,limit,,
489,58744.48307,g,18.955,,limit,,
493,58738.44031,g,19.536,,limit,,
503,58714.50183,g,19.517,,limit,,
509,58698.46103,g,20.498,,limit,,
527,58481.2676,g,19.764,,limit,,
529,58475.10642,g,19.173,,limit,,
531,58472.19638,g,19.315,,limit,,
533,58469.16784,g,19.527,,limit,,
534,58466.27561,g,17.929,,limit,,
543,58431.23748,g,19.532,,limit,,
