,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
2,60596.352419,r,20.218,,limit,-92.4,4.1
7,60583.418449,r,20.509,,limit,-89.5,3.2
9,60580.440255,r,20.244,,limit,-88.3,4.2
11,60577.428437,r,20.247,,limit,-87.6,4.1
12,60577.325069,r,19.532,,limit,-12.6,7.3
13,60576.443692,r,19.626,,limit,-9.0,6.4
14,60576.4289,r,20.123,,limit,-93.5,4.4
16,60575.450787,r,19.639,,limit,-87.3,6.4
18,60575.391296,r,19.496,,limit,-11.2,7.7
22,60565.442685,r,20.608,,limit,-90.0,3.0
24,60562.418171,r,20.278,,limit,-93.1,3.6
25,60559.398518,r,20.287,,limit,-94.7,3.8
26,60557.436875,r,20.501,,limit,-89.0,3.5
28,60555.437894,r,20.522,,limit,-91.3,3.1
30,60552.381088,r,20.511,,limit,-93.0,3.0
33,60548.402651,r,19.947,,limit,-89.6,4.8
36,60543.441088,r,19.508,,limit,-89.0,8.0
39,60538.398681,r,20.197,,limit,-80.1,4.1
40,60534.482338,r,20.544,,limit,-81.4,3.0
42,60533.399444,r,20.382,,limit,-84.7,3.3
44,60532.398333,r,20.282,,limit,-85.8,3.7
45,60530.44456,r,19.307,,limit,,
57,60324.129792,r,19.295,,limit,-82.5,9.2
61,60307.170521,r,20.017,,limit,-85.0,4.5
70,60268.365208,r,19.274,,limit,-92.2,9.3
78,60253.308819,r,20.28,,limit,-85.6,3.9
93,60235.307465,r,20.448,,limit,-92.0,3.5
128,60181.482604,r,20.321,,limit,,
132,60174.404653,r,20.106,,limit,,
142,59982.173796,r,18.714,,limit,,
146,59978.173276,r,17.567,,limit,,
175,59905.264965,r,17.306,,limit,,
180,59899.294537,r,19.129,,limit,,
187,59888.329468,r,18.062,,limit,,
239,59808.459421,r,19.635,,limit,,
281,59484.335232,r,20.046,,limit,,
300,59449.400301,r,18.424,,limit,,
316,59254.14978,r,20.329,,limit,,
326,59228.12928,r,18.715,,limit,,
332,59220.21404,r,19.871,,limit,,
338,59210.30426,r,19.326,,limit,,
340,59206.23339,r,17.429,,limit,,
348,59197.23269,r,19.455,,limit,,
358,59182.35874,r,19.137,,limit,,
360,59180.25037,r,18.524,,limit,,
385,59146.29611,r,16.413,,limit,,
402,59128.40225,r,19.109,,limit,,
449,58854.12721,r,19.155,,limit,,
452,58850.12627,r,18.229,,limit,,
457,58829.2331,r,15.965,,limit,,
458,58820.25537,r,16.12,,limit,,
470,58781.31554,r,18.816,,limit,,
471,58778.37464,r,19.677,,limit,,
473,58772.35704,r,18.343,,limit,,
504,58714.42059,r,19.498,,limit,,
528,58475.29348,r,19.337,,limit,,
532,58469.19282,r,19.035,,limit,,
535,58462.27269,r,18.982,,limit,,
536,58456.25406,r,20.345,,limit,,
538,58450.31475,r,16.293,,limit,,
