,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
1,60569.163669,g,19.026,,limit,-29.2,11.0
5,60558.164109,g,19.908,,limit,,
6,60556.205613,g,19.693,,limit,,
8,60554.223738,g,19.606,,limit,,
13,60534.22544,g,18.206,,limit,,
17,60532.213796,g,20.347,,limit,-20.1,4.0
24,60524.204595,g,20.429,,limit,-32.7,4.8
32,60513.235868,g,19.526,,limit,-24.2,8.5
34,60511.191875,g,19.587,,limit,-28.1,7.5
36,60509.226794,g,17.844,,limit,,
48,60486.247303,g,17.232,,limit,,
52,60482.233912,g,19.505,,limit,-29.7,7.6
54,60480.247118,g,19.668,,limit,-31.4,6.7
62,60470.248032,g,20.743,,limit,-30.9,3.5
66,60463.296076,g,20.654,,limit,-25.2,4.0
69,60459.33213,g,20.612,,limit,-33.5,3.8
73,60451.401308,g,19.412,,limit,-19.2,8.6
97,60424.421146,g,19.009,,limit,-37.7,12.2
99,60422.324664,g,19.442,,limit,-20.4,8.6
105,60416.338137,g,18.815,,limit,,
106,60408.466412,g,20.575,,limit,-31.7,3.4
111,60398.346956,g,19.528,,limit,,
112,60396.383009,g,19.312,,limit,,
114,60391.415336,g,19.748,,limit,-24.2,6.6
118,60368.464444,g,19.629,,limit,,
119,60363.537951,g,17.75,,limit,,
160,60185.159421,g,19.61,,limit,,
161,60183.228831,g,19.306,,limit,,
164,60181.193681,g,19.441,,limit,,
171,60170.246308,g,19.973,,limit,,
179,60155.239225,g,19.505,,limit,,
182,60150.215845,g,20.035,,limit,,
199,60127.208438,g,19.453,,limit,,
200,60125.29515,g,19.477,,limit,,
201,60123.25434,g,20.014,,limit,,
219,60100.213565,g,19.426,,limit,,
233,60080.291076,g,20.015,,limit,,
248,60053.360694,g,20.093,,limit,,
260,60021.363993,g,18.614,,limit,,
262,60016.443368,g,19.291,,limit,,
266,59987.505313,g,19.687,,limit,,
275,59957.540104,g,19.149,,limit,,
277,59951.491944,g,17.793,,limit,,
279,59936.507384,g,19.748,,limit,,
287,59807.257546,g,19.414,,limit,,
310,59771.316782,g,19.452,,limit,,
311,59771.254826,g,19.614,,limit,,
312,59769.332697,g,19.599,,limit,,
330,59749.276944,g,20.577,,limit,,
333,59742.339907,g,19.262,,limit,,
338,59738.225197,g,20.108,,limit,,
343,59732.274537,g,20.583,,limit,,
347,59727.341863,g,20.186,,limit,,
350,59725.299954,g,20.71,,limit,,
351,59723.359641,g,20.657,,limit,,
356,59714.305625,g,19.25,,limit,,
358,59712.273056,g,19.304,,limit,,
360,59710.302836,g,19.86,,limit,,
364,59702.3011,g,20.586,,limit,,
375,59687.429016,g,19.25,,limit,,
378,59683.300903,g,19.452,,limit,,
388,59673.350012,g,20.488,,limit,,
391,59639.425903,g,19.999,,limit,,
395,59630.443808,g,19.771,,limit,,
399,59625.385822,g,18.774,,limit,,
400,59623.52338,g,20.212,,limit,,
402,59600.44375,g,19.234,,limit,,
408,59454.171782,g,20.233,,limit,,
410,59450.215926,g,18.926,,limit,,
412,59443.183762,g,19.198,,limit,,
413,59441.212755,g,19.616,,limit,,
416,59439.177639,g,19.819,,limit,,
417,59436.246412,g,19.444,,limit,,
421,59427.269132,g,20.118,,limit,,
422,59425.226134,g,20.346,,limit,,
426,59419.215,g,18.979,,limit,,
427,59414.246308,g,19.445,,limit,,
432,59407.246759,g,20.333,,limit,,
436,59403.233565,g,20.372,,limit,,
447,59392.253368,g,19.949,,limit,,
449,59390.22831,g,19.638,,limit,,
450,59386.321308,g,19.375,,limit,,
455,59380.29162,g,18.873,,limit,,
