,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
4,60558.17434,r,19.527,,limit,,
131,60311.546424,r,20.07,,limit,,
143,60289.556319,r,17.039,,limit,,
145,60289.551146,r,16.529,,limit,,
146,60289.548553,r,16.996,,limit,,
152,60287.554826,r,18.783,,limit,,
153,60287.552361,r,18.799,,limit,,
154,60287.549884,r,19.009,,limit,,
177,60158.236829,r,16.262,,limit,,
273,59967.433553,r,18.885,,limit,,
423,59423.257847,r,15.68,,limit,,
460,59374.191157,r,20.274,,limit,,
575,59192.55716,r,16.506,,limit,,
582,59188.56579,r,18.732,,limit,,
733,58687.16698,r,17.524,,limit,,
