,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
2,60615.527604,g,20.187,,limit,-921.0,4.2
13,60463.218993,g,20.678,,limit,-914.1,2.7
15,60461.216968,g,20.525,,limit,-939.1,3.1
17,60459.224201,g,20.755,,limit,-975.3,2.7
19,60457.222789,g,20.705,,limit,-988.0,2.7
34,60438.203657,g,20.59,,limit,-918.2,3.0
39,60434.285359,g,20.851,,limit,-937.5,2.4
42,60431.30287,g,20.852,,limit,-950.4,2.5
43,60429.265799,g,20.635,,limit,-967.2,3.0
53,60408.330162,g,20.698,,limit,-966.6,2.9
55,60404.302998,g,20.834,,limit,-953.5,2.5
68,60356.471331,g,21.069,,limit,-950.4,2.1
70,60354.455544,g,20.815,,limit,-967.0,2.5
114,60086.242847,g,20.516,,limit,,
115,60086.221655,g,20.83,,limit,,
188,59908.475394,g,19.331,,limit,,
222,59722.248009,g,20.725,,limit,,
642,58467.48877,g,19.572,,limit,,
