,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
3,60615.486609,r,19.978,,limit,-0.4,5.3
5,60482.302627,r,19.432,,limit,-11.3,7.6
7,60480.305255,r,19.375,,limit,0.6,7.7
10,60475.243484,r,20.229,,limit,-0.4,4.3
12,60463.259734,r,20.45,,limit,0.2,3.6
14,60461.284086,r,20.329,,limit,0.1,3.7
16,60459.343727,r,20.186,,limit,-3.1,4.4
18,60457.321157,r,19.968,,limit,-8.1,5.4
20,60455.283565,r,19.669,,limit,1.3,6.4
21,60451.305208,r,19.625,,limit,-6.4,6.0
22,60449.349259,r,19.597,,limit,-0.5,6.8
24,60447.29838,r,20.002,,limit,-8.2,4.7
26,60445.223472,r,20.198,,limit,-2.3,4.4
28,60443.241759,r,20.399,,limit,-2.2,3.6
30,60441.285081,r,19.915,,limit,-6.7,4.9
31,60439.276088,r,20.489,,limit,3.3,3.3
33,60438.228634,r,20.545,,limit,-0.7,3.2
35,60438.184653,r,20.026,,limit,-1333.4,5.1
37,60437.221979,r,20.745,,limit,-0.9,2.7
38,60437.200833,r,20.098,,limit,-1311.8,4.8
40,60434.262095,r,20.863,,limit,-1.0,2.5
41,60431.345405,r,20.765,,limit,-1.7,2.8
44,60429.222951,r,20.66,,limit,-4.2,2.9
47,60421.243067,r,19.814,,limit,12.6,5.9
49,60419.246597,r,20.181,,limit,-2.3,4.6
51,60417.261296,r,20.36,,limit,-3.4,3.5
52,60413.369965,r,20.544,,limit,0.7,3.4
54,60408.261169,r,20.645,,limit,-2.7,3.2
56,60404.287477,r,20.783,,limit,0.3,2.7
57,60398.384375,r,20.037,,limit,3.4,4.7
61,60391.254491,r,17.599,,limit,,
64,60374.45037,r,20.805,,limit,0.0,2.5
67,60363.287847,r,18.662,,limit,,
69,60356.366782,r,20.774,,limit,-2.0,2.6
72,60352.383241,r,20.41,,limit,-2.6,4.0
73,60341.384144,r,17.587,,limit,,
75,60326.51022,r,19.869,,limit,,
77,60323.513773,r,20.451,,limit,-2.5,3.6
79,60315.484259,r,20.407,,limit,-3.2,3.6
81,60311.515139,r,20.337,,limit,-2.7,3.6
83,60305.467662,r,18.284,,limit,,
84,60291.526887,r,20.716,,limit,-0.6,2.8
87,60289.488009,r,18.908,,limit,,
88,60287.486146,r,20.102,,limit,4.7,4.7
90,60262.49684,r,20.255,,limit,2.0,4.0
91,60259.469711,r,19.833,,limit,4.5,5.2
93,60253.509618,r,20.188,,limit,4.2,4.1
94,60251.498854,r,19.703,,limit,-12.0,6.7
96,60249.488831,r,18.531,,limit,,
99,60124.225475,r,19.863,,limit,,
102,60109.201632,r,20.656,,limit,,
103,60104.338264,r,19.739,,limit,,
105,60102.193403,r,18.902,,limit,,
106,60100.245127,r,20.067,,limit,,
107,60098.301076,r,19.647,,limit,,
109,60091.373889,r,20.134,,limit,,
111,60089.236944,r,20.623,,limit,,
112,60087.32463,r,20.791,,limit,,
116,60086.197685,r,20.051,,limit,,
117,60086.175776,r,20.068,,limit,,
118,60085.260706,r,20.612,,limit,,
120,60083.215937,r,20.734,,limit,,
123,60081.270764,r,20.402,,limit,,
126,60077.220035,r,20.717,,limit,,
127,60073.328634,r,20.152,,limit,,
130,60065.218576,r,19.923,,limit,,
131,60063.237037,r,20.222,,limit,,
134,60061.212708,r,20.388,,limit,,
136,60059.250729,r,20.602,,limit,,
138,60057.175729,r,20.609,,limit,,
140,60055.233947,r,20.62,,limit,,
142,60053.242928,r,19.995,,limit,,
143,60051.285509,r,20.99,,limit,,
146,60049.281065,r,20.775,,limit,,
148,60045.28088,r,20.938,,limit,,
149,60043.362234,r,20.233,,limit,,
