,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
591,58601.282685,r,21.163,0.336,positive,,
607,58567.248634,r,20.714,0.209,positive,,
622,58522.534838,r,20.108,0.146,positive,,
625,58514.425579,r,19.877,0.217,positive,,
628,58508.472882,r,19.695,0.186,positive,,
632,58494.449873,r,19.58,0.115,positive,,
633,58491.538785,r,19.584,0.11,positive,,
636,58486.486424,r,19.417,0.1,positive,,
637,58480.556632,r,19.39,0.147,positive,,
639,58474.49331,r,19.106,0.119,positive,,
640,58471.550949,r,19.334,0.091,positive,,
645,58450.52588,r,19.038,0.092,positive,,
647,58447.472836,r,19.052,0.143,positive,,
648,58443.474826,r,19.027,0.095,positive,,
649,58440.548241,r,18.958,0.082,positive,,
651,58432.552026,r,18.928,0.086,positive,,
654,58426.546088,r,18.906,0.095,positive,,
656,58423.546238,r,18.861,0.104,positive,,
659,58336.201921,r,17.931,0.061,positive,,
661,58319.211401,r,16.271,0.034,positive,,
662,58301.177928,r,15.66,0.028,positive,,
663,58298.258495,r,15.627,0.027,positive,,
664,58295.239965,r,15.555,0.03,positive,,
666,58292.237107,r,15.519,0.033,positive,,
668,58288.248982,r,15.518,0.036,positive,,
670,58285.18316,r,15.436,0.071,positive,,
672,58279.174352,r,15.486,0.004,positive,,
673,58276.203333,r,15.587,0.004,positive,,
674,58272.25,r,15.509,0.004,positive,,
675,58266.25,r,15.477,0.006,positive,,
