,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
25,60563.287604,g,17.013,,limit,,
73,60512.218414,g,19.334,,limit,-121.7,9.6
93,60485.246563,g,18.31,,limit,,
99,60481.242882,g,19.573,,limit,-126.7,8.2
121,60451.456412,g,19.831,,limit,-117.5,5.9
133,60442.358738,g,20.359,,limit,-119.2,3.7
166,60388.327373,g,19.383,,limit,,
171,60365.36897,g,16.626,,limit,,
173,60363.36191,g,17.974,,limit,,
196,60220.219907,g,19.478,,limit,,
232,60156.225,g,18.003,,limit,,
245,60141.303264,g,18.096,,limit,,
274,60098.281597,g,19.308,,limit,,
284,60086.237002,g,20.377,,limit,,
287,60084.342083,g,19.731,,limit,,
324,59983.415197,g,17.556,,limit,,
347,59862.1814,g,19.167,,limit,,
385,59805.242882,g,18.256,,limit,,
500,59623.427072,g,19.517,,limit,,
569,59423.325463,g,18.761,,limit,,
571,59419.356713,g,17.862,,limit,,
573,59417.36875,g,17.041,,limit,,
597,59395.282766,g,18.006,,limit,,
673,59304.431724,g,18.95,,limit,,
705,59254.454051,g,17.602,,limit,,
706,59254.45405,g,17.602,,limit,,
735,59146.1342,g,16.842,,limit,,
798,59026.24149,g,17.822,,limit,,
902,58917.38503,g,16.971,,limit,,
952,58877.5412,g,20.018,,limit,,
1031,58766.17071,g,19.483,,limit,,
1170,58680.19903,g,19.358,,limit,,
1183,58652.22076,g,19.499,,limit,,
1205,58591.22478,g,19.011,,limit,,
1219,58557.32897,g,19.389,,limit,,
