,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
77,60508.26316,r,19.924,,limit,-1201.8,5.0
91,60485.321586,r,19.903,,limit,-1283.2,5.1
97,60481.350579,r,19.833,,limit,-1189.1,5.8
123,60451.370845,r,19.571,,limit,-1181.2,6.9
129,60444.402627,r,20.592,,limit,-1286.4,2.8
131,60442.428322,r,20.49,,limit,-1238.6,3.5
242,60145.302662,r,20.484,,limit,,
285,60086.191771,r,19.502,,limit,,
602,59387.404317,r,18.925,,limit,,
607,59383.221019,r,17.587,,limit,,
631,59352.310185,r,20.283,,limit,,
671,59304.451991,r,19.332,,limit,,
949,58878.56957,r,19.697,,limit,,
953,58877.51453,r,20.204,,limit,,
1101,58721.27606,r,18.781,,limit,,
1218,58557.36984,r,19.675,,limit,,
