,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
2,60086.225139,g,20.058,,limit,,
8,60085.332488,g,20.371,,limit,,
9,60085.332014,g,20.502,,limit,,
12,60084.325775,g,19.856,,limit,,
15,60084.181759,g,20.609,,limit,,
16,60083.322049,g,20.544,,limit,,
18,60083.203495,g,20.773,,limit,,
19,60082.245637,g,17.097,,limit,,
22,60081.31588,g,20.571,,limit,,
23,60081.308599,g,20.382,,limit,,
26,60080.263056,g,20.462,,limit,,
27,60080.24081,g,20.432,,limit,,
28,60079.351099,g,20.376,,limit,,
31,60079.271157,g,20.645,,limit,,
32,60078.324398,g,20.422,,limit,,
33,60078.323935,g,20.452,,limit,,
36,60077.384873,g,19.934,,limit,,
37,60077.38441,g,20.017,,limit,,
41,60076.290891,g,20.34,,limit,,
42,60076.290428,g,20.527,,limit,,
45,60073.261829,g,20.27,,limit,,
46,60067.285393,g,19.112,,limit,,
47,60067.284931,g,18.896,,limit,,
48,60067.280579,g,19.098,,limit,,
49,60067.280104,g,19.067,,limit,,
54,60064.255174,g,19.566,,limit,,
55,60064.239201,g,19.544,,limit,,
56,60064.214861,g,19.852,,limit,,
57,60064.214375,g,19.929,,limit,,
58,60062.434514,g,20.281,,limit,,
59,60062.432546,g,20.244,,limit,,
60,60062.432072,g,20.142,,limit,,
61,60062.431134,g,20.4,,limit,,
66,60060.390116,g,20.228,,limit,,
67,60060.389144,g,20.122,,limit,,
71,60060.194815,g,20.184,,limit,,
74,60058.324028,g,20.521,,limit,,
75,60058.307037,g,20.588,,limit,,
76,60058.305613,g,20.285,,limit,,
77,60058.305139,g,20.583,,limit,,
85,60056.22022,g,20.538,,limit,,
86,60056.219745,g,20.314,,limit,,
87,60056.217859,g,20.691,,limit,,
88,60056.217384,g,20.411,,limit,,
93,58962.24031,g,20.633,,limit,,
95,58962.23848,g,20.516,,limit,,
100,58954.2912,g,20.489,,limit,,
101,58954.28985,g,20.664,,limit,,
106,58944.42656,g,19.264,,limit,,
107,58944.42611,g,19.173,,limit,,
108,58944.42517,g,19.213,,limit,,
116,58939.34516,g,19.843,,limit,,
117,58939.34329,g,19.849,,limit,,
118,58939.32963,g,19.412,,limit,,
119,58939.32824,g,19.43,,limit,,
155,58911.40694,g,20.287,,limit,,
158,58909.28995,g,19.744,,limit,,
159,58909.26934,g,19.608,,limit,,
160,58909.2438,g,19.743,,limit,,
166,58908.32287,g,20.439,,limit,,
172,58906.32554,g,20.365,,limit,,
185,58904.30647,g,20.44,,limit,,
196,58903.34557,g,20.668,,limit,,
234,58894.36484,g,20.327,,limit,,
250,58893.2238,g,20.22,,limit,,
252,58892.36794,g,19.8,,limit,,
258,58891.44447,g,19.646,,limit,,
260,58891.22316,g,19.336,,limit,,
261,58890.51869,g,18.927,,limit,,
262,58890.51774,g,18.902,,limit,,
263,58890.51543,g,18.903,,limit,,
264,58890.51453,g,18.934,,limit,,
265,58890.50663,g,18.881,,limit,,
266,58890.50573,g,18.869,,limit,,
267,58890.50439,g,18.811,,limit,,
278,58888.30856,g,18.929,,limit,,
279,58888.30383,g,18.83,,limit,,
282,58887.43278,g,19.509,,limit,,
283,58887.43181,g,19.462,,limit,,
284,58887.26459,g,19.081,,limit,,
286,58887.24365,g,18.886,,limit,,
290,58886.46781,g,19.615,,limit,,
291,58886.46687,g,19.71,,limit,,
347,58879.24419,g,19.31,,limit,,
388,58874.39163,g,18.995,,limit,,
398,58872.42958,g,20.5,,limit,,
415,58866.55435,g,20.379,,limit,,
418,58864.40884,g,20.069,,limit,,
446,58854.52891,g,19.67,,limit,,
477,58833.55896,g,19.018,,limit,,
498,58823.5185,g,17.796,,limit,,
499,58823.51804,g,17.711,,limit,,
521,58792.53097,g,20.3,,limit,,
523,58792.53052,g,20.293,,limit,,
819,58546.28091,g,20.637,,limit,,
867,58511.45155,g,20.354,,limit,,
923,58467.4864,g,19.756,,limit,,
924,58467.48591,g,19.215,,limit,,
925,58467.46617,g,17.58,,limit,,
927,58464.4949,g,20.552,,limit,,
