,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
6,60086.179248,r,19.128,,limit,,
7,60086.176759,r,19.225,,limit,,
10,60085.284306,r,20.423,,limit,,
11,60085.261771,r,20.576,,limit,,
13,60084.215671,r,20.496,,limit,,
14,60084.215197,r,20.338,,limit,,
17,60083.215393,r,20.537,,limit,,
20,60082.199907,r,20.281,,limit,,
21,60082.199433,r,20.229,,limit,,
24,60081.277847,r,20.336,,limit,,
25,60081.270243,r,20.063,,limit,,
29,60079.329167,r,20.29,,limit,,
30,60079.328692,r,20.163,,limit,,
34,60078.281215,r,20.226,,limit,,
35,60078.280741,r,20.277,,limit,,
38,60077.326019,r,20.229,,limit,,
39,60077.304653,r,20.234,,limit,,
40,60076.351319,r,20.268,,limit,,
43,60073.327616,r,19.989,,limit,,
44,60073.327153,r,19.794,,limit,,
50,60064.286331,r,19.924,,limit,,
51,60064.284861,r,20.103,,limit,,
52,60064.284387,r,20.017,,limit,,
53,60064.283403,r,19.927,,limit,,
62,60062.356643,r,20.11,,limit,,
63,60062.197593,r,20.289,,limit,,
64,60062.178461,r,20.0,,limit,,
65,60062.177477,r,20.011,,limit,,
68,60060.325984,r,20.217,,limit,,
69,60060.325509,r,20.269,,limit,,
70,60060.32456,r,20.136,,limit,,
72,60060.176516,r,19.811,,limit,,
73,60058.363368,r,20.236,,limit,,
78,60058.260243,r,20.247,,limit,,
79,60058.258241,r,20.031,,limit,,
80,60058.218646,r,20.286,,limit,,
81,60056.343727,r,20.308,,limit,,
82,60056.325775,r,20.548,,limit,,
83,60056.325289,r,20.242,,limit,,
84,60056.303738,r,20.242,,limit,,
92,58962.25872,r,20.27,,limit,,
96,58956.29141,r,20.238,,limit,,
98,58954.45233,r,19.748,,limit,,
109,58944.38803,r,19.239,,limit,,
110,58944.38756,r,19.229,,limit,,
111,58944.35078,r,19.343,,limit,,
112,58939.39567,r,19.04,,limit,,
113,58939.39519,r,19.141,,limit,,
114,58939.39424,r,19.437,,limit,,
115,58939.36642,r,18.332,,limit,,
156,58911.23969,r,19.378,,limit,,
157,58911.22505,r,19.282,,limit,,
169,58906.46637,r,20.192,,limit,,
187,58904.23963,r,20.124,,limit,,
188,58904.22274,r,20.148,,limit,,
254,58892.32339,r,19.839,,limit,,
270,58890.44701,r,19.114,,limit,,
447,58852.57837,r,19.541,,limit,,
458,58849.55375,r,15.955,,limit,,
500,58819.51331,r,16.863,,limit,,
526,58792.51392,r,19.679,,limit,,
527,58792.51344,r,19.759,,limit,,
557,58695.20481,r,15.976,,limit,,
569,58691.17564,r,19.906,,limit,,
572,58690.17628,r,20.027,,limit,,
601,58673.2128,r,20.261,,limit,,
726,58606.2024,r,20.557,,limit,,
774,58582.2276,r,20.705,,limit,,
896,58494.44799,r,20.473,,limit,,
